Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
61522,45991832,18985267200,100835328,49046945792,28722975,0,642380,0,0,0,0,0,0,5286,400.0,775.0,0.0,95.0,0.0,90.0
61523,19061914,18992787456,100835328,49046945792,5465802,0,1914838,0,0,0,0,0,0,11459,400.0,775.0,0.0,95.0,0.0,90.0
61524,22396201,18993573888,100835328,49046945792,11793996,0,627995,0,0,0,0,0,0,4691,400.0,775.0,0.0,95.0,0.0,90.0
61525,16497926,18994761728,100839424,49063727104,6062757,0,1299614,0,0,0,0,0,0,7684,400.0,775.0,0.0,95.0,0.0,90.0
61526,16366566,18995576832,100839424,49063727104,8825279,0,641435,0,0,0,0,0,0,4629,400.0,775.0,0.0,95.0,0.0,90.0
61527,21350037,18996781056,100839424,49080504320,7643304,0,636712,0,0,0,0,0,0,4709,400.0,775.0,0.0,95.0,0.0,90.0
61528,9241043,18997055488,100839424,49080504320,2033714,0,631922,0,0,0,0,0,0,4646,400.0,775.0,0.0,95.0,0.0,90.0
61529,11699382,18997612544,100839424,49097281536,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,95.0,0.0,90.0
61530,6038376,18997612544,100839424,49097281536,2100256,0,632911,0,0,0,0,0,0,4807,400.0,775.0,0.0,95.0,0.0,90.0
61531,11243618,18998071296,100839424,49097281536,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,95.0,0.0,90.0
61532,7776371,18998132736,100835328,49097277440,2100100,0,634430,0,0,0,0,0,0,4541,400.0,775.0,0.0,95.0,0.0,90.0
61533,11426192,18998472704,100835328,49114054656,3259421,0,639155,0,0,0,0,0,0,4747,400.0,775.0,0.0,95.0,0.0,90.0
61534,5012419,18998476800,100835328,49114054656,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,95.0,0.0,90.0
61535,5773823,18998476800,100835328,49114054656,2027528,0,641401,0,0,0,0,0,0,4492,400.0,775.0,0.0,95.0,0.0,90.0
61536,10197240,18998878208,100835328,49114054656,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,95.0,0.0,90.0
61537,7677209,18998878208,100835328,49114054656,2140255,0,642393,0,0,0,0,0,0,5210,400.0,775.0,0.0,95.0,0.0,90.0
61538,9928120,18999205888,100835328,49114054656,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,95.0,0.0,90.0
61539,6365106,18999480320,100835328,49114054656,2205995,0,639801,0,0,0,0,0,0,4312,400.0,775.0,0.0,95.0,0.0,90.0
61540,9947922,19000565760,100835328,49147609088,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,95.0,0.0,90.0
61541,9284672,19000819712,100831232,49147604992,2157513,0,634383,0,0,0,0,0,0,4462,400.0,775.0,0.0,95.0,0.0,90.0
61542,9274512,19001167872,100831232,49147604992,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,95.0,0.0,90.0
61543,5993612,19001167872,100831232,49147604992,2153162,0,643265,0,0,0,0,0,0,4382,400.0,775.0,0.0,95.0,0.0,90.0
61544,11323000,19001749504,100831232,49164382208,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,95.0,0.0,90.0
61545,7600258,19001958400,100831232,49164382208,2241213,0,651698,0,0,0,0,0,0,4896,400.0,775.0,0.0,95.0,0.0,90.0
61546,7549575,19002871808,100831232,49181159424,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,95.0,0.0,90.0
61547,6652706,19002871808,100831232,49181159424,2228337,0,648496,0,0,0,0,0,0,4438,400.0,775.0,0.0,95.0,0.0,90.0
61548,11238637,19003211776,100831232,49181159424,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,95.0,0.0,90.0
61549,7611346,19003211776,100831232,49181159424,2103789,0,645816,0,0,0,0,0,0,4854,400.0,775.0,0.0,95.0,0.0,90.0
61550,9122566,19003518976,100831232,49197936640,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,95.0,0.0,90.0
61551,6056791,19003518976,100831232,49197936640,2070039,0,645974,0,0,0,0,0,0,4574,400.0,775.0,0.0,95.0,0.0,90.0
61552,10972487,19003985920,100831232,49197936640,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,95.0,0.0,90.0
