Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;CheckGateState;StatisticsSystem;NumGateBlocks;NumInputTypeBlocks;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;378572800;9056256;408186880;0;0;0;0;0;0;0;0;0;0;
2;24574868;383795200;9056256;408186880;5594449;0;0;0;0;0;0;0;0;188504;0;0;0;0;0;0;
3;6021481;384294912;9056256;408186880;1386396;0;0;0;0;0;0;0;0;6158;0;0;0;0;0;0;
4;3773324;384294912;9056256;408186880;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;4281593;385032192;9056256;441741312;1470155;0;0;0;0;0;0;0;0;5292;0;0;0;0;0;0;
6;1224215;385298432;9056256;441741312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;1056034;385806336;9056256;441741312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
8;949746;385916928;9056256;441741312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
9;915329;385916928;9056256;441741312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;902712;385916928;9056256;441741312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11;929421;385916928;9056256;441741312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
12;996622;385916928;9056256;441741312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13;925394;386158592;9056256;441741312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
14;916223;386371584;9056256;441741312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
15;872237;387424256;9056256;441741312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16;904812;387694592;9056256;441741312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;877150;387915776;9056256;441741312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
18;1802320;387915776;9056256;441741312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
19;2907684;388067328;9056256;441741312;1044931;0;0;0;0;0;0;0;0;5501;0;0;0;0;0;0;
20;1062741;388067328;9056256;441741312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
21;880985;388067328;9056256;441741312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22;923899;388329472;9056256;441741312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
23;912272;388329472;9056256;441741312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
24;946310;388575232;9056256;441741312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
25;892112;388575232;9056256;441741312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
26;850103;388575232;9056256;441741312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
27;812972;388837376;9056256;441741312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
28;833086;388837376;9056256;441741312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
