Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;CheckGateState;StatisticsSystem;NumGateBlocks;NumInputTypeBlocks;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;377987072;7053312;406183936;0;0;0;0;0;0;0;0;0;0;
2;24519000;383492096;7053312;406183936;6859002;0;0;0;0;0;0;0;0;237321;0;0;0;0;0;0;
3;5657475;383762432;7053312;406183936;1136794;0;0;0;0;0;0;0;0;3916;0;0;0;0;0;0;
4;2044154;383762432;7053312;406183936;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;1858392;384462848;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;709246;384733184;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;2019477;384995328;7053312;439738368;1339825;0;0;0;0;0;0;0;0;3964;0;0;0;0;0;0;
8;658403;384995328;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
9;619868;384995328;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;606496;384995328;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11;585443;384995328;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
12;545454;384995328;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13;541797;384995328;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
14;536039;384995328;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
15;549164;384995328;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16;547390;385212416;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;558716;385212416;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
18;572574;385478656;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
19;560814;385957888;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
20;548401;386228224;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
21;598399;386768896;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22;557129;386768896;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
23;543022;386990080;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
24;899310;386990080;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
25;674590;386990080;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
26;1042051;386990080;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
27;576737;386990080;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
28;575390;387227648;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
29;564566;387227648;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
30;535785;387227648;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
31;1233671;387411968;7053312;439738368;655577;0;0;0;0;0;0;0;0;5322;0;0;0;0;0;0;
32;580995;387411968;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
33;573511;387411968;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
34;560754;387674112;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
35;575959;387674112;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
36;595869;387674112;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
37;635357;387674112;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
38;556404;387674112;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
39;559087;387944448;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
40;575122;387944448;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41;563944;387944448;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
42;564866;387944448;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
43;556276;387944448;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
44;544980;387944448;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
45;568286;387944448;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
46;555242;388214784;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
47;576909;388214784;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
48;559100;388214784;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
49;551786;388214784;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
50;551598;388214784;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
51;561244;388214784;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
52;576664;388214784;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
53;594686;388214784;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
54;573679;388485120;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
55;565846;388485120;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
56;553482;388485120;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
57;686899;388485120;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
58;537315;388485120;7053312;439738368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
59;1176005;388755456;7053312;439738368;616552;0;0;0;0;0;0;0;0;4321;0;0;0;0;0;0;
60;581841;388755456;9416704;442101760;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
61;568647;388755456;9416704;442101760;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
62;559154;388755456;9416704;442101760;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
63;645593;388755456;9416704;442101760;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
