Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;397901824;8134656;407265280;0;0;0;0;0;0;0;0;0;
2;15976384;403181568;8134656;407265280;0;0;0;0;0;0;0;0;0;0;0;0;0;
3;3625915;403447808;8134656;407265280;0;0;0;0;0;0;0;0;0;0;0;0;0;
4;1232925;403447808;8134656;407265280;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;1623674;404131840;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;558291;404131840;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;608466;404406272;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
8;532502;404676608;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
9;585231;404676608;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;532425;404865024;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
11;508513;404865024;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
12;469394;404865024;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
13;1348926;404865024;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
14;496913;404865024;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
15;542334;404865024;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
16;530120;404865024;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;505006;405102592;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
18;479429;405102592;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
19;557290;405102592;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
20;901325;405102592;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
21;683016;405102592;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
22;807766;405233664;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
23;557968;405393408;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
24;478745;405393408;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
25;537822;405393408;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
26;464975;405393408;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
27;540599;405614592;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
28;559498;405614592;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
29;560437;405614592;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
30;523572;405614592;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
31;532445;405614592;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
32;522748;405614592;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
33;510195;405614592;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
34;510668;405614592;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
35;505641;405614592;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
36;529322;405884928;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
37;466873;405884928;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
38;533580;405884928;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
39;471236;405884928;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
40;529749;405884928;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
41;942591;406155264;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
42;477507;406155264;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
43;541011;406155264;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
44;480969;406155264;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
45;519974;406155264;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
46;475267;406155264;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
47;526587;406155264;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
48;464698;406155264;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
49;538162;408252416;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
50;490030;408514560;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
51;519574;408514560;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
52;509134;408514560;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
53;522008;408514560;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
