Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;387637248;8122368;407252992;0;0;0;0;0;0;0;0;0;
2;15956023;392818688;8122368;407252992;0;0;0;0;0;0;0;0;0;0;0;0;0;
3;3692568;393084928;8122368;407252992;0;0;0;0;0;0;0;0;0;0;0;0;0;
4;1273563;393306112;8122368;407252992;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;1536291;393773056;8122368;440807424;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;564998;394043392;8122368;440807424;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;577536;394043392;8122368;440807424;0;0;0;0;0;0;0;0;0;0;0;0;0;
8;521050;394305536;8122368;440807424;0;0;0;0;0;0;0;0;0;0;0;0;0;
9;494290;394559488;8122368;440807424;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;492478;394559488;8122368;440807424;0;0;0;0;0;0;0;0;0;0;0;0;0;
11;474938;394559488;8122368;440807424;0;0;0;0;0;0;0;0;0;0;0;0;0;
12;514286;394559488;8122368;440807424;0;0;0;0;0;0;0;0;0;0;0;0;0;
13;912594;394559488;8122368;440807424;0;0;0;0;0;0;0;0;0;0;0;0;0;
14;527231;394559488;8122368;440807424;0;0;0;0;0;0;0;0;0;0;0;0;0;
15;492242;394559488;8122368;440807424;0;0;0;0;0;0;0;0;0;0;0;0;0;
16;459007;394559488;8122368;440807424;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;520762;394559488;8122368;440807424;0;0;0;0;0;0;0;0;0;0;0;0;0;
18;476988;394752000;8122368;440807424;0;0;0;0;0;0;0;0;0;0;0;0;0;
19;524372;394752000;8122368;440807424;0;0;0;0;0;0;0;0;0;0;0;0;0;
20;488582;394752000;8122368;440807424;0;0;0;0;0;0;0;0;0;0;0;0;0;
21;508911;394989568;8122368;440807424;0;0;0;0;0;0;0;0;0;0;0;0;0;
22;477425;394989568;8122368;440807424;0;0;0;0;0;0;0;0;0;0;0;0;0;
23;526439;395206656;8122368;440807424;0;0;0;0;0;0;0;0;0;0;0;0;0;
24;526147;395472896;8122368;440807424;0;0;0;0;0;0;0;0;0;0;0;0;0;
25;501809;395743232;8122368;440807424;0;0;0;0;0;0;0;0;0;0;0;0;0;
26;507480;396283904;8122368;440807424;0;0;0;0;0;0;0;0;0;0;0;0;0;
27;510602;396283904;8122368;440807424;0;0;0;0;0;0;0;0;0;0;0;0;0;
28;547568;396513280;8122368;440807424;0;0;0;0;0;0;0;0;0;0;0;0;0;
29;489672;396513280;8122368;440807424;0;0;0;0;0;0;0;0;0;0;0;0;0;
30;794835;396644352;8122368;440807424;0;0;0;0;0;0;0;0;0;0;0;0;0;
31;655039;396644352;8122368;440807424;0;0;0;0;0;0;0;0;0;0;0;0;0;
32;833434;396644352;8122368;440807424;0;0;0;0;0;0;0;0;0;0;0;0;0;
33;555244;396644352;8122368;440807424;0;0;0;0;0;0;0;0;0;0;0;0;0;
34;548592;396644352;8122368;440807424;0;0;0;0;0;0;0;0;0;0;0;0;0;
35;536303;396644352;8122368;440807424;0;0;0;0;0;0;0;0;0;0;0;0;0;
36;524183;396869632;8122368;440807424;0;0;0;0;0;0;0;0;0;0;0;0;0;
37;550811;396869632;8122368;440807424;0;0;0;0;0;0;0;0;0;0;0;0;0;
38;530360;396869632;8122368;440807424;0;0;0;0;0;0;0;0;0;0;0;0;0;
39;505203;396869632;8122368;440807424;0;0;0;0;0;0;0;0;0;0;0;0;0;
40;524282;396869632;8122368;440807424;0;0;0;0;0;0;0;0;0;0;0;0;0;
41;494716;396869632;8122368;440807424;0;0;0;0;0;0;0;0;0;0;0;0;0;
42;1273870;397139968;8122368;440807424;0;0;0;0;0;0;0;0;0;0;0;0;0;
43;509325;397139968;8122368;440807424;0;0;0;0;0;0;0;0;0;0;0;0;0;
