Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;381440000;9842688;408973312;0;0;0;0;0;0;0;0;0;
2;15129655;386621440;9842688;408973312;0;0;0;0;0;0;0;0;0;0;0;0;0;
3;3578525;386895872;9842688;408973312;0;0;0;0;0;0;0;0;0;0;0;0;0;
4;1234395;387121152;9842688;408973312;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;529383;387121152;9842688;408973312;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;1508260;387592192;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;554198;387592192;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
8;569118;387862528;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
9;575645;388124672;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;544397;388349952;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
11;536770;388349952;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
12;547850;388349952;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
13;1190817;388349952;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
14;511397;388349952;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
15;534691;388349952;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
16;548308;388349952;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;494073;388349952;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
18;530511;388349952;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
19;505893;388349952;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
20;539805;388558848;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
21;482172;388558848;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
22;524865;388800512;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
23;506002;388800512;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
24;530859;389017600;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
25;467306;389283840;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
26;534575;389824512;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
27;513484;390094848;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
28;564129;390094848;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
29;560471;390324224;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
30;947480;390324224;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
31;629501;390459392;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
32;834517;390459392;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
33;526019;390459392;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
34;561063;390668288;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
35;540189;390668288;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
36;494443;390668288;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
37;545338;392765440;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
38;485735;392765440;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
39;545368;392765440;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
