Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;449220608;8216576;407347200;0;0;0;0;0;0;0;0;0;
2;15771336;461373440;8216576;407347200;0;0;0;0;0;0;0;0;0;0;0;0;0;
3;3265816;461635584;8216576;407347200;0;0;0;0;0;0;0;0;0;0;0;0;0;
4;1234914;461635584;8216576;407347200;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;546816;461635584;8216576;407347200;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;9477066;499589120;8216576;440901632;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;1575989;499843072;8216576;440901632;0;0;0;0;0;0;0;0;0;0;0;0;0;
8;521430;499843072;8216576;440901632;0;0;0;0;0;0;0;0;0;0;0;0;0;
9;550150;499843072;8216576;440901632;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;508575;499843072;8216576;440901632;0;0;0;0;0;0;0;0;0;0;0;0;0;
11;553909;499843072;8216576;440901632;0;0;0;0;0;0;0;0;0;0;0;0;0;
12;485060;499843072;8216576;440901632;0;0;0;0;0;0;0;0;0;0;0;0;0;
13;546831;499843072;8216576;440901632;0;0;0;0;0;0;0;0;0;0;0;0;0;
14;477447;499843072;8216576;440901632;0;0;0;0;0;0;0;0;0;0;0;0;0;
15;555520;499843072;8216576;440901632;0;0;0;0;0;0;0;0;0;0;0;0;0;
16;594878;499843072;8216576;440901632;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;541952;499843072;8216576;440901632;0;0;0;0;0;0;0;0;0;0;0;0;0;
18;533565;499843072;8216576;440901632;0;0;0;0;0;0;0;0;0;0;0;0;0;
19;491081;499843072;8216576;440901632;0;0;0;0;0;0;0;0;0;0;0;0;0;
20;543916;499843072;8216576;440901632;0;0;0;0;0;0;0;0;0;0;0;0;0;
21;496596;499843072;8216576;440901632;0;0;0;0;0;0;0;0;0;0;0;0;0;
22;529534;499843072;8216576;440901632;0;0;0;0;0;0;0;0;0;0;0;0;0;
23;519519;499843072;8216576;440901632;0;0;0;0;0;0;0;0;0;0;0;0;0;
24;902695;499843072;8216576;440901632;0;0;0;0;0;0;0;0;0;0;0;0;0;
25;633613;499843072;8216576;440901632;0;0;0;0;0;0;0;0;0;0;0;0;0;
26;899919;499843072;8216576;440901632;0;0;0;0;0;0;0;0;0;0;0;0;0;
27;1355967;500047872;8216576;440901632;0;0;0;0;0;0;0;0;0;0;0;0;0;
28;528943;500047872;8216576;440901632;0;0;0;0;0;0;0;0;0;0;0;0;0;
29;509410;500047872;8216576;440901632;0;0;0;0;0;0;0;0;0;0;0;0;0;
30;536440;500047872;8216576;440901632;0;0;0;0;0;0;0;0;0;0;0;0;0;
31;533406;500301824;8216576;440901632;0;0;0;0;0;0;0;0;0;0;0;0;0;
32;545193;500301824;8216576;440901632;0;0;0;0;0;0;0;0;0;0;0;0;0;
33;489490;500301824;8216576;440901632;0;0;0;0;0;0;0;0;0;0;0;0;0;
34;534162;500301824;8216576;440901632;0;0;0;0;0;0;0;0;0;0;0;0;0;
35;492154;500301824;8216576;440901632;0;0;0;0;0;0;0;0;0;0;0;0;0;
36;544098;500301824;8216576;440901632;0;0;0;0;0;0;0;0;0;0;0;0;0;
37;527538;500572160;8216576;440901632;0;0;0;0;0;0;0;0;0;0;0;0;0;
38;530958;500572160;8216576;440901632;0;0;0;0;0;0;0;0;0;0;0;0;0;
39;556190;500572160;8216576;440901632;0;0;0;0;0;0;0;0;0;0;0;0;0;
40;525110;500572160;8216576;440901632;0;0;0;0;0;0;0;0;0;0;0;0;0;
41;535859;500842496;8216576;440901632;0;0;0;0;0;0;0;0;0;0;0;0;0;
42;481533;500842496;8216576;440901632;0;0;0;0;0;0;0;0;0;0;0;0;0;
43;544413;500842496;8216576;440901632;0;0;0;0;0;0;0;0;0;0;0;0;0;
44;510367;500842496;8216576;440901632;0;0;0;0;0;0;0;0;0;0;0;0;0;
