timestamp,cpu_percent,rss
1722169752.4740918,60.0,15265947648
1722169753.4745328,51.7,15368630272
1722169754.475281,53.5,15346610176
1722169755.47595,54.6,15334088704
1722169756.476724,54.0,15372156928
1722169757.4777298,54.3,15380946944
1722169758.4784245,54.1,15292514304
1722169759.4794514,54.6,15380938752
1722169760.480948,54.2,15200612352
1722169761.4821382,53.3,15202938880
1722169762.483201,54.3,15247867904
1722169763.4842622,54.4,15393234944
1722169764.4849114,54.4,15672881152
1722169765.4859326,61.6,15822004224
1722169766.487141,64.7,15851556864
1722169767.4878683,63.7,15851499520
1722169768.4894233,62.8,15714836480
1722169769.4905326,62.8,15845281792
1722169770.4913287,63.5,15845974016
1722169771.4923844,63.2,16028278784
1722169772.4931839,62.3,15847632896
1722169773.494526,64.6,16164311040
1722169774.495788,65.5,16166604800
1722169775.496655,61.2,16078532608
1722169776.497406,62.9,15920201728
1722169777.4982588,62.7,15851032576
1722169778.4991367,62.8,16057384960
1722169779.499909,60.7,15991431168
1722169780.5011575,59.5,16081989632
1722169781.5022347,60.6,16175296512
1722169782.5031831,61.0,16180064256
1722169783.5055537,60.9,16176160768
1722169784.5062392,61.1,15981727744
1722169785.507429,59.1,16043847680
1722169786.5096328,59.2,16088944640
1722169787.5104375,60.8,15991386112
1722169788.5113366,60.6,16040022016
1722169789.5121615,59.9,16039391232
1722169790.5128875,59.8,16021004288
1722169791.5141945,59.9,15991992320
1722169792.515259,60.2,15871934464
1722169793.5159202,58.4,15875780608
1722169794.5165706,59.2,16177430528
1722169795.5172164,59.4,16066662400
1722169796.5181346,59.5,16102592512
1722169797.5191789,58.4,16066543616
1722169798.5201411,59.3,16065507328
1722169799.521082,60.0,16071512064
1722169800.5217535,59.2,16070410240
1722169801.522365,60.2,16071892992
1722169802.5234022,59.3,15892303872
1722169803.5239942,58.7,16075468800
1722169804.5251036,59.3,16073895936
1722169805.5257356,59.1,15892885504
1722169806.5263913,60.3,16035373056
1722169807.5271893,57.1,15902040064
1722169808.5280895,59.4,16222126080
1722169809.5285683,61.3,15966248960
1722169810.5291789,59.6,16086364160
1722169811.529893,58.5,15902216192
1722169812.5304592,57.4,16039849984
1722169813.531164,57.9,16178200576
1722169814.5318062,57.1,16033239040
1722169815.533101,57.3,16028270592
1722169816.5342062,56.9,15817584640
1722169817.5354831,56.3,16068698112
1722169818.5361016,57.2,15955427328
1722169819.5371048,56.9,15965020160
1722169820.5389335,57.2,15956983808
1722169821.5398293,55.8,16203005952
1722169822.5405803,56.6,15956238336
