timestamp,cpu_percent,rss
1722163443.7079337,13.3,2557177856
1722163444.7083771,0.0,2559700992
1722163445.7087328,1.6,2584727552
1722163446.7090642,2.1,2624090112
1722163447.7094016,2.1,2688581632
1722163448.7097383,2.1,2625609728
1722163449.7100646,2.1,2625732608
1722163450.7104435,2.1,2624774144
1722163451.7107844,2.1,2625929216
1722163452.7111018,2.1,2625830912
1722163453.7114294,2.1,2626777088
1722163454.711805,3.0,2840838144
1722163455.7121127,26.4,3061092352
1722163456.7124674,33.6,3261673472
1722163457.7129037,42.7,3261820928
1722163458.7133036,40.2,3261476864
1722163459.7139328,37.4,3261509632
1722163460.7143428,35.9,3263234048
1722163461.7147305,30.6,3261648896
1722163462.7150648,28.1,3266154496
1722163463.7153826,27.6,3266240512
1722163464.7157414,28.0,3265753088
1722163465.7160738,27.8,3266441216
1722163466.716526,26.6,3266842624
1722163467.716851,27.5,3266985984
1722163468.717227,27.9,3266985984
1722163469.7176664,27.4,3266985984
1722163470.7180648,27.7,3266985984
1722163471.7184405,19.3,3266310144
1722163472.7188373,13.2,3261374464
1722163473.7191856,16.3,3261923328
1722163474.7195535,16.5,3261665280
1722163475.7199183,17.0,3265396736
1722163476.72034,17.9,3265626112
1722163477.720764,18.1,3265712128
1722163478.7211332,17.0,3265826816
1722163479.7215278,17.5,3265941504
1722163480.721994,19.4,3266056192
1722163481.7225037,12.6,3266416640
1722163482.72285,15.0,3266473984
1722163483.7232413,15.3,3266531328
1722163484.7236245,13.3,3266588672
1722163485.7239225,15.6,3266674688
1722163486.724273,17.2,3266789376
1722163487.7246308,17.4,3266875392
1722163488.725055,16.9,3266990080
1722163489.7254148,16.6,3267076096
1722163490.7258012,15.7,3267190784
1722163491.726175,17.2,3271647232
1722163492.7264729,16.0,3274260480
1722163493.726836,15.9,3274260480
1722163494.7271807,15.4,3274260480
1722163495.7275393,16.9,3274260480
1722163496.7278945,16.0,3276386304
1722163497.7282526,15.9,3276386304
1722163498.7286897,15.9,3276386304
1722163499.7291162,17.0,3276386304
1722163500.729526,15.7,3276386304
1722163501.7299266,13.6,3276386304
1722163502.7302873,11.9,3282546688
1722163503.730715,14.0,3282546688
1722163504.7310297,15.6,3282546688
1722163505.7313676,15.3,3282546688
1722163506.731738,15.2,3282546688
1722163507.732032,14.4,3282538496
1722163508.7323456,15.5,3282538496
1722163509.7326505,14.7,3282538496
1722163510.7329366,14.8,3282538496
1722163511.7332315,14.2,3282538496
1722163512.7335355,15.0,3284611072
1722163513.733837,14.9,3284611072
1722163514.7341707,14.9,3284611072
1722163515.7344565,15.1,3284611072
1722163516.7347624,14.7,3284611072
1722163517.7350488,14.8,3284611072
1722163518.7353387,14.5,3284611072
1722163519.7356493,14.8,3286077440
1722163520.7359493,14.3,3281854464
1722163521.7362413,14.5,3282341888
1722163522.736534,14.0,3284275200
1722163523.7368355,14.8,3284361216
1722163524.7371259,15.8,3284447232
1722163525.7374103,13.1,3284561920
1722163526.7377353,13.8,3284701184
1722163527.738025,13.2,3284815872
1722163528.738316,14.5,3288895488
1722163529.7386055,14.2,3288981504
1722163530.738901,14.1,3289358336
1722163531.739183,14.4,3289444352
1722163532.7394676,14.1,3291607040
1722163533.739774,12.1,3291635712
1722163534.740069,11.2,3291635712
1722163535.7403688,13.4,3291635712
1722163536.7406745,14.4,3291693056
1722163537.7409573,14.6,3291807744
1722163538.7412803,13.5,3291836416
1722163539.7415733,13.9,3291865088
1722163540.74186,13.7,3291865088
1722163541.7421474,14.8,3291922432
1722163542.7424338,13.9,3296350208
1722163543.7427273,14.1,3296120832
1722163544.7430065,11.4,3296149504
1722163545.7432969,11.7,3296178176
1722163546.7436311,13.6,3296235520
1722163547.7439687,14.3,3296264192
1722163548.744266,13.2,3296292864
1722163549.7445595,13.0,3296350208
1722163550.7449198,13.7,3296378880
1722163551.7452145,14.0,3296407552
1722163552.7454956,13.7,3296436224
1722163553.7457826,13.5,3300577280
1722163554.7460692,14.9,3300634624
1722163555.7463713,13.1,3300634624
1722163556.7466989,14.3,3305291776
1722163557.7470036,14.4,3305291776
1722163558.7473145,11.8,3305287680
1722163559.7476315,13.3,3305287680
1722163560.7479424,12.9,3305287680
1722163561.748232,13.1,3305287680
1722163562.7485535,13.2,3305316352
1722163563.748857,13.0,3309322240
1722163564.7492297,13.0,3309322240
1722163565.7495372,12.6,3309355008
1722163566.7498536,13.8,3309355008
1722163567.750148,12.8,3309355008
1722163568.7504537,12.8,3309355008
1722163569.7507508,13.5,3309355008
1722163570.751075,12.9,3309355008
1722163571.751369,12.5,3309355008
1722163572.7517362,13.5,3309355008
1722163573.7520487,13.5,3311435776
1722163574.7523391,12.7,3311435776
1722163575.7526581,13.4,3311435776
1722163576.7529573,13.5,3317551104
1722163577.75327,14.7,3317579776
1722163578.7535946,13.3,3317637120
1722163579.7538855,13.2,3317665792
1722163580.754167,12.6,3317694464
1722163581.754453,13.7,3317723136
1722163582.7547822,13.7,3317780480
1722163583.75507,12.9,3320287232
1722163584.755372,12.9,3330342912
1722163585.7556963,12.6,3330342912
1722163586.7560005,12.4,3330342912
1722163587.7563045,13.8,3330342912
1722163588.7566144,12.6,3330342912
1722163589.7569256,12.9,3330342912
1722163590.7572227,12.4,3330342912
1722163591.757528,13.9,3330342912
1722163592.757846,13.3,3330342912
1722163593.7581453,12.6,3330342912
1722163594.7584293,12.2,3332423680
1722163595.7587388,12.8,3332423680
1722163596.7590275,12.9,3332423680
1722163597.7593498,13.0,3332423680
1722163598.7596602,13.0,3332423680
1722163599.7600007,11.9,3332423680
1722163600.7603204,11.4,3332452352
1722163601.7606084,10.8,3332452352
1722163602.7608883,13.2,3332452352
1722163603.7611685,12.3,3332452352
1722163604.7614572,12.1,3334529024
1722163605.7617643,12.9,3334529024
1722163606.7620676,11.7,3334529024
1722163607.7624166,10.3,3334557696
1722163608.762836,11.3,3334557696
1722163609.76326,11.6,3334557696
1722163610.7636657,12.5,3334557696
1722163611.7640913,12.6,3334557696
1722163612.764534,11.6,3334557696
