Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;CheckGateState;StatisticsSystem;NumGateBlocks;NumInputTypeBlocks;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;439721984;8380416;390733824;0;0;0;0;0;0;0;0;0;0;
2;16423616;451915776;8380416;390733824;4414136;0;0;0;0;0;0;0;0;166561;0;0;0;0;0;0;
3;3210570;452186112;8380416;390733824;504330;0;0;0;0;0;0;0;0;2271;0;0;0;0;0;0;
4;1275510;452186112;8380416;390733824;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;522233;452186112;8380416;390733824;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;9702773;490086400;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;1410271;490340352;8380416;424288256;660738;0;0;0;0;0;0;0;0;3944;0;0;0;0;0;0;
8;485702;490340352;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
9;531820;490340352;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;467546;490340352;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11;529470;490340352;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
12;462046;490340352;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13;520327;490340352;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
14;466120;490340352;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
15;518955;490340352;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16;524000;490340352;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;540239;490340352;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
18;517476;490340352;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
19;543507;490340352;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
