Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;CheckGateState;StatisticsSystem;NumGateBlocks;NumInputTypeBlocks;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;465420288;8032256;423940096;0;0;0;0;0;0;0;0;0;0;
2;16312883;477569024;8032256;423940096;4367068;0;0;0;0;0;0;0;0;158222;0;0;0;0;0;0;
3;4308312;479936512;8032256;423940096;1394741;0;0;0;0;0;0;0;0;2322;0;0;0;0;0;0;
4;1281402;479936512;8032256;423940096;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;9557967;517873664;8032256;457494528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;1488565;518127616;8032256;457494528;659149;0;0;0;0;0;0;0;0;3909;0;0;0;0;0;0;
7;487785;518127616;8032256;457494528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
8;536076;518127616;8032256;457494528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
9;465670;518127616;8032256;457494528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;536548;518127616;8032256;457494528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11;535466;518127616;8032256;457494528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
12;508566;518127616;8032256;457494528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13;524319;518127616;8032256;457494528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
14;554128;518127616;8032256;457494528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
15;536838;518127616;8032256;457494528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16;491897;518127616;8032256;457494528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;532600;518127616;8032256;457494528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
18;492359;518127616;8032256;457494528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
19;541396;518127616;8032256;457494528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
20;483881;518127616;8032256;457494528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
21;524569;518127616;8032256;457494528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22;809230;518127616;8032256;457494528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
23;636375;518127616;8032256;457494528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
24;856375;518127616;8032256;457494528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
25;1122251;518127616;8032256;457494528;626899;0;0;0;0;0;0;0;0;2251;0;0;0;0;0;0;
26;513435;518127616;8032256;457494528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
27;486467;518127616;8032256;457494528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
28;518059;518127616;8032256;457494528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
29;493970;518127616;8032256;457494528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
30;513206;518127616;8032256;457494528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
31;462182;518127616;8032256;457494528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
32;532016;518127616;8032256;457494528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
33;462690;518127616;8032256;457494528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
34;511563;518127616;8032256;457494528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
35;466789;520224768;8032256;457494528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
36;507714;520224768;8032256;457494528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
37;460951;520224768;8032256;457494528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
38;519826;520462336;8032256;457494528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
39;457441;520462336;8032256;457494528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
40;518513;520675328;8032256;457494528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41;456428;520675328;8032256;457494528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
42;500218;520675328;8032256;457494528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
