timestamp;proc.cpu_num;proc.cpu_percent;proc.cpu_times.children_system;proc.cpu_times.children_user;proc.cpu_times.iowait;proc.cpu_times.system;proc.cpu_times.user;proc.create_time;proc.cwd;proc.exe;proc.gids.effective;proc.gids.real;proc.gids.saved;proc.io_counters.read_bytes;proc.io_counters.read_chars;proc.io_counters.read_count;proc.io_counters.write_bytes;proc.io_counters.write_chars;proc.io_counters.write_count;proc.ionice.ioclass;proc.ionice.value;proc.memory_full_info.data;proc.memory_full_info.dirty;proc.memory_full_info.lib;proc.memory_full_info.pss;proc.memory_full_info.rss;proc.memory_full_info.shared;proc.memory_full_info.swap;proc.memory_full_info.text;proc.memory_full_info.uss;proc.memory_full_info.vms;proc.memory_info.data;proc.memory_info.dirty;proc.memory_info.lib;proc.memory_info.rss;proc.memory_info.shared;proc.memory_info.text;proc.memory_info.vms;proc.memory_percent;proc.name;proc.nice;proc.num_ctx_switches.involuntary;proc.num_ctx_switches.voluntary;proc.num_fds;proc.num_threads;proc.pid;proc.ppid;proc.status;proc.terminal;proc.uids.effective;proc.uids.real;proc.uids.saved;proc.username;net.bytes_sent.eth0;net.bytes_recv.eth0;net.packets_sent.eth0;net.packets_recv.eth0;net.errin.eth0;net.errout.eth0;net.dropin.eth0;net.dropout.eth0;net.bytes_sent.eth1;net.bytes_recv.eth1;net.packets_sent.eth1;net.packets_recv.eth1;net.errin.eth1;net.errout.eth1;net.dropin.eth1;net.dropout.eth1;net.bytes_sent.ib0;net.bytes_recv.ib0;net.packets_sent.ib0;net.packets_recv.ib0;net.errin.ib0;net.errout.ib0;net.dropin.ib0;net.dropout.ib0;net.bytes_sent.lo;net.bytes_recv.lo;net.packets_sent.lo;net.packets_recv.lo;net.errin.lo;net.errout.lo;net.dropin.lo;net.dropout.lo;net.bytes_sent.virbr0;net.bytes_recv.virbr0;net.packets_sent.virbr0;net.packets_recv.virbr0;net.errin.virbr0;net.errout.virbr0;net.dropin.virbr0;net.dropout.virbr0;net.bytes_sent.virbr0-nic;net.bytes_recv.virbr0-nic;net.packets_sent.virbr0-nic;net.packets_recv.virbr0-nic;net.errin.virbr0-nic;net.errout.virbr0-nic;net.dropin.virbr0-nic;net.dropout.virbr0-nic;disk.read_count.md0;disk.read_bytes.md0;disk.write_count.md0;disk.write_bytes.md0;disk.read_count.sda;disk.read_bytes.sda;disk.write_count.sda;disk.write_bytes.sda;disk.read_count.sda1;disk.read_bytes.sda1;disk.write_count.sda1;disk.write_bytes.sda1;disk.read_count.sda2;disk.read_bytes.sda2;disk.write_count.sda2;disk.write_bytes.sda2;disk.read_count.sda3;disk.read_bytes.sda3;disk.write_count.sda3;disk.write_bytes.sda3;disk.read_count.sdb;disk.read_bytes.sdb;disk.write_count.sdb;disk.write_bytes.sdb;disk.read_count.sdb1;disk.read_bytes.sdb1;disk.write_count.sdb1;disk.write_bytes.sdb1;disk.read_count.sdb2;disk.read_bytes.sdb2;disk.write_count.sdb2;disk.write_bytes.sdb2;disk.read_count.sdb3;disk.read_bytes.sdb3;disk.write_count.sdb3;disk.write_bytes.sdb3;disk.read_count.sdc;disk.read_bytes.sdc;disk.write_count.sdc;disk.write_bytes.sdc;disk.read_count.sdd;disk.read_bytes.sdd;disk.write_count.sdd;disk.write_bytes.sdd;disk.read_count.sde;disk.read_bytes.sde;disk.write_count.sde;disk.write_bytes.sde;disk.read_count.sdf;disk.read_bytes.sdf;disk.write_count.sdf;disk.write_bytes.sdf;disk.read_count.sdg;disk.read_bytes.sdg;disk.write_count.sdg;disk.write_bytes.sdg;disk.read_count.sr0;disk.read_bytes.sr0;disk.write_count.sr0;disk.write_bytes.sr0;disk.read_count.sr1;disk.read_bytes.sr1;disk.write_count.sr1;disk.write_bytes.sr1;cpu.guest;cpu.guest_nice;cpu.idle;cpu.iowait;cpu.irq;cpu.nice;cpu.softirq;cpu.steal;cpu.system;cpu.user;cpu.percent;cpu.freq.current;cpu.freq.min;cpu.freq.max;cpu.ctx_switches;cpu.interrupts;cpu.soft_interrupts;cpu.syscalls
1721944342982.3008;4;249.6;0.0;0.0;0.0;6.26;5.85;1721944330.2;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5712;5712;5712;0;9891907;6208;20480;11164;193;0;4;6933049344;0;0;513247232;513200128;90947584;0;8192;513171456;7350624256;6933049344;0;0;512180224;90943488;8192;7350624256;0.7592491979685027;opencraft.x86_64;0;1653;848;42;88;5805;1;running;None;5712;5712;5712;zmr280;913061852;2244668411;4924810;15022053;0;0;0;0;0;0;0;0;0;0;0;0;1208115121;3204481675;5931405;6487492;0;0;0;32;129128315;129128315;773692;773692;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26311;328271360;106;6316032;91642;894608896;100945;853962752;72187;658458112;12806;183246848;2961;47949312;87832;667545600;16287;185690624;14;3170304;12294;190113280;51976;10824740864;1145;23254528;51954;10821595136;56;2535424;0;0;10994;161832960;6;3145728;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;16874239.45;32971.85;0.0;43.53;451.17;0.0;27245.85;829866.5;7.7;1.4065625000000004;1200.0;3200.0;5023439296;1794737433;1138337149;0
1721944344036.3782;4;276.6;0.0;0.0;0.0;7.2;7.81;1721944330.2;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5712;5712;5712;0;11682562;11890;20480;11164;193;0;4;6933049344;0;0;515295232;514404352;90947584;0;8192;515219456;7350624256;6933049344;0;0;514404352;90947584;8192;7350624256;0.7625462159341538;opencraft.x86_64;0;1654;1780;42;88;5805;1;running;None;5712;5712;5712;zmr280;913064592;2244668918;4924823;15022056;0;0;0;0;0;0;0;0;0;0;0;0;1208115121;3204481675;5931405;6487492;0;0;0;32;129128315;129128315;773692;773692;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26311;328271360;106;6316032;91642;894608896;100945;853962752;72187;658458112;12806;183246848;2961;47949312;87832;667545600;16287;185690624;14;3170304;12294;190113280;51976;10824740864;1145;23254528;51954;10821595136;56;2535424;0;0;10994;161832960;6;3145728;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;16874269.93;32971.85;0.0;43.57;451.17;0.0;27246.67;829868.26;7.9;1.4576875;1200.0;3200.0;5023522076;1794759376;1138345013;0
1721944345080.8376;4;274.4;0.0;0.0;0.0;8.26;9.61;1721944330.2;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5712;5712;5712;0;13171768;16612;20480;11164;193;0;4;6933049344;0;0;515131392;514240512;90947584;0;8192;515055616;7350624256;6933049344;0;0;514240512;90947584;8192;7350624256;0.7623033416825405;opencraft.x86_64;0;1655;2972;42;88;5805;1;running;None;5712;5712;5712;zmr280;913067320;2244670519;4924836;15022077;0;0;0;0;0;0;0;0;0;0;0;0;1208115121;3204481675;5931405;6487492;0;0;0;32;129128315;129128315;773692;773692;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26311;328271360;106;6316032;91642;894608896;100945;853962752;72187;658458112;12806;183246848;2961;47949312;87832;667545600;16287;185690624;14;3170304;12294;190113280;51976;10824740864;1145;23254528;51954;10821595136;56;2535424;0;0;10994;161832960;6;3145728;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;16874300.36;32971.85;0.0;43.61;451.17;0.0;27247.64;829869.94;8.1;1.5066562499999996;1200.0;3200.0;5023605626;1794781918;1138353325;0
1721944346122.7354;4;273.1;0.0;0.0;0.0;9.24;11.47;1721944330.2;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5712;5712;5712;0;14450422;20668;20480;11164;193;0;4;6938615808;0;0;516753408;519053312;90947584;0;8192;516677632;7356190720;6938615808;0;0;515616768;90947584;8192;7356190720;0.7643434853960926;opencraft.x86_64;0;1656;4423;42;88;5805;1;running;None;5712;5712;5712;zmr280;913070294;2244672046;4924850;15022097;0;0;0;0;0;0;0;0;0;0;0;0;1208115333;3204481843;5931407;6487493;0;0;0;32;129128315;129128315;773692;773692;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26311;328271360;106;6316032;91642;894608896;100945;853962752;72187;658458112;12806;183246848;2961;47949312;87832;667545600;16287;185690624;14;3170304;12294;190113280;51976;10824740864;1145;23254528;51954;10821595136;56;2535424;0;0;10994;161832960;6;3145728;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;16874330.74;32971.85;0.0;43.64;451.17;0.0;27248.66;829871.76;8.6;1.5088125;1200.0;3200.0;5023689487;1794804356;1138361813;0
1721944347161.9077;4;273.3;0.0;0.0;0.0;10.27;13.27;1721944330.2;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5712;5712;5712;0;15600454;24316;20480;11164;193;0;4;6938615808;0;0;516098048;515162112;90947584;0;8192;516022272;7356190720;6938615808;0;0;515162112;90947584;8192;7356190720;0.7636695093478656;opencraft.x86_64;0;1659;5828;42;88;5805;1;running;None;5712;5712;5712;zmr280;913073034;2244673513;4924863;15022116;0;0;0;0;0;0;0;0;0;0;0;0;1208115333;3204481843;5931407;6487493;0;0;0;32;129128315;129128315;773692;773692;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26311;328271360;106;6316032;91642;894608896;100945;853962752;72187;658458112;12806;183246848;2961;47949312;87832;667545600;16287;185690624;14;3170304;12294;190113280;51976;10824740864;1145;23254528;51954;10821595136;56;2535424;0;0;10994;161832960;6;3145728;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;16874361.01;32971.86;0.0;43.66;451.17;0.0;27249.55;829873.39;7.7;1.5857187500000003;1200.0;3200.0;5023769847;1794826439;1138369553;0
1721944348197.701;4;271.1;0.0;0.0;0.0;11.36;14.98;1721944330.2;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5712;5712;5712;0;16526028;27252;20480;11164;193;0;4;6938615808;0;0;519604224;520802304;90947584;0;8192;519528448;7356190720;6938615808;0;0;516161536;90947584;8192;7356190720;0.765151042282707;opencraft.x86_64;0;1661;7423;42;88;5805;1;running;None;5712;5712;5712;zmr280;913075708;2244674560;4924875;15022128;0;0;0;0;0;0;0;0;0;0;0;0;1208115333;3204481843;5931407;6487493;0;0;0;32;129128315;129128315;773692;773692;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26311;328271360;106;6316032;91642;894608896;100945;853962752;72187;658458112;12806;183246848;2961;47949312;87832;667545600;16287;185690624;14;3170304;12294;190113280;51976;10824740864;1145;23254528;51954;10821595136;56;2535424;0;0;10994;161832960;6;3145728;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;16874391.24;32971.86;0.0;43.68;451.18;0.0;27250.51;829874.87;7.6;1.5446562500000003;1200.0;3200.0;5023848681;1794849255;1138377157;0
1721944349230.5422;6;236.6;0.0;0.0;0.0;12.22;16.59;1721944330.2;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5712;5712;5712;0;17386030;29980;20480;11164;193;0;4;6938615808;0;0;516265984;519352320;90947584;0;8192;516190208;7356190720;6938615808;0;0;515371008;90947584;8192;7356190720;0.7639791740186727;opencraft.x86_64;0;1663;8932;42;88;5805;1;running;None;5712;5712;5712;zmr280;913078436;2244676161;4924888;15022149;0;0;0;0;0;0;0;0;0;0;0;0;1208115333;3204481843;5931407;6487493;0;0;0;32;129128315;129128315;773692;773692;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26311;328271360;106;6316032;91642;894608896;100947;853970944;72187;658458112;12806;183246848;2961;47949312;87834;667553792;16287;185690624;14;3170304;12294;190113280;51976;10824740864;1145;23254528;51954;10821595136;56;2535424;0;0;10994;161832960;6;3145728;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;16874422.09;32971.86;0.0;43.71;451.18;0.0;27251.33;829876.37;7.1;1.6127187500000004;1200.0;3200.0;5023925113;1794870088;1138384493;0
1721944350276.4165;6;251.9;0.0;0.0;0.0;13.29;18.15;1721944330.2;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5712;5712;5712;0;18275035;32800;20480;11164;193;0;4;6938615808;0;0;517056512;520617984;90947584;0;8192;516980736;7356190720;6938615808;0;0;520617984;90947584;8192;7356190720;0.7717572219265902;opencraft.x86_64;0;1665;10565;42;88;5805;1;running;None;5712;5712;5712;zmr280;913081344;2244677688;4924901;15022169;0;0;0;0;0;0;0;0;0;0;0;0;1208115333;3204481843;5931407;6487493;0;0;0;32;129128315;129128315;773692;773692;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26311;328271360;106;6316032;91642;894608896;100947;853970944;72187;658458112;12806;183246848;2961;47949312;87834;667553792;16287;185690624;14;3170304;12294;190113280;51976;10824740864;1145;23254528;51954;10821595136;56;2535424;0;0;10994;161832960;6;3145728;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;16874452.83;32971.86;0.0;43.73;451.19;0.0;27252.24;829877.75;7.0;1.6250624999999999;1200.0;3200.0;5024002608;1794891474;1138391723;0
1721944351320.0476;6;253.3;0.0;0.0;0.0;14.35;19.73;1721944330.2;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5712;5712;5712;0;19164040;35620;20480;11164;193;0;4;6938615808;0;0;522348544;521347072;90947584;0;8192;522272768;7356190720;6938615808;0;0;521347072;90947584;8192;7356190720;0.7728380123462697;opencraft.x86_64;0;1668;12026;42;88;5805;1;running;None;5712;5712;5712;zmr280;913084084;2244678615;4924914;15022179;0;0;0;0;0;0;0;0;0;0;0;0;1208115333;3204481843;5931407;6487493;0;0;0;32;129128315;129128315;773692;773692;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26311;328271360;106;6316032;91642;894608896;100947;853970944;72187;658458112;12806;183246848;2961;47949312;87834;667553792;16287;185690624;14;3170304;12294;190113280;51976;10824740864;1145;23254528;51954;10821595136;56;2535424;0;0;10994;161832960;6;3145728;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;16874483.48;32971.87;0.0;43.76;451.19;0.0;27253.26;829879.17;7.5;1.4020312500000007;1200.0;3200.0;5024080477;1794913026;1138399511;0
1721944352361.8237;7;248.4;0.0;0.0;0.0;15.28;21.38;1721944330.2;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5712;5712;5712;0;20021520;38340;20480;11164;193;0;4;6938615808;0;0;522745856;521752576;90947584;0;8192;522670080;7356190720;6938615808;0;0;521752576;90947584;8192;7356190720;0.7734391261190128;opencraft.x86_64;0;1670;13365;42;88;5805;1;running;None;5712;5712;5712;zmr280;913086758;2244679362;4924926;15022186;0;0;0;0;0;0;0;0;0;0;0;0;1208115545;3204482011;5931409;6487494;0;0;0;32;129128315;129128315;773692;773692;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26311;328271360;106;6316032;91642;894608896;100947;853970944;72187;658458112;12806;183246848;2961;47949312;87834;667553792;16287;185690624;14;3170304;12294;190113280;51977;10824744960;1145;23254528;51955;10821599232;56;2535424;0;0;10994;161832960;6;3145728;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;16874514.11;32971.87;0.0;43.78;451.2;0.0;27254.04;829880.61;6.8;1.5931562500000003;1200.0;3200.0;5024154214;1794933514;1138406599;0
1721944353399.606;0;243.4;0.0;0.0;0.0;16.21;22.97;1721944330.2;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5712;5712;5712;0;20848736;40964;24576;11393;197;0;4;7005724672;0;0;525355008;530661376;91258880;0;8192;525279232;7423299584;7005724672;0;0;522248192;91234304;8192;7423299584;0.7741738207301432;opencraft.x86_64;0;1677;14853;42;88;5805;1;running;None;5712;5712;5712;zmr280;913090149;2244681660;4924946;15022215;0;0;0;0;0;0;0;0;0;0;0;0;1208118501;3204482203;5931411;6487495;0;0;0;32;129128315;129128315;773692;773692;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26311;328271360;106;6316032;91642;894608896;100947;853970944;72187;658458112;12806;183246848;2961;47949312;87834;667553792;16287;185690624;14;3170304;12294;190113280;51977;10824744960;1145;23254528;51955;10821599232;56;2535424;0;0;10994;161832960;6;3145728;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;16874544.64;32971.87;0.0;43.79;451.2;0.0;27254.88;829882.06;7.0;1.5901875000000003;1200.0;3200.0;5024228946;1794954001;1138413810;0
1721944354434.476;0;328.9;0.0;0.0;0.0;17.16;25.42;1721944330.2;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5712;5712;5712;0;21664603;43552;24576;11393;197;0;4;7408377856;0;0;691406848;690151424;91361280;0;8192;691331072;7825952768;7408377856;0;0;688054272;91361280;8192;7825952768;1.0199625633628564;opencraft.x86_64;0;1682;15986;42;88;5805;1;running;None;5712;5712;5712;zmr280;913558540;2244692330;4925324;15022297;0;0;0;0;0;0;0;0;0;0;0;0;1208118501;3204482203;5931411;6487495;0;0;0;32;129128315;129128315;773692;773692;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26311;328271360;106;6316032;91642;894608896;100948;853975040;72187;658458112;12806;183246848;2961;47949312;87835;667557888;16287;185690624;14;3170304;12294;190113280;51977;10824744960;1145;23254528;51955;10821599232;56;2535424;0;0;10994;161832960;6;3145728;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;16874574.24;32971.87;0.0;43.82;451.21;0.0;27255.74;829884.28;9.5;1.6293749999999998;1200.0;3200.0;5024326469;1794979844;1138423324;0
1721944355468.077;27;331.2;0.0;0.0;0.0;18.21;27.79;1721944330.2;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5712;5712;5712;0;22430030;45980;24576;11393;197;0;4;7811031040;0;0;867661824;866836480;91545600;0;8192;867586048;8228605952;7811031040;0;0;866836480;91545600;8192;8228605952;1.284986946723347;opencraft.x86_64;0;1694;17548;42;88;5805;1;running;None;5712;5712;5712;zmr280;914034903;2244702911;4925702;15022378;0;0;0;0;0;0;0;0;0;0;0;0;1208118501;3204482203;5931411;6487495;0;0;0;32;129128315;129128315;773692;773692;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26311;328271360;106;6316032;91642;894608896;100948;853975040;72187;658458112;12806;183246848;2961;47949312;87835;667557888;16287;185690624;14;3170304;12294;190113280;51977;10824744960;1145;23254528;51955;10821599232;56;2535424;0;0;10994;161832960;6;3145728;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;16874603.75;32971.88;0.0;43.84;451.21;0.0;27256.63;829886.34;9.1;1.7004687499999995;1200.0;3200.0;5024419679;1795005077;1138432515;0
1721944356500.478;27;313.9;0.0;0.0;0.0;19.1;30.2;1721944330.2;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5712;5712;5712;0;23001263;47792;24576;11393;197;0;4;8415010816;0;0;1016780800;1018003456;91561984;0;8192;1016705024;8832585728;8146575360;0;0;1013809152;91561984;8192;8564150272;1.5028572941331053;opencraft.x86_64;0;1694;19009;42;88;5805;1;running;None;5712;5712;5712;zmr280;914460537;2244713578;4926043;15022457;0;0;0;0;0;0;0;0;0;0;0;0;1208118713;3204482371;5931413;6487496;0;0;0;32;129128315;129128315;773692;773692;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26311;328271360;106;6316032;91642;894608896;100948;853975040;72187;658458112;12806;183246848;2961;47949312;87835;667557888;16287;185690624;14;3170304;12294;190113280;51977;10824744960;1145;23254528;51955;10821599232;56;2535424;0;0;10994;161832960;6;3145728;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;16874633.93;32971.89;0.0;43.86;451.22;0.0;27257.56;829888.68;9.9;1.536;1200.0;3200.0;5024502709;1795028833;1138442483;0
1721944357554.302;21;326.3;0.0;0.0;0.0;20.21;32.51;1721944330.2;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5712;5712;5712;0;23504402;49388;24576;11393;197;0;4;8683446272;0;0;1190627328;1184759808;91574272;0;8192;1190551552;9101021184;8683446272;0;0;1189888000;91574272;8192;9101021184;1.7638742523419757;opencraft.x86_64;0;1696;20846;42;88;5805;1;running;None;5712;5712;5712;zmr280;914935068;2244724526;4926417;15022541;0;0;0;0;0;0;0;0;0;0;0;0;1208118713;3204482371;5931413;6487496;0;0;0;32;129128315;129128315;773692;773692;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26311;328271360;106;6316032;91642;894608896;100948;853975040;72187;658458112;12806;183246848;2961;47949312;87835;667557888;16287;185690624;14;3170304;12294;190113280;51977;10824744960;1145;23254528;51955;10821599232;56;2535424;0;0;10994;161832960;6;3145728;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;16874663.94;32971.89;0.0;43.89;451.22;0.0;27258.54;829890.68;9.1;1.85025;1200.0;3200.0;5024593658;1795052495;1138451904;0
1721944358601.6077;5;293.8;0.0;0.0;0.0;21.17;34.62;1721944330.2;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5712;5712;5712;0;23930620;50740;24576;11393;197;0;4;8692002816;0;0;1331320832;1333133312;91578368;0;8192;1331245056;9109577728;8692002816;0;0;1331015680;91578368;8192;9109577728;1.9730800608254278;opencraft.x86_64;0;1700;22781;42;88;5805;1;running;None;5712;5712;5712;zmr280;915357397;2244736207;4926766;15022633;0;0;0;0;0;0;0;0;0;0;0;0;1208118713;3204482371;5931413;6487496;0;0;0;32;129128315;129128315;773692;773692;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26311;328271360;106;6316032;91642;894608896;100948;853975040;72187;658458112;12806;183246848;2961;47949312;87835;667557888;16287;185690624;14;3170304;12294;190113280;51977;10824744960;1145;23254528;51955;10821599232;56;2535424;0;0;10994;161832960;6;3145728;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;16874694.2;32971.89;0.0;43.91;451.22;0.0;27259.45;829892.67;8.8;1.6682812499999993;1200.0;3200.0;5024679877;1795074634;1138461189;0
