Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;CheckGateState;StatisticsSystem;NumGateBlocks;NumInputTypeBlocks;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;378867712;9203712;408334336;0;0;0;0;0;0;0;0;0;0;
2;20040350;384282624;9203712;408334336;5366021;0;0;0;0;0;0;0;0;215682;0;0;0;0;0;0;
3;4781035;384782336;9203712;408334336;962258;0;0;0;0;0;0;0;0;3715;0;0;0;0;0;0;
4;1593374;384782336;9203712;408334336;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;1591572;385449984;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;594193;385720320;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;553037;385982464;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
8;553567;386236416;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
9;505307;386236416;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;1257310;386240512;9203712;441888768;717771;0;0;0;0;0;0;0;0;3742;0;0;0;0;0;0;
11;506684;386240512;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
12;489935;386240512;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13;518401;386240512;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
14;508583;386240512;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
15;513354;386428928;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16;529894;386428928;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;532783;386428928;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
18;494975;386428928;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
19;540324;386428928;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
20;483512;386666496;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
21;565652;386797568;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22;565237;387276800;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
23;537636;387547136;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
24;540664;388087808;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
25;544319;388087808;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
26;546273;388317184;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
27;603295;388317184;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
28;851437;388317184;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
29;658068;388317184;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
30;991759;388317184;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
31;505674;388317184;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
32;557860;388317184;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
33;547352;388317184;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
34;539483;388317184;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
35;524774;388317184;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
36;529927;388317184;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
37;552996;388317184;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
38;1200940;388583424;9203712;441888768;673394;0;0;0;0;0;0;0;0;3988;0;0;0;0;0;0;
39;554244;388583424;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
40;550806;388583424;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41;554379;388583424;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
42;529362;388853760;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
43;559277;388853760;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
44;508889;388853760;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
45;552885;388853760;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
46;494518;388853760;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
47;528027;388853760;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
48;489869;389124096;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
49;547406;389124096;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
50;483798;389124096;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
51;513002;389124096;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
52;511187;389124096;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
53;551612;389124096;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
54;543717;389124096;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
55;524232;389124096;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
56;538055;389394432;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
57;521737;389394432;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
58;552613;389394432;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
59;529277;389394432;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
60;542069;389394432;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
61;548146;389664768;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
62;535338;389664768;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
63;505369;389664768;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
64;513550;389664768;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
65;541238;389664768;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
66;555578;389664768;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
67;1250798;389832704;9203712;441888768;724398;0;0;0;0;0;0;0;0;5115;0;0;0;0;0;0;
68;529346;389832704;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
69;497191;389832704;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
70;505217;389832704;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
71;537120;389832704;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
72;524098;389832704;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
73;545102;389832704;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
74;532143;389832704;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
75;537502;389832704;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
76;510544;389832704;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
77;521729;389832704;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
78;507216;389832704;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
79;517288;389832704;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
80;493806;389832704;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
81;527423;389832704;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
82;491541;389832704;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
83;528691;389832704;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
84;522349;389832704;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
85;531727;389832704;9203712;441888768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
86;2597251;389832704;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
87;564023;389832704;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
88;531689;389832704;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
89;533993;389832704;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
90;535399;389832704;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
91;483461;389832704;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
92;515030;389832704;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
93;1259290;389832704;9265152;441950208;681175;0;0;0;0;0;0;0;0;4070;0;0;0;0;0;0;
94;535201;390082560;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
95;528033;390082560;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
96;549044;390082560;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
97;489860;390082560;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
98;513577;390082560;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
99;516353;390082560;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
100;3344978;390303744;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
101;536737;390303744;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
102;544017;390303744;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
103;506821;390303744;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
104;550638;390303744;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
105;530804;390303744;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
106;536614;390303744;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
107;543234;390303744;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
108;538159;390303744;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
109;529310;390303744;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
110;497091;390303744;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
111;540808;390303744;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
112;513213;390303744;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
113;514055;390303744;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
114;523025;390303744;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
115;529810;390303744;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
116;481628;390303744;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
117;7329589;390844416;9265152;441950208;6565750;2272882;766584;0;0;0;0;0;0;7626;0;0;0;9;0;0;
118;705791;390844416;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
119;549699;390844416;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
120;574050;390844416;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
121;590398;390844416;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
122;539721;390844416;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
123;513538;390844416;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
124;553491;390844416;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
125;526624;390844416;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
126;547527;391102464;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
127;512708;391102464;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
128;552737;391102464;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
129;566363;391102464;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
130;535653;391102464;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
131;545022;391102464;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
132;534678;391102464;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
133;544737;391102464;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
134;515873;391102464;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
135;1887388;391356416;9265152;441950208;1315722;0;13176;0;0;0;0;0;0;3833;0;0;0;9;0;0;
136;549868;391356416;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
137;519322;391356416;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
138;532553;391356416;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
139;550780;391356416;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
140;553664;391356416;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
141;565242;391356416;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
142;554604;391356416;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
143;556599;391356416;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
144;540999;391356416;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
145;548553;391356416;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
146;528040;391618560;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
147;548555;391618560;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
148;531757;391618560;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
149;530125;391618560;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
150;551595;391618560;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
151;550056;391618560;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
152;556843;391618560;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
153;535673;391618560;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
154;532222;391618560;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
155;516725;391618560;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
156;535041;391618560;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
157;2001145;391888896;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
158;637584;391888896;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
159;636282;391888896;9265152;441950208;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
