Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server),Unnamed: 21
7839,4124440,411226112,16429056,484765696,2609314,936278,37246,0,0,0,0,0,0,6682,378.0,558.0,0.0,76.0,0.0,1.0,
7840,2162098,411226112,16429056,484765696,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7841,1165225,411226112,16429056,484765696,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7842,1617569,411226112,16429056,484765696,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7843,993339,411226112,16429056,484765696,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7844,4099298,411226112,16429056,484765696,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7845,2986721,411226112,16429056,484765696,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7846,3556672,411385856,16429056,484765696,2141220,0,32793,0,0,0,0,0,0,4899,378.0,558.0,0.0,76.0,0.0,1.0,
7847,1330079,411385856,16429056,484765696,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7848,1976421,411385856,16429056,484765696,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7849,1250565,411607040,16429056,484765696,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7850,6243558,411607040,16429056,484765696,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7851,1309789,411607040,16429056,484765696,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7852,2736131,411607040,16429056,484765696,1714621,0,35527,0,0,0,0,0,0,4520,378.0,558.0,0.0,76.0,0.0,1.0,
7853,1110291,411607040,16429056,484765696,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7854,1577557,411607040,16429056,484765696,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7855,976796,411607040,16429056,484765696,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7856,5911519,411607040,16429056,484765696,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7857,1364134,411607040,16429056,484765696,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7858,1521271,411607040,16429056,484765696,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7859,2154651,411607040,16429056,484765696,1107548,0,33546,0,0,0,0,0,0,4529,378.0,558.0,0.0,76.0,0.0,1.0,
7860,1838135,411774976,16429056,484765696,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7861,1059955,411774976,16429056,484765696,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7862,4048712,411774976,16429056,484765696,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7863,2296795,411774976,16429056,484765696,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7864,1590622,411774976,16429056,484765696,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7865,996762,411774976,16429056,484765696,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7866,1548171,411774976,16429056,484765696,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7867,915451,411774976,16429056,484765696,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7868,7042299,411783168,16429056,484765696,5936159,0,65110,0,0,0,0,0,0,4555,378.0,558.0,0.0,76.0,0.0,1.0,
7869,1093808,411996160,16429056,501542912,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7870,1488152,411996160,16429056,501542912,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7871,809650,411996160,16429056,501542912,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7872,1382521,411996160,16429056,501542912,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7873,887015,411996160,16429056,501542912,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7874,4057222,411996160,16429056,501542912,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7875,3190032,412000256,16429056,501542912,1094491,0,46195,0,0,0,0,0,0,4591,378.0,558.0,0.0,76.0,0.0,1.0,
7876,2024922,412200960,16429056,501542912,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7877,1063821,412200960,16429056,501542912,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7878,1440793,412200960,16429056,501542912,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7879,951733,412200960,16429056,501542912,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7880,5951690,412200960,16429056,501542912,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7881,1300224,412200960,16429056,501542912,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7882,1627049,412200960,16429056,501542912,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7883,2159134,412205056,16429056,501542912,997701,0,33740,0,0,0,0,0,0,4480,378.0,558.0,0.0,76.0,0.0,1.0,
7884,1896076,412205056,16429056,501542912,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7885,1088297,412205056,16429056,501542912,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7886,4304179,412205056,16429056,501542912,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7887,3326494,412205056,16429056,501542912,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7888,1732380,412205056,16429056,501542912,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7889,1095645,412205056,16429056,501542912,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7890,2718581,412205056,16429056,501542912,1613056,0,35410,0,0,0,0,0,0,4876,378.0,558.0,0.0,76.0,0.0,1.0,
7891,1141630,412205056,16429056,501542912,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7892,3980962,412930048,16429056,518320128,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7893,3639953,412930048,16429056,518320128,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
