Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server),Unnamed: 21
10042,3519508,507121664,19173376,437178368,2784285,730094,175983,0,0,0,0,0,0,10404,378.0,558.0,0.0,19.0,0.0,1.0,
10043,1404084,507121664,19173376,437178368,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,19.0,0.0,1.0,
10044,693568,507121664,19173376,437178368,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,19.0,0.0,1.0,
10045,1137657,507121664,19173376,437178368,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,19.0,0.0,1.0,
10046,694981,507121664,19173376,437178368,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,19.0,0.0,1.0,
10047,4014046,507121664,19173376,437178368,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,19.0,0.0,1.0,
10048,688685,507121664,19173376,437178368,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,19.0,0.0,1.0,
10049,1218304,507121664,19173376,437178368,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,19.0,0.0,1.0,
10050,696176,507121664,19173376,437178368,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,19.0,0.0,1.0,
10051,1283188,507121664,19173376,437178368,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,19.0,0.0,1.0,
10052,682385,507121664,19173376,437178368,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,19.0,0.0,1.0,
10053,6575833,507121664,19173376,453955584,5754616,770594,21807,0,0,0,0,0,0,4014,378.0,558.0,0.0,29.0,0.0,1.0,
10054,721966,509218816,19173376,453955584,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,29.0,0.0,1.0,
10055,1395948,513413120,19173376,453955584,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,29.0,0.0,1.0,
10056,756536,513413120,19173376,453955584,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,29.0,0.0,1.0,
10057,1164112,513413120,19173376,453955584,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,29.0,0.0,1.0,
10058,671531,513413120,19173376,453955584,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,29.0,0.0,1.0,
10059,4075746,513413120,19173376,453955584,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,29.0,0.0,1.0,
10060,709924,513413120,19173376,453955584,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,29.0,0.0,1.0,
10061,1215369,513413120,19173376,453955584,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,29.0,0.0,1.0,
10062,2518415,513413120,19173376,453955584,1791156,670724,24223,0,0,0,0,0,0,11355,378.0,558.0,0.0,39.0,0.0,1.0,
10063,1355535,515510272,19173376,453955584,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,39.0,0.0,1.0,
10064,753822,515510272,19173376,453955584,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,39.0,0.0,1.0,
10065,4060122,515510272,19173376,453955584,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,39.0,0.0,1.0,
10066,716689,515510272,19173376,453955584,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,39.0,0.0,1.0,
10067,1296609,515510272,19173376,453955584,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,39.0,0.0,1.0,
10068,707876,515510272,19173376,453955584,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,39.0,0.0,1.0,
10069,1351322,515510272,19173376,453955584,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,39.0,0.0,1.0,
