Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server),Unnamed: 21
9931,4081556,526180352,23248896,458031104,3272784,1045429,130776,115805,0,0,0,0,0,11368,189.0,279.0,0.0,57.0,0.0,1.0,
9932,1539862,526180352,23248896,458031104,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,57.0,0.0,1.0,
9933,692000,526180352,23248896,458031104,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,57.0,0.0,1.0,
9934,1195469,526180352,23248896,458031104,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,57.0,0.0,1.0,
9935,695215,526180352,23248896,458031104,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,57.0,0.0,1.0,
9936,3947842,526180352,23248896,458031104,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,57.0,0.0,1.0,
9937,714258,526180352,23248896,458031104,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,57.0,0.0,1.0,
9938,1322887,526180352,23248896,458031104,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,57.0,0.0,1.0,
9939,4157561,526180352,23248896,458031104,3383685,1139831,24076,165128,0,0,0,0,0,10686,189.0,279.0,0.0,87.0,0.0,1.0,
9940,1398719,530374656,23248896,474808320,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,87.0,0.0,1.0,
9941,719916,532471808,23248896,474808320,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,87.0,0.0,1.0,
9942,4468137,532471808,23248896,474808320,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,87.0,0.0,1.0,
9943,762431,532471808,23248896,474808320,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,87.0,0.0,1.0,
9944,1250627,532471808,23248896,474808320,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,87.0,0.0,1.0,
9945,722591,532471808,23248896,474808320,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,87.0,0.0,1.0,
9946,1244184,532471808,23248896,474808320,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,87.0,0.0,1.0,
9947,747262,532471808,23248896,474808320,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,87.0,0.0,1.0,
9948,6619243,532471808,23248896,474808320,5852626,986566,27696,146497,0,0,0,0,0,4831,189.0,279.0,0.0,117.0,0.0,1.0,
9949,796906,534568960,23248896,474808320,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,117.0,0.0,1.0,
9950,1248487,534568960,23248896,474808320,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,117.0,0.0,1.0,
9951,711804,534568960,23248896,474808320,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,117.0,0.0,1.0,
9952,1231375,534568960,23248896,474808320,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,117.0,0.0,1.0,
9953,741838,534568960,23248896,474808320,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,117.0,0.0,1.0,
9954,4005216,534568960,23248896,474808320,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,117.0,0.0,1.0,
9955,703307,534568960,23248896,474808320,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,117.0,0.0,1.0,
9956,1247097,534568960,23248896,474808320,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,117.0,0.0,1.0,
9957,3010201,534568960,23248896,474808320,2283217,778886,23494,200343,0,0,0,0,0,12706,189.0,279.0,0.0,147.0,0.0,1.0,
9958,1255576,534568960,23248896,474808320,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,147.0,0.0,1.0,
9959,720684,534568960,23248896,474808320,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,147.0,0.0,1.0,
9960,4496560,536666112,23248896,474808320,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,147.0,0.0,1.0,
9961,893041,536666112,23248896,474808320,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,147.0,0.0,1.0,
9962,1291857,536666112,23248896,474808320,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,147.0,0.0,1.0,
9963,787630,536666112,23248896,474808320,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,147.0,0.0,1.0,
9964,1252764,536666112,23248896,474808320,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,147.0,0.0,1.0,
9965,723017,536666112,23248896,474808320,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,147.0,0.0,1.0,
9966,3023681,536666112,23248896,474808320,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,147.0,0.0,1.0,
9967,3379755,536666112,23248896,491585536,2623091,995745,27150,149207,0,0,0,0,0,4693,189.0,279.0,0.0,177.0,0.0,1.0,
9968,1713111,540860416,23248896,491585536,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,177.0,0.0,1.0,
9969,782239,542957568,23248896,491585536,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,177.0,0.0,1.0,
9970,1258792,542957568,23248896,491585536,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,177.0,0.0,1.0,
9971,789198,542957568,23248896,491585536,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,177.0,0.0,1.0,
9972,3782670,542957568,23248896,491585536,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,177.0,0.0,1.0,
9973,1384175,542957568,23252992,491589632,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,177.0,0.0,1.0,
9974,1206135,542957568,23252992,491589632,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,177.0,0.0,1.0,
9975,698862,542957568,23252992,491589632,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,177.0,0.0,1.0,
9976,3827438,542957568,23252992,491589632,3066055,1095959,24617,230995,0,0,0,0,0,4786,189.0,279.0,0.0,207.0,0.0,1.0,
9977,730072,545054720,23252992,491589632,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,207.0,0.0,1.0,
9978,4417143,545054720,23252992,491589632,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,207.0,0.0,1.0,
9979,783508,545054720,23252992,491589632,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,207.0,0.0,1.0,
9980,1355626,547151872,23252992,491589632,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,207.0,0.0,1.0,
9981,760563,547151872,23252992,491589632,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,207.0,0.0,1.0,
9982,1529823,547151872,23252992,491589632,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,207.0,0.0,1.0,
9983,739320,547151872,23252992,491589632,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,207.0,0.0,1.0,
9984,7192359,547151872,23252992,491589632,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,207.0,0.0,1.0,
9985,2974850,547151872,23252992,491589632,2295296,728128,27885,183483,0,0,0,0,0,5100,189.0,279.0,0.0,228.0,0.0,1.0,
9986,4453228,540041216,15855616,484192256,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
9987,683530,540041216,15855616,484192256,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
9988,1446923,540041216,15855616,484192256,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
9989,788603,540041216,15855616,484192256,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
9990,4104322,540041216,15855616,484192256,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
9991,2198581,540041216,15855616,484192256,1381440,0,21765,215309,0,0,0,0,0,2919,189.0,279.0,0.0,228.0,0.0,1.0,
9992,1277075,540053504,15851520,484188160,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
9993,700569,540053504,15851520,484188160,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
9994,1290372,544247808,15851520,500965376,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
9995,740873,546344960,15851520,500965376,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
9996,3757918,546344960,15851520,500965376,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
9997,1750414,546344960,15855616,500969472,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
9998,1268093,546344960,15855616,500969472,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
9999,758172,546344960,15855616,500969472,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10000,2269297,546344960,15855616,500969472,1549304,0,28141,253932,0,0,0,0,0,3364,189.0,279.0,0.0,228.0,0.0,1.0,
10001,724640,546344960,15855616,500969472,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10002,3610660,548442112,15855616,500969472,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10003,798784,548442112,15855616,500969472,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10004,1219569,548442112,15855616,500969472,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10005,730318,548442112,15855616,500969472,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10006,1192455,548442112,15855616,500969472,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10007,731769,548442112,15855616,500969472,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10008,4384376,548442112,15855616,500969472,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10009,702657,548442112,15855616,500969472,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10010,2262176,548442112,15855616,500969472,1542360,0,30382,97346,0,0,0,0,0,3829,189.0,279.0,0.0,228.0,0.0,1.0,
10011,729869,550539264,15855616,500969472,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10012,1218142,550539264,15855616,500969472,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10013,731916,550539264,15855616,500969472,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10014,3810553,550539264,15855616,500969472,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10015,1702209,550539264,15855616,500969472,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10016,1284671,550539264,15855616,500969472,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10017,715908,550539264,15855616,500969472,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10018,1285199,550539264,15855616,500969472,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10019,729861,550539264,15855616,500969472,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10020,4354756,550539264,15855616,500969472,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10021,1905701,550539264,15855616,500969472,1156104,0,29425,141080,0,0,0,0,0,4077,189.0,279.0,0.0,228.0,0.0,1.0,
10022,1281109,550539264,15855616,500969472,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10023,717355,550539264,15855616,500969472,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10024,1239840,550539264,15855616,500969472,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10025,716993,552636416,15855616,517746688,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10026,4720180,556830720,15855616,517746688,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10027,850800,556830720,15855616,517746688,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10028,1381657,556830720,15855616,517746688,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10029,694296,556830720,15855616,517746688,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10030,1290022,556830720,15855616,517746688,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10031,1769114,556830720,15855616,517746688,1062238,0,31458,177729,0,0,0,0,0,3911,189.0,279.0,0.0,228.0,0.0,1.0,
10032,4271263,558927872,15855616,517746688,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10033,698193,558927872,15855616,517746688,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10034,1275896,558944256,15851520,517742592,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10035,678607,558944256,15851520,517742592,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10036,1258209,558944256,15851520,517742592,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10037,691189,558944256,15851520,517742592,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10038,3097014,558944256,15851520,517742592,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10039,766104,558944256,15851520,517742592,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10040,1352970,558944256,15851520,517742592,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10041,693090,558944256,15851520,517742592,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10042,2136314,558944256,15851520,517742592,1398929,0,28586,91308,0,0,0,0,0,3457,189.0,279.0,0.0,228.0,0.0,1.0,
10043,750283,561041408,15851520,517742592,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10044,4114529,567332864,15851520,534519808,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10045,1613038,567332864,15855616,534523904,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10046,1230704,567332864,15855616,534523904,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10047,785532,567332864,15855616,534523904,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10048,1472840,567332864,15855616,534523904,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10049,710236,567332864,15855616,534523904,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10050,4211367,567332864,15855616,534523904,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10051,1755016,567332864,15855616,534523904,972217,0,39697,99681,0,0,0,0,0,3701,189.0,279.0,0.0,228.0,0.0,1.0,
10052,1419177,567332864,15855616,534523904,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10053,690150,567332864,15855616,534523904,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10054,1287863,567332864,15855616,534523904,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10055,742270,567332864,15855616,534523904,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10056,2962301,567332864,15855616,534523904,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10057,790687,567332864,15855616,534523904,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10058,1317935,567332864,15855616,534523904,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10059,717753,567332864,15855616,534523904,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10060,1545332,567332864,15855616,534523904,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10061,711458,567332864,15855616,534523904,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10062,4536916,570232832,23252992,541921280,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10063,2221526,570232832,23252992,541921280,949262,0,27600,88669,0,0,0,0,0,3806,189.0,279.0,0.0,228.0,0.0,1.0,
10064,1767496,572329984,23252992,541921280,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10065,718167,572329984,23252992,541921280,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10066,1276741,572329984,23252992,541921280,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10067,721870,572329984,23252992,541921280,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10068,4647123,574427136,23252992,541921280,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10069,739621,574427136,23252992,541921280,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10070,1327518,574427136,23252992,541921280,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10071,1660207,574427136,23252992,541921280,941744,0,27501,98977,0,0,0,0,0,3455,189.0,279.0,0.0,228.0,0.0,1.0,
10072,1292610,574427136,23252992,541921280,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10073,709376,574427136,23252992,541921280,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10074,4370891,576524288,23252992,541921280,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10075,777100,576524288,23252992,541921280,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10076,1252480,576524288,23252992,541921280,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10077,697951,576524288,23252992,541921280,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10078,1245756,576524288,23252992,541921280,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10079,733580,576524288,23252992,541921280,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10080,4173114,576524288,23252992,541921280,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10081,1917811,576524288,23252992,541921280,1172738,0,28418,93113,0,0,0,0,0,3634,189.0,279.0,0.0,228.0,0.0,1.0,
10082,1532476,576638976,23248896,541917184,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10083,725933,576638976,23248896,541917184,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10084,1289789,576638976,23248896,541917184,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10085,801201,578736128,23248896,541917184,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10086,4121357,578736128,23248896,541917184,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10087,830948,578736128,23248896,541917184,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10088,1249580,578736128,23248896,541917184,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10089,796376,578736128,23248896,541917184,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10090,1289537,578736128,23248896,541917184,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10091,756952,578736128,23248896,541917184,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10092,4052980,578736128,23248896,541917184,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10093,1559757,578736128,23248896,541917184,844213,0,28239,100650,0,0,0,0,0,3988,189.0,279.0,0.0,228.0,0.0,1.0,
10094,1204693,578736128,23248896,541917184,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10095,678217,578736128,23248896,541917184,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10096,1438494,578736128,23248896,541917184,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10097,730336,578736128,23248896,541917184,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10098,4041093,578736128,23248896,541917184,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10099,709042,578736128,23248896,541917184,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10100,1243357,578736128,23248896,541917184,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10101,685999,578736128,23248896,541917184,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10102,1436767,578736128,23248896,541917184,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10103,1622811,578736128,23248896,541917184,899822,0,26774,142165,0,0,0,0,0,3644,189.0,279.0,0.0,228.0,0.0,1.0,
10104,3820454,578736128,23248896,541917184,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10105,1607154,578736128,23252992,541921280,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10106,1261458,578736128,23252992,541921280,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
10107,730803,578736128,23252992,541921280,0,0,0,0,0,0,0,0,0,0,189.0,279.0,0.0,228.0,0.0,1.0,
