Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;CheckGateState;StatisticsSystem;NumGateBlocks;NumInputTypeBlocks;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;433799168;8318976;390672384;0;0;0;0;0;0;0;0;0;0;
2;16231322;445952000;8318976;390672384;4288177;0;0;0;0;0;0;0;0;150465;0;0;0;0;0;0;
3;3996700;448319488;8318976;390672384;1229769;0;0;0;0;0;0;0;0;2231;0;0;0;0;0;0;
4;1245084;448319488;8318976;390672384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;9502157;486260736;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;1425836;486514688;8318976;424226816;631058;0;0;0;0;0;0;0;0;3842;0;0;0;0;0;0;
7;514582;486514688;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
8;479130;486514688;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
9;497509;486514688;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;484931;486514688;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11;491546;486514688;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
12;465620;486514688;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13;501588;486514688;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
14;476087;486514688;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
15;542002;486514688;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16;479751;486514688;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;507787;486514688;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
18;484655;486514688;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
19;513773;486514688;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
20;476758;486514688;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
21;506661;486514688;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22;447082;486514688;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
23;507377;486514688;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
24;816553;486514688;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
25;629013;486514688;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
26;855145;486514688;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
27;1112988;486514688;8318976;424226816;608271;0;0;0;0;0;0;0;0;2255;0;0;0;0;0;0;
28;525544;486514688;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
29;495601;486514688;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
30;492934;486514688;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
31;490676;486514688;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
32;502875;486514688;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
33;479604;486514688;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
34;511401;486514688;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
35;458476;486514688;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
36;504951;486764544;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
37;472192;488861696;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
38;507290;488861696;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
39;478859;488861696;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
40;497768;489070592;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41;481513;489070592;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
42;504971;489070592;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
43;453366;489070592;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
44;484795;489070592;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
45;464004;489070592;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
46;503954;489070592;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
47;462893;489070592;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
48;489593;489070592;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
49;491308;489070592;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
50;501413;489332736;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
51;469680;489332736;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
52;529479;489332736;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
53;446847;489332736;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
54;492622;489332736;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
55;492351;489332736;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
56;491240;489332736;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
57;481635;489332736;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
58;513318;489332736;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
59;1028781;489332736;8318976;424226816;534100;0;0;0;0;0;0;0;0;2277;0;0;0;0;0;0;
60;506629;489332736;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
61;524830;489332736;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
62;503185;489603072;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
63;534883;489603072;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
64;482194;489603072;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
65;526873;489603072;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
66;554058;489603072;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
67;536734;489603072;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
68;510938;489603072;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
69;514694;489603072;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
70;554352;489603072;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
71;535793;489603072;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
72;532731;489603072;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
73;546080;489603072;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
74;527081;489603072;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
75;548072;489603072;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
76;538277;489603072;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
77;527063;489603072;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
78;528659;489603072;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
79;534585;489603072;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
80;535928;489603072;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
81;603762;489603072;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
82;563413;489603072;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
83;553439;489603072;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
84;543735;489603072;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
85;514438;490143744;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
86;559502;490143744;8318976;424226816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
87;3665364;490143744;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
88;1157941;490143744;8380416;424288256;585419;0;0;0;0;0;0;0;0;2264;0;0;0;0;0;0;
89;534540;490143744;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
90;531412;490143744;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
91;507319;490143744;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
92;512815;490143744;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
93;498372;490143744;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
94;518106;490143744;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
95;470010;490143744;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
96;503792;490143744;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
97;471422;490143744;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
98;506174;490143744;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
99;467733;490143744;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
100;2920900;490143744;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
101;494542;490143744;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
102;496943;490143744;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
103;507192;490143744;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
104;457896;490143744;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
105;479319;490143744;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
106;472717;490143744;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
107;492225;490143744;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
108;5317878;490414080;8380416;424288256;4803526;1209656;652438;0;0;0;0;0;0;5024;0;0;0;9;0;0;
109;577742;490414080;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
110;498546;490414080;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
111;495422;490414080;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
112;504390;490414080;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
113;512867;490414080;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
114;491404;490414080;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
115;488647;490414080;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
116;478169;490414080;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
117;504759;490414080;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
118;520887;490414080;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
119;497292;490414080;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
120;479264;490414080;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
121;483511;490414080;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
122;494223;490414080;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
123;496657;490414080;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
124;462475;490414080;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
125;500010;490414080;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
126;454678;490414080;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
127;482117;490414080;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
128;479914;490414080;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
129;517371;490414080;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
130;495224;490414080;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
131;505209;490414080;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
132;2179021;492511232;8380416;424288256;1665053;0;6529;0;0;0;0;0;0;2069;0;0;0;9;0;0;
133;554404;492511232;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
134;520944;492511232;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
135;535255;492511232;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
136;526260;492773376;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
137;498309;492773376;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
138;495413;492773376;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
139;514422;492773376;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
140;508107;492773376;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
141;517727;492773376;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
142;483847;492773376;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
143;511394;492773376;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
144;501348;492773376;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
145;520520;492773376;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
146;488939;492773376;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
147;518938;492773376;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
148;471711;493043712;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
149;520217;493043712;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
150;479339;493043712;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
151;526477;493043712;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
152;471054;493043712;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
153;500203;493043712;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
154;471115;493043712;8380416;424288256;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
155;533932;493043712;11198464;427106304;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
156;483636;493043712;11198464;427106304;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
157;504931;493043712;11198464;427106304;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
158;478827;493314048;11198464;427106304;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
