timestamp,cpu_percent,rss
1721942069.3909261,0.0,1226752000
1721942070.3913445,0.5,1246367744
1721942071.3920894,1.8,1254555648
1721942072.3926833,3.1,1275830272
1721942073.3934207,3.2,1301307392
1721942074.3940895,3.2,1330581504
1721942075.394851,3.1,1359929344
1721942076.3955524,3.2,1324032000
1721942077.3962414,3.1,1323950080
1721942078.3967552,3.1,1323606016
1721942079.3973012,3.1,1323462656
1721942080.3978364,3.5,1424257024
1721942081.398558,5.9,1619873792
1721942082.3990934,16.8,1883308032
1721942083.399565,20.0,2113896448
1721942084.4000096,18.7,2152947712
1721942085.4004521,19.3,2157142016
1721942086.4009387,18.4,2157142016
1721942087.4014053,20.2,2190172160
1721942088.4018803,18.8,2190028800
1721942089.4023864,17.4,2189008896
1721942090.4030209,16.2,2228662272
1721942091.4035265,15.4,2224545792
1721942092.4039874,15.9,2253545472
1721942093.4045136,14.7,2257309696
1721942094.4049764,15.4,2262011904
1721942095.4054885,14.0,2302885888
1721942096.4059763,14.4,2302124032
1721942097.4064596,15.8,2302201856
1721942098.4068973,14.1,2340790272
1721942099.4073718,14.9,2340663296
1721942100.4078496,14.0,2377973760
1721942101.408369,14.7,2381647872
1721942102.4089284,14.9,2381725696
1721942103.4095182,14.4,2415722496
1721942104.4100447,13.0,2415214592
1721942105.4106665,11.4,2410573824
1721942106.411242,11.7,2451480576
1721942107.4116971,12.1,2447458304
1721942108.4121344,10.9,2488729600
1721942109.4126768,11.6,2488459264
1721942110.413132,10.5,2492145664
1721942111.4135973,11.2,2522243072
1721942112.414088,11.6,2522259456
1721942113.414606,10.9,2525929472
1721942114.4151316,11.5,2561388544
1721942115.4157438,11.4,2561388544
1721942116.4162638,12.1,2598998016
1721942117.416866,11.7,2603192320
1721942118.417369,11.5,2603192320
1721942119.4178293,10.7,2645262336
1721942120.4183247,11.3,2645262336
1721942121.4187481,12.1,2645008384
1721942122.4192607,10.8,2688921600
1721942123.4197605,11.7,2689048576
1721942124.4202118,11.4,2733088768
1721942125.4207275,11.3,2733088768
1721942126.4213037,11.6,2732937216
1721942127.4217744,10.7,2777104384
1721942128.4223073,11.5,2777104384
1721942129.422821,10.5,2779709440
1721942130.423327,11.1,2816155648
1721942131.4238515,11.1,2812375040
1721942132.424401,11.7,2843844608
1721942133.4249585,11.6,2859356160
1721942134.4255016,11.2,2855981056
1721942135.4259214,11.1,2901610496
1721942136.42635,11.7,2904338432
1721942137.426867,11.2,2904207360
1721942138.427399,10.9,2954309632
1721942139.4279463,11.3,2947735552
1721942140.428577,9.8,2984402944
1721942141.429135,11.7,2983739392
1721942142.4296844,11.3,2983112704
1721942143.4302704,10.8,3013029888
1721942144.4308076,11.0,3013537792
1721942145.4313855,11.1,3013971968
1721942146.4318955,11.4,3047399424
1721942147.4324853,11.2,3047526400
1721942148.4330723,10.3,3084701696
1721942149.4337556,10.4,3089022976
1721942150.4343433,10.6,3089149952
1721942151.4349198,11.6,3125493760
1721942152.4355025,11.0,3125809152
1721942153.436041,10.3,3125682176
1721942154.4366286,10.8,3165655040
1721942155.437202,10.2,3165368320
1721942156.4377832,9.8,3198922752
1721942157.4383442,10.7,3203244032
1721942158.4388433,10.2,3203117056
1721942159.4394135,11.4,3242766336
1721942160.4399445,13.0,3252568064
1721942161.4404871,10.4,3250806784
1721942162.4410338,10.7,3288432640
1721942163.4415784,11.6,3287748608
1721942164.4421349,11.0,3327496192
1721942165.442777,11.1,3331579904
1721942166.4432933,11.0,3331452928
1721942167.4438906,10.6,3366977536
1721942168.4444795,10.1,3368947712
1721942169.4450696,10.1,3368820736
1721942170.445611,10.9,3410890752
1721942171.446155,10.3,3410604032
1721942172.4467278,11.1,3443884032
1721942173.4472735,10.6,3443884032
1721942174.447781,10.4,3443728384
1721942175.4483619,9.5,3476897792
1721942176.4489372,10.9,3476643840
1721942177.4495819,10.8,3476516864
1721942178.4501336,10.0,3509915648
