timestamp;proc.cpu_num;proc.cpu_percent;proc.cpu_times.children_system;proc.cpu_times.children_user;proc.cpu_times.iowait;proc.cpu_times.system;proc.cpu_times.user;proc.create_time;proc.cwd;proc.exe;proc.gids.effective;proc.gids.real;proc.gids.saved;proc.io_counters.read_bytes;proc.io_counters.read_chars;proc.io_counters.read_count;proc.io_counters.write_bytes;proc.io_counters.write_chars;proc.io_counters.write_count;proc.ionice.ioclass;proc.ionice.value;proc.memory_full_info.data;proc.memory_full_info.dirty;proc.memory_full_info.lib;proc.memory_full_info.pss;proc.memory_full_info.rss;proc.memory_full_info.shared;proc.memory_full_info.swap;proc.memory_full_info.text;proc.memory_full_info.uss;proc.memory_full_info.vms;proc.memory_info.data;proc.memory_info.dirty;proc.memory_info.lib;proc.memory_info.rss;proc.memory_info.shared;proc.memory_info.text;proc.memory_info.vms;proc.memory_percent;proc.name;proc.nice;proc.num_ctx_switches.involuntary;proc.num_ctx_switches.voluntary;proc.num_fds;proc.num_threads;proc.pid;proc.ppid;proc.status;proc.terminal;proc.uids.effective;proc.uids.real;proc.uids.saved;proc.username;net.bytes_sent.eth0;net.bytes_recv.eth0;net.packets_sent.eth0;net.packets_recv.eth0;net.errin.eth0;net.errout.eth0;net.dropin.eth0;net.dropout.eth0;net.bytes_sent.eth1;net.bytes_recv.eth1;net.packets_sent.eth1;net.packets_recv.eth1;net.errin.eth1;net.errout.eth1;net.dropin.eth1;net.dropout.eth1;net.bytes_sent.eth2;net.bytes_recv.eth2;net.packets_sent.eth2;net.packets_recv.eth2;net.errin.eth2;net.errout.eth2;net.dropin.eth2;net.dropout.eth2;net.bytes_sent.eth3;net.bytes_recv.eth3;net.packets_sent.eth3;net.packets_recv.eth3;net.errin.eth3;net.errout.eth3;net.dropin.eth3;net.dropout.eth3;net.bytes_sent.eth4;net.bytes_recv.eth4;net.packets_sent.eth4;net.packets_recv.eth4;net.errin.eth4;net.errout.eth4;net.dropin.eth4;net.dropout.eth4;net.bytes_sent.ib0;net.bytes_recv.ib0;net.packets_sent.ib0;net.packets_recv.ib0;net.errin.ib0;net.errout.ib0;net.dropin.ib0;net.dropout.ib0;net.bytes_sent.lo;net.bytes_recv.lo;net.packets_sent.lo;net.packets_recv.lo;net.errin.lo;net.errout.lo;net.dropin.lo;net.dropout.lo;disk.read_count.nvme0n1;disk.read_bytes.nvme0n1;disk.write_count.nvme0n1;disk.write_bytes.nvme0n1;disk.read_count.nvme0n1p1;disk.read_bytes.nvme0n1p1;disk.write_count.nvme0n1p1;disk.write_bytes.nvme0n1p1;disk.read_count.nvme0n1p2;disk.read_bytes.nvme0n1p2;disk.write_count.nvme0n1p2;disk.write_bytes.nvme0n1p2;disk.read_count.nvme0n1p3;disk.read_bytes.nvme0n1p3;disk.write_count.nvme0n1p3;disk.write_bytes.nvme0n1p3;disk.read_count.nvme0n1p4;disk.read_bytes.nvme0n1p4;disk.write_count.nvme0n1p4;disk.write_bytes.nvme0n1p4;cpu.guest;cpu.guest_nice;cpu.idle;cpu.iowait;cpu.irq;cpu.nice;cpu.softirq;cpu.steal;cpu.system;cpu.user;cpu.percent;cpu.freq.current;cpu.freq.min;cpu.freq.max;cpu.ctx_switches;cpu.interrupts;cpu.soft_interrupts;cpu.syscalls
1722419256644.1924;35;406.9;0.0;0.0;0.0;7.24;7.64;1722419243.88;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;155648;13496613;15334;16384;11170;190;0;4;1514545152;0;0;498946048;499355648;149757952;0;8192;498401280;7677747200;1514545152;0;0;499355648;149757952;8192;7677747200;0.36984430881224684;opencraft.x86_64;0;2877;3011;44;120;193986;1;running;None;5378;5378;5378;zmr280;6201429749;282549770092;53050246;279571059;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;586800764;45211640974;3577201;7182163;0;0;0;0;0;0;0;0;0;0;0;0;9126604;9126604;50233;50233;0;0;0;0;193478;4408523776;1982336;244975121408;448;4964352;11;1057792;184151;4352091136;174519;9973440512;8327;36243456;1807794;235000393728;209;8863744;0;0;0.0;0.0;28077667.47;511.72;13461.51;2100.89;4434.81;0.0;151711.87;1398989.66;8.7;2.745020833333332;1500.0;2800.0;16687155780;6058102803;1418923596;0
1722419257716.6877;35;358.1;0.0;0.0;0.0;7.9;10.82;1722419243.88;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;155648;15982255;22158;16384;11170;190;0;4;1519874048;0;0;504352768;504836096;149757952;0;8192;503808000;7677747200;1519874048;0;0;504836096;149757952;8192;7677747200;0.3739033647389387;opencraft.x86_64;0;2972;5292;44;120;193986;1;running;None;5378;5378;5378;zmr280;6201432129;282549773894;53050256;279571075;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;586801394;45211641520;3577206;7182166;0;0;0;0;0;0;0;0;0;0;0;0;9126604;9126604;50233;50233;0;0;0;0;193478;4408523776;1982336;244975121408;448;4964352;11;1057792;184151;4352091136;174519;9973440512;8327;36243456;1807794;235000393728;209;8863744;0;0;0.0;0.0;28077714.75;511.72;13461.6;2100.92;4434.83;0.0;151712.6;1398992.84;7.9;2.777666666666665;1500.0;2800.0;16687274208;6058166143;1418933330;0
1722419258785.6968;35;331.4;0.0;0.0;0.0;8.69;13.57;1722419243.88;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;155648;17701515;26878;16384;11170;190;0;4;1514532864;0;0;498753536;499183616;149757952;0;8192;498208768;7677747200;1514532864;0;0;499183616;149757952;8192;7677747200;0.3697168945006466;opencraft.x86_64;0;3069;7785;44;120;193986;1;running;None;5378;5378;5378;zmr280;6201434509;282549783127;53050266;279571104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;586801394;45211641520;3577206;7182166;0;0;0;0;0;0;0;0;0;0;0;0;9126604;9126604;50233;50233;0;0;0;0;193478;4408523776;1982336;244975121408;448;4964352;11;1057792;184151;4352091136;174519;9973440512;8327;36243456;1807794;235000393728;209;8863744;0;0;0.0;0.0;28077762.2;511.72;13461.68;2100.94;4434.86;0.0;151713.33;1398995.6;7.1;2.644312499999999;1500.0;2800.0;16687384746;6058224893;1418943523;0
1722419259854.7795;35;324.5;0.0;0.0;0.0;9.34;16.39;1722419243.88;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;155648;19276532;31202;16384;11170;190;0;4;1519878144;0;0;503939072;504397824;149757952;0;8192;503394304;7677747200;1519878144;0;0;504397824;149757952;8192;7677747200;0.3735787616117668;opencraft.x86_64;0;3165;10425;44;120;193986;1;running;None;5378;5378;5378;zmr280;6201436889;282549792469;53050276;279571133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;586801394;45211641520;3577206;7182166;0;0;0;0;0;0;0;0;0;0;0;0;9126604;9126604;50233;50233;0;0;0;0;193478;4408523776;1982336;244975121408;448;4964352;11;1057792;184151;4352091136;174519;9973440512;8327;36243456;1807794;235000393728;209;8863744;0;0;0.0;0.0;28077809.79;511.72;13461.75;2100.97;4434.88;0.0;151714.02;1398998.39;7.0;2.639395833333332;1500.0;2800.0;16687490054;6058283120;1418951940;0
1722419260923.8433;35;320.9;0.0;0.0;0.0;10.14;19.02;1722419243.88;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;155648;20794726;35370;16384;11170;190;0;4;1521983488;0;0;506445824;506920960;149757952;0;8192;505901056;7677747200;1521983488;0;0;506920960;149757952;8192;7677747200;0.3754475048485696;opencraft.x86_64;0;3261;13283;44;120;193986;1;running;None;5378;5378;5378;zmr280;6201439507;282549801449;53050287;279571161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;586801394;45211641520;3577206;7182166;0;0;0;0;0;0;0;0;0;0;0;0;9126604;9126604;50233;50233;0;0;0;0;193478;4408523776;1982338;244975178752;448;4964352;11;1057792;184151;4352091136;174521;9973497856;8327;36243456;1807794;235000393728;209;8863744;0;0;0.0;0.0;28077857.64;511.72;13461.83;2100.99;4434.9;0.0;151714.74;1399000.84;6.4;2.7748541666666653;1500.0;2800.0;16687592497;6058338574;1418959662;0
1722419261998.7314;35;320.8;0.0;0.0;0.0;10.94;21.67;1722419243.88;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;155648;22311463;39534;16384;11170;190;0;4;1521983488;0;0;506445824;506925056;149757952;0;8192;505901056;7677747200;1521983488;0;0;506925056;149757952;8192;7677747200;0.3754505385226553;opencraft.x86_64;0;3357;15935;44;120;193986;1;running;None;5378;5378;5378;zmr280;6201441887;282549810429;53050297;279571189;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;586801626;45211641702;3577208;7182167;0;0;0;0;0;0;0;0;0;0;0;0;9126604;9126604;50233;50233;0;0;0;0;193478;4408523776;1982338;244975178752;448;4964352;11;1057792;184151;4352091136;174521;9973497856;8327;36243456;1807794;235000393728;209;8863744;0;0;0.0;0.0;28077905.52;511.72;13461.91;2101.02;4434.92;0.0;151715.48;1399003.3;6.5;2.606291666666665;1500.0;2800.0;16687695105;6058394119;1418969136;0
1722419263073.7725;35;326.0;0.0;0.0;0.0;11.67;24.44;1722419243.88;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;155648;23822372;43682;16384;11170;190;0;4;1521975296;0;0;506454016;506933248;149757952;0;8192;505909248;7677747200;1521975296;0;0;506933248;149757952;8192;7677747200;0.3754566058708268;opencraft.x86_64;0;3455;18926;44;120;193986;1;running;None;5378;5378;5378;zmr280;6201444267;282549819710;53050307;279571219;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;586801626;45211641702;3577208;7182167;0;0;0;0;0;0;0;0;0;0;0;0;9126604;9126604;50233;50233;0;0;0;0;193478;4408523776;1982338;244975178752;448;4964352;11;1057792;184151;4352091136;174521;9973497856;8327;36243456;1807794;235000393728;209;8863744;0;0;0.0;0.0;28077952.85;511.72;13461.98;2101.04;4434.94;0.0;151716.14;1399005.91;6.7;2.765041666666665;1500.0;2800.0;16687797331;6058447600;1418978109;0
1722419264137.2236;9;316.8;0.0;0.0;0.0;12.46;27.02;1722419243.88;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;278528;24983601;46870;20480;11196;191;0;4;1516634112;0;0;500281344;500760576;149876736;0;8192;499736576;7677747200;1516634112;0;0;500760576;149876736;8192;7677747200;0.3708848590236484;opencraft.x86_64;0;3547;22258;44;120;193986;1;running;None;5378;5378;5378;zmr280;6201446647;282549824460;53050317;279571239;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;586805092;45211766108;3577217;7182184;0;0;0;0;0;0;0;0;0;0;0;0;9126604;9126604;50233;50233;0;0;0;0;193478;4408523776;1982338;244975178752;448;4964352;11;1057792;184151;4352091136;174521;9973497856;8327;36243456;1807794;235000393728;209;8863744;0;0;0.0;0.0;28078000.33;511.72;13462.06;2101.06;4434.97;0.0;151716.87;1399008.34;6.5;2.725708333333332;1500.0;2800.0;16687894373;6058498107;1418985762;0
1722419265201.2207;9;257.7;0.0;0.0;0.0;13.03;29.19;1722419243.88;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;278528;25484809;48246;20480;11196;191;0;4;1516630016;0;0;500436992;500920320;149876736;0;8192;499892224;7677747200;1516630016;0;0;500920320;149876736;8192;7677747200;0.37100317231299146;opencraft.x86_64;0;3644;24196;44;120;193986;1;running;None;5378;5378;5378;zmr280;6201449027;282549833440;53050327;279571267;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;586805092;45211766108;3577217;7182184;0;0;0;0;0;0;0;0;0;0;0;0;9126604;9126604;50233;50233;0;0;0;0;193478;4408523776;1982338;244975178752;448;4964352;11;1057792;184151;4352091136;174521;9973497856;8327;36243456;1807794;235000393728;209;8863744;0;0;0.0;0.0;28078048.55;511.72;13462.12;2101.07;4434.98;0.0;151717.44;1399010.4;5.3;2.7384374999999985;1500.0;2800.0;16687958986;6058533390;1418991945;0
1722419266269.2383;9;266.9;0.0;0.0;0.0;13.59;31.48;1722419243.88;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;278528;26028270;49738;20480;11196;191;0;4;1530388480;0;0;503910400;504274944;149876736;0;8192;503365632;7686160384;1530388480;0;0;504274944;149876736;8192;7686160384;0.3734877513891952;opencraft.x86_64;0;3738;26018;44;120;193986;1;running;None;5378;5378;5378;zmr280;6201451407;282549842893;53050337;279571296;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;586805092;45211766108;3577217;7182184;0;0;0;0;0;0;0;0;0;0;0;0;9126604;9126604;50233;50233;0;0;0;0;193478;4408523776;1982349;244975227904;448;4964352;11;1057792;184151;4352091136;174532;9973547008;8327;36243456;1807794;235000393728;209;8863744;0;0;0.0;0.0;28078096.72;511.72;13462.19;2101.09;4435.0;0.0;151718.04;1399012.67;5.8;2.7137083333333316;1500.0;2800.0;16688028375;6058571202;1418999947;0
