timestamp;proc.cpu_num;proc.cpu_percent;proc.cpu_times.children_system;proc.cpu_times.children_user;proc.cpu_times.iowait;proc.cpu_times.system;proc.cpu_times.user;proc.create_time;proc.cwd;proc.exe;proc.gids.effective;proc.gids.real;proc.gids.saved;proc.io_counters.read_bytes;proc.io_counters.read_chars;proc.io_counters.read_count;proc.io_counters.write_bytes;proc.io_counters.write_chars;proc.io_counters.write_count;proc.ionice.ioclass;proc.ionice.value;proc.memory_full_info.data;proc.memory_full_info.dirty;proc.memory_full_info.lib;proc.memory_full_info.pss;proc.memory_full_info.rss;proc.memory_full_info.shared;proc.memory_full_info.swap;proc.memory_full_info.text;proc.memory_full_info.uss;proc.memory_full_info.vms;proc.memory_info.data;proc.memory_info.dirty;proc.memory_info.lib;proc.memory_info.rss;proc.memory_info.shared;proc.memory_info.text;proc.memory_info.vms;proc.memory_percent;proc.name;proc.nice;proc.num_ctx_switches.involuntary;proc.num_ctx_switches.voluntary;proc.num_fds;proc.num_threads;proc.pid;proc.ppid;proc.status;proc.terminal;proc.uids.effective;proc.uids.real;proc.uids.saved;proc.username;net.bytes_sent.eth0;net.bytes_recv.eth0;net.packets_sent.eth0;net.packets_recv.eth0;net.errin.eth0;net.errout.eth0;net.dropin.eth0;net.dropout.eth0;net.bytes_sent.eth1;net.bytes_recv.eth1;net.packets_sent.eth1;net.packets_recv.eth1;net.errin.eth1;net.errout.eth1;net.dropin.eth1;net.dropout.eth1;net.bytes_sent.eth2;net.bytes_recv.eth2;net.packets_sent.eth2;net.packets_recv.eth2;net.errin.eth2;net.errout.eth2;net.dropin.eth2;net.dropout.eth2;net.bytes_sent.eth3;net.bytes_recv.eth3;net.packets_sent.eth3;net.packets_recv.eth3;net.errin.eth3;net.errout.eth3;net.dropin.eth3;net.dropout.eth3;net.bytes_sent.eth4;net.bytes_recv.eth4;net.packets_sent.eth4;net.packets_recv.eth4;net.errin.eth4;net.errout.eth4;net.dropin.eth4;net.dropout.eth4;net.bytes_sent.ib0;net.bytes_recv.ib0;net.packets_sent.ib0;net.packets_recv.ib0;net.errin.ib0;net.errout.ib0;net.dropin.ib0;net.dropout.ib0;net.bytes_sent.lo;net.bytes_recv.lo;net.packets_sent.lo;net.packets_recv.lo;net.errin.lo;net.errout.lo;net.dropin.lo;net.dropout.lo;disk.read_count.nvme0n1;disk.read_bytes.nvme0n1;disk.write_count.nvme0n1;disk.write_bytes.nvme0n1;disk.read_count.nvme0n1p1;disk.read_bytes.nvme0n1p1;disk.write_count.nvme0n1p1;disk.write_bytes.nvme0n1p1;disk.read_count.nvme0n1p2;disk.read_bytes.nvme0n1p2;disk.write_count.nvme0n1p2;disk.write_bytes.nvme0n1p2;disk.read_count.nvme0n1p3;disk.read_bytes.nvme0n1p3;disk.write_count.nvme0n1p3;disk.write_bytes.nvme0n1p3;disk.read_count.nvme0n1p4;disk.read_bytes.nvme0n1p4;disk.write_count.nvme0n1p4;disk.write_bytes.nvme0n1p4;cpu.guest;cpu.guest_nice;cpu.idle;cpu.iowait;cpu.irq;cpu.nice;cpu.softirq;cpu.steal;cpu.system;cpu.user;cpu.percent;cpu.freq.current;cpu.freq.min;cpu.freq.max;cpu.ctx_switches;cpu.interrupts;cpu.soft_interrupts;cpu.syscalls
1722246527857.183;3;382.3;0.0;0.0;0.0;7.2;7.35;1722246514.54;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;0;13625370;15698;16384;11117;190;0;4;1517764608;0;0;514749440;515366912;149913600;0;8192;514273280;7541092352;1517764608;0;0;515366912;149913600;8192;7541092352;0.38170291765407693;opencraft.x86_64;0;2587;3952;44;120;152632;1;running;None;5378;5378;5378;zmr280;3438482393;310480851267;44181041;228083267;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2564993070;56070673492;4484020;8804459;0;0;0;0;0;0;0;0;0;0;0;0;11468990;11468990;63615;63615;0;0;0;0;301703;5802990592;2310026;289873744896;370;2166784;11;1057792;241004;5550257152;159691;10057351168;60190;247470080;2150312;279815106560;44;1462272;0;0;0.0;0.0;24419225.82;631.83;2351.41;239.91;1666.15;0.0;24193.49;271263.53;8.3;2.7376666666666654;1500.0;2800.0;1399421567;1057856976;302439634;0
1722246528919.4802;3;340.3;0.0;0.0;0.0;7.98;10.19;1722246514.54;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;0;16123866;22562;16384;11117;190;0;4;1517588480;0;0;514597888;515198976;149913600;0;8192;514121728;7541092352;1517588480;0;0;515198976;149913600;8192;7541092352;0.3815785370241091;opencraft.x86_64;0;2682;6828;44;120;152632;1;running;None;5378;5378;5378;zmr280;3438484753;310480881091;44181051;228083383;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2564993070;56070673492;4484020;8804459;0;0;0;0;0;0;0;0;0;0;0;0;11468990;11468990;63615;63615;0;0;0;0;301703;5802990592;2310026;289873744896;370;2166784;11;1057792;241004;5550257152;159691;10057351168;60190;247470080;2150312;279815106560;44;1462272;0;0;0.0;0.0;24419272.94;631.83;2351.49;239.93;1666.18;0.0;24194.24;271266.3;7.2;2.7653124999999985;1500.0;2800.0;1399533560;1057915232;302449043;0
1722246529983.5366;3;314.3;0.0;0.0;0.0;8.62;12.89;1722246514.54;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;0;17922026;27502;16384;11117;190;0;4;1517584384;0;0;514581504;515190784;149913600;0;8192;514105344;7541092352;1517584384;0;0;515190784;149913600;8192;7541092352;0.38157246967630576;opencraft.x86_64;0;2778;10299;44;120;152632;1;running;None;5378;5378;5378;zmr280;3438487113;310480909351;44181061;228083498;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2564993070;56070673492;4484020;8804459;0;0;0;0;0;0;0;0;0;0;0;0;11468990;11468990;63615;63615;0;0;0;0;301703;5802990592;2310028;289873806336;370;2166784;11;1057792;241004;5550257152;159693;10057412608;60190;247470080;2150312;279815106560;44;1462272;0;0;0.0;0.0;24419320.38;631.83;2351.56;239.97;1666.2;0.0;24194.95;271269.07;7.1;2.7471458333333314;1500.0;2800.0;1399635540;1057969262;302457603;0
1722246531046.451;3;307.7;0.0;0.0;0.0;9.28;15.5;1722246514.54;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;0;19514890;31878;16384;11117;190;0;4;1517584384;0;0;514585600;515190784;149913600;0;8192;514109440;7541092352;1517584384;0;0;515190784;149913600;8192;7541092352;0.38157246967630576;opencraft.x86_64;0;2869;13854;44;120;152632;1;running;None;5378;5378;5378;zmr280;3438489709;310480943304;44181072;228083637;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2564993070;56070673492;4484020;8804459;0;0;0;0;0;0;0;0;0;0;0;0;11468990;11468990;63615;63615;0;0;0;0;301703;5802990592;2310028;289873806336;370;2166784;11;1057792;241004;5550257152;159693;10057412608;60190;247470080;2150312;279815106560;44;1462272;0;0;0.0;0.0;24419367.81;631.83;2351.64;239.99;1666.22;0.0;24195.68;271271.74;6.9;2.7819374999999984;1500.0;2800.0;1399736296;1058023217;302466776;0
1722246532108.5444;3;313.5;0.0;0.0;0.0;9.91;18.2;1722246514.54;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;0;21096106;36222;16384;11117;190;0;4;1519681536;0;0;516682752;517292032;149913600;0;8192;516206592;7541092352;1519677440;0;0;517287936;149913600;8192;7541092352;0.3831257107139533;opencraft.x86_64;0;2960;17308;44;120;152632;1;running;None;5378;5378;5378;zmr280;3438492069;310480971258;44181082;228083766;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2564993070;56070673492;4484020;8804459;0;0;0;0;0;0;0;0;0;0;0;0;11468990;11468990;63615;63615;0;0;0;0;301703;5802990592;2310028;289873806336;370;2166784;11;1057792;241004;5550257152;159693;10057412608;60190;247470080;2150312;279815106560;44;1462272;0;0;0.0;0.0;24419415.22;631.83;2351.71;240.01;1666.25;0.0;24196.35;271274.53;7.0;2.7584166666666654;1500.0;2800.0;1399835638;1058075906;302476862;0
1722246533169.468;3;309.2;0.0;0.0;0.0;10.55;20.84;1722246514.54;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;0;22652570;40498;16384;11117;190;0;4;1519681536;0;0;516682752;517287936;149913600;0;8192;516206592;7541092352;1519681536;0;0;517287936;149913600;8192;7541092352;0.3831257107139533;opencraft.x86_64;0;3055;20706;44;120;152632;1;running;None;5378;5378;5378;zmr280;3438494429;310481004874;44181092;228083909;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2564993302;56070673674;4484022;8804460;0;0;0;0;0;0;0;0;0;0;0;0;11468990;11468990;63615;63615;0;0;0;0;301703;5802990592;2310028;289873806336;370;2166784;11;1057792;241004;5550257152;159693;10057412608;60190;247470080;2150312;279815106560;44;1462272;0;0;0.0;0.0;24419462.62;631.83;2351.78;240.03;1666.27;0.0;24197.02;271277.2;6.8;2.7243749999999984;1500.0;2800.0;1399933380;1058127673;302485147;0
1722246534231.5215;5;287.5;0.0;0.0;0.0;11.15;23.31;1722246514.54;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;0;23958602;44086;16384;11117;190;0;4;1519681536;0;0;516682752;517292032;149913600;0;8192;516206592;7541092352;1519681536;0;0;517292032;149913600;8192;7541092352;0.383128744387855;opencraft.x86_64;0;3149;23636;44;120;152632;1;sleeping;None;5378;5378;5378;zmr280;3438496789;310481042720;44181102;228084060;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2564993302;56070673674;4484022;8804460;0;0;0;0;0;0;0;0;0;0;0;0;11468990;11468990;63615;63615;0;0;0;0;301703;5802990592;2310028;289873806336;370;2166784;11;1057792;241004;5550257152;159693;10057412608;60190;247470080;2150312;279815106560;44;1462272;0;0;0.0;0.0;24419510.57;631.83;2351.85;240.05;1666.29;0.0;24197.61;271279.56;6.0;2.736270833333332;1500.0;2800.0;1400016230;1058170950;302491724;0
1722246535298.4375;27;261.6;0.0;0.0;0.0;11.66;25.59;1722246514.54;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;0;24982170;46898;16384;11117;190;0;4;1525387264;0;0;520795136;521371648;149913600;0;8192;520318976;7548469248;1525387264;0;0;521371648;149913600;8192;7548469248;0.3861502835939037;opencraft.x86_64;0;3243;26043;44;120;152632;1;running;None;5378;5378;5378;zmr280;3438499149;310481075631;44181112;228084205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2564993302;56070673674;4484022;8804460;0;0;0;0;0;0;0;0;0;0;0;0;11468990;11468990;63615;63615;0;0;0;0;301703;5802990592;2310028;289873806336;370;2166784;11;1057792;241004;5550257152;159693;10057412608;60190;247470080;2150312;279815106560;44;1462272;0;0;0.0;0.0;24419558.73;631.83;2351.91;240.05;1666.31;0.0;24198.09;271281.88;5.6;2.7581666666666655;1500.0;2800.0;1400085131;1058207511;302498175;0
1722246536365.4478;3;274.2;0.0;0.0;0.0;12.15;28.01;1722246514.54;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;0;25826650;49218;16384;11117;190;0;4;1517547520;0;0;514208768;514813952;149913600;0;8192;513732608;7548469248;1517547520;0;0;514813952;149913600;8192;7548469248;0.3812933716773535;opencraft.x86_64;0;3336;29299;44;120;152632;1;running;None;5378;5378;5378;zmr280;3438501509;310481109720;44181122;228084355;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2564993302;56070673674;4484022;8804460;0;0;0;0;0;0;0;0;0;0;0;0;11468990;11468990;63615;63615;0;0;0;0;301703;5802990592;2310028;289873806336;370;2166784;11;1057792;241004;5550257152;159693;10057412608;60190;247470080;2150312;279815106560;44;1462272;0;0;0.0;0.0;24419606.56;631.83;2351.98;240.06;1666.33;0.0;24198.65;271284.38;6.2;2.788437499999999;1500.0;2800.0;1400160169;1058245755;302505510;0
1722246537427.4731;3;298.5;0.0;0.0;0.0;12.81;30.52;1722246514.54;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;0;26519706;51122;16384;11117;190;0;4;1517543424;0;0;514393088;515002368;149913600;0;8192;513916928;7548469248;1517543424;0;0;515002368;149913600;8192;7548469248;0.38143292067682966;opencraft.x86_64;0;3432;32923;44;120;152632;1;running;None;5378;5378;5378;zmr280;3438503869;310481140018;44181132;228084483;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2564993302;56070673674;4484022;8804460;0;0;0;0;0;0;0;0;0;0;0;0;11468990;11468990;63615;63615;0;0;0;0;301703;5802990592;2310028;289873806336;370;2166784;11;1057792;241004;5550257152;159693;10057412608;60190;247470080;2150312;279815106560;44;1462272;0;0;0.0;0.0;24419654.09;631.83;2352.05;240.08;1666.35;0.0;24199.33;271286.87;6.5;2.7664374999999986;1500.0;2800.0;1400251095;1058292400;302512851;0
