timestamp;proc.cpu_num;proc.cpu_percent;proc.cpu_times.children_system;proc.cpu_times.children_user;proc.cpu_times.iowait;proc.cpu_times.system;proc.cpu_times.user;proc.create_time;proc.cwd;proc.exe;proc.gids.effective;proc.gids.real;proc.gids.saved;proc.io_counters.read_bytes;proc.io_counters.read_chars;proc.io_counters.read_count;proc.io_counters.write_bytes;proc.io_counters.write_chars;proc.io_counters.write_count;proc.ionice.ioclass;proc.ionice.value;proc.memory_full_info.data;proc.memory_full_info.dirty;proc.memory_full_info.lib;proc.memory_full_info.pss;proc.memory_full_info.rss;proc.memory_full_info.shared;proc.memory_full_info.swap;proc.memory_full_info.text;proc.memory_full_info.uss;proc.memory_full_info.vms;proc.memory_info.data;proc.memory_info.dirty;proc.memory_info.lib;proc.memory_info.rss;proc.memory_info.shared;proc.memory_info.text;proc.memory_info.vms;proc.memory_percent;proc.name;proc.nice;proc.num_ctx_switches.involuntary;proc.num_ctx_switches.voluntary;proc.num_fds;proc.num_threads;proc.pid;proc.ppid;proc.status;proc.terminal;proc.uids.effective;proc.uids.real;proc.uids.saved;proc.username;net.bytes_sent.eth0;net.bytes_recv.eth0;net.packets_sent.eth0;net.packets_recv.eth0;net.errin.eth0;net.errout.eth0;net.dropin.eth0;net.dropout.eth0;net.bytes_sent.eth1;net.bytes_recv.eth1;net.packets_sent.eth1;net.packets_recv.eth1;net.errin.eth1;net.errout.eth1;net.dropin.eth1;net.dropout.eth1;net.bytes_sent.eth2;net.bytes_recv.eth2;net.packets_sent.eth2;net.packets_recv.eth2;net.errin.eth2;net.errout.eth2;net.dropin.eth2;net.dropout.eth2;net.bytes_sent.eth3;net.bytes_recv.eth3;net.packets_sent.eth3;net.packets_recv.eth3;net.errin.eth3;net.errout.eth3;net.dropin.eth3;net.dropout.eth3;net.bytes_sent.eth4;net.bytes_recv.eth4;net.packets_sent.eth4;net.packets_recv.eth4;net.errin.eth4;net.errout.eth4;net.dropin.eth4;net.dropout.eth4;net.bytes_sent.ib0;net.bytes_recv.ib0;net.packets_sent.ib0;net.packets_recv.ib0;net.errin.ib0;net.errout.ib0;net.dropin.ib0;net.dropout.ib0;net.bytes_sent.lo;net.bytes_recv.lo;net.packets_sent.lo;net.packets_recv.lo;net.errin.lo;net.errout.lo;net.dropin.lo;net.dropout.lo;disk.read_count.nvme0n1;disk.read_bytes.nvme0n1;disk.write_count.nvme0n1;disk.write_bytes.nvme0n1;disk.read_count.nvme0n1p1;disk.read_bytes.nvme0n1p1;disk.write_count.nvme0n1p1;disk.write_bytes.nvme0n1p1;disk.read_count.nvme0n1p2;disk.read_bytes.nvme0n1p2;disk.write_count.nvme0n1p2;disk.write_bytes.nvme0n1p2;disk.read_count.nvme0n1p3;disk.read_bytes.nvme0n1p3;disk.write_count.nvme0n1p3;disk.write_bytes.nvme0n1p3;disk.read_count.nvme0n1p4;disk.read_bytes.nvme0n1p4;disk.write_count.nvme0n1p4;disk.write_bytes.nvme0n1p4;cpu.guest;cpu.guest_nice;cpu.idle;cpu.iowait;cpu.irq;cpu.nice;cpu.softirq;cpu.steal;cpu.system;cpu.user;cpu.percent;cpu.freq.current;cpu.freq.min;cpu.freq.max;cpu.ctx_switches;cpu.interrupts;cpu.soft_interrupts;cpu.syscalls
1722432691714.119;36;416.2;0.0;0.0;0.21;6.81;6.62;1722432678.55;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;189235200;12797250;13415;28672;11144;191;0;0;1516777472;0;0;506346496;506118144;148398080;0;8192;505839616;7473590272;1516777472;0;0;506118144;148398080;8192;7473590272;0.3748528933559536;opencraft.x86_64;0;2686;4371;44;120;205745;1;running;None;5378;5378;5378;zmr280;5952337156;237909521995;48324007;252331391;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12734805724;56704989726;6126632;9437890;0;0;0;0;0;0;0;0;0;0;0;0;10581945;10581945;58068;58068;0;0;0;0;199619;4750924800;1680347;204133807104;448;4964352;11;1057792;196160;4718527488;220709;14442356736;2459;12208128;1459615;189690163200;209;8863744;0;0;0.0;0.0;28009075.97;621.49;14881.07;2214.23;4999.91;0.0;156424.52;1603078.96;9.1;2.799479166666666;1500.0;2800.0;18095629120;6979014932;1562391727;0
1722432692779.0789;36;333.4;0.0;0.0;0.21;7.46;9.52;1722432678.55;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;189235200;15456275;20715;28672;11144;191;0;0;1516781568;0;0;506661888;506654720;148398080;0;8192;506155008;7473590272;1516781568;0;0;506654720;148398080;8192;7473590272;0.3752503046491267;opencraft.x86_64;0;2782;6440;44;120;205745;1;running;None;5378;5378;5378;zmr280;5952339752;237909523049;48324018;252331395;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12734805724;56704989726;6126632;9437890;0;0;0;0;0;0;0;0;0;0;0;0;10581945;10581945;58068;58068;0;0;0;0;199619;4750924800;1680347;204133807104;448;4964352;11;1057792;196160;4718527488;220709;14442356736;2459;12208128;1459615;189690163200;209;8863744;0;0;0.0;0.0;28009123.14;621.49;14881.15;2214.26;4999.93;0.0;156425.12;1603081.81;7.0;2.7732083333333315;1500.0;2800.0;18095738215;6979069625;1562401907;0
1722432693840.9004;36;306.1;0.0;0.0;0.21;8.19;12.04;1722432678.55;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;189235200;17351832;25919;28672;11144;191;0;0;1516773376;0;0;506657792;506650624;148398080;0;8192;506150912;7473590272;1516773376;0;0;506650624;148398080;8192;7473590272;0.37524727097513294;opencraft.x86_64;0;2879;8887;44;120;205745;1;running;None;5378;5378;5378;zmr280;5952342112;237909529891;48324028;252331414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12734808014;56704992092;6126647;9437903;0;0;0;0;0;0;0;0;0;0;0;0;10581945;10581945;58068;58068;0;0;0;0;199619;4750924800;1680347;204133807104;448;4964352;11;1057792;196160;4718527488;220709;14442356736;2459;12208128;1459615;189690163200;209;8863744;0;0;0.0;0.0;28009170.9;621.49;14881.22;2214.29;4999.95;0.0;156425.8;1603084.2;6.3;2.7476666666666656;1500.0;2800.0;18095837361;6979122472;1562410027;0
1722432694909.083;36;301.2;0.0;0.0;0.21;8.84;14.61;1722432678.55;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;189235200;19023011;30507;28672;11144;191;0;0;1516785664;0;0;506665984;506650624;148398080;0;8192;506159104;7473590272;1516785664;0;0;506650624;148398080;8192;7473590272;0.37524727097513294;opencraft.x86_64;0;2973;11424;44;120;205745;1;running;None;5378;5378;5378;zmr280;5952344472;237909560883;48324038;252331525;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12734808014;56704992092;6126647;9437903;0;0;0;0;0;0;0;0;0;0;0;0;10581945;10581945;58068;58068;0;0;0;0;199619;4750924800;1680349;204133942272;448;4964352;11;1057792;196160;4718527488;220711;14442491904;2459;12208128;1459615;189690163200;209;8863744;0;0;0.0;0.0;28009218.79;621.49;14881.29;2214.32;4999.98;0.0;156426.54;1603086.87;6.9;2.763854166666665;1500.0;2800.0;18095933786;6979175264;1562418431;0
1722432695979.0383;12;300.1;0.0;0.0;0.21;9.42;17.24;1722432678.55;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;189235200;20643195;34955;28672;11144;191;0;0;1518587904;0;0;507702272;507658240;148398080;0;8192;507195392;7480528896;1518587904;0;0;507658240;148398080;8192;7480528896;0.37599355477758;opencraft.x86_64;0;3064;14120;44;120;205745;1;running;None;5378;5378;5378;zmr280;5952346832;237909589749;48324048;252331638;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12734815262;56704992678;6126653;9437906;0;0;0;0;0;0;0;0;0;0;0;0;10581945;10581945;58068;58068;0;0;0;0;199619;4750924800;1680349;204133942272;448;4964352;11;1057792;196160;4718527488;220711;14442491904;2459;12208128;1459615;189690163200;209;8863744;0;0;0.0;0.0;28009266.39;621.49;14881.37;2214.34;5000.0;0.0;156427.23;1603089.74;7.2;2.790145833333332;1500.0;2800.0;18096027457;6979226821;1562427855;0
1722432697044.0796;12;299.6;0.0;0.0;0.21;10.05;19.8;1722432678.55;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;189235200;22215298;39271;28672;11144;191;0;0;1526149120;0;0;513457152;510652416;148398080;0;8192;512950272;7480528896;1526149120;0;0;508555264;148398080;8192;7480528896;0.37665792938219744;opencraft.x86_64;0;3156;16755;44;120;205745;1;running;None;5378;5378;5378;zmr280;5952349192;237909623875;48324058;252331782;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12734815262;56704992678;6126653;9437906;0;0;0;0;0;0;0;0;0;0;0;0;10581945;10581945;58068;58068;0;0;0;0;199619;4750924800;1680349;204133942272;448;4964352;11;1057792;196160;4718527488;220711;14442491904;2459;12208128;1459615;189690163200;209;8863744;0;0;0.0;0.0;28009314.04;621.49;14881.44;2214.36;5000.02;0.0;156427.86;1603092.34;6.6;2.772937499999999;1500.0;2800.0;18096120725;6979277665;1562437411;0
1722432698110.0308;12;298.3;0.0;0.0;0.21;10.73;22.3;1722432678.55;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;189358080;23733492;43439;28672;11144;191;0;0;1524580352;0;0;512965632;512798720;148398080;0;8192;512458752;7480528896;1524580352;0;0;512798720;148398080;8192;7480528896;0.3798008156396573;opencraft.x86_64;0;3253;19321;44;120;205745;1;running;None;5378;5378;5378;zmr280;5952351552;237909672709;48324068;252331988;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12734818704;56705117084;6126662;9437923;0;0;0;0;0;0;0;0;0;0;0;0;10581945;10581945;58068;58068;0;0;0;0;199619;4750924800;1680349;204133942272;448;4964352;11;1057792;196160;4718527488;220711;14442491904;2459;12208128;1459615;189690163200;209;8863744;0;0;0.0;0.0;28009361.86;621.49;14881.51;2214.38;5000.04;0.0;156428.48;1603094.62;5.9;2.7903333333333324;1500.0;2800.0;18096210371;6979327453;1562445455;0
1722432699176.955;12;294.3;0.0;0.0;0.21;11.39;24.78;1722432678.55;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;189358080;24883065;46595;32768;11170;192;0;0;1517633536;0;0;507022336;506994688;148516864;0;8192;506515456;7480528896;1517633536;0;0;506994688;148516864;8192;7480528896;0.37550209959060266;opencraft.x86_64;0;3346;22284;44;120;205745;1;running;None;5378;5378;5378;zmr280;5952353912;237909729561;48324078;252332208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12734818704;56705117084;6126662;9437923;0;0;0;0;0;0;0;0;0;0;0;0;10581945;10581945;58068;58068;0;0;0;0;199619;4750924800;1680349;204133942272;448;4964352;11;1057792;196160;4718527488;220711;14442491904;2459;12208128;1459615;189690163200;209;8863744;0;0;0.0;0.0;28009409.75;621.49;14881.58;2214.4;5000.06;0.0;156429.1;1603097.0;6.1;2.7698749999999985;1500.0;2800.0;18096299612;6979373976;1562452778;0
1722432700246.0352;12;285.4;0.0;0.0;0.21;11.99;27.23;1722432678.55;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;189358080;25594081;48547;32768;11170;192;0;0;1517637632;0;0;507321344;507305984;148516864;0;8192;506814464;7480528896;1517633536;0;0;507305984;148516864;8192;7480528896;0.3757326588141229;opencraft.x86_64;0;3444;25490;44;120;205745;1;running;None;5378;5378;5378;zmr280;5952356272;237909777917;48324088;252332412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12734827554;56705119854;6126681;9437938;0;0;0;0;0;0;0;0;0;0;0;0;10581945;10581945;58068;58068;0;0;0;0;199619;4750924800;1680349;204133942272;448;4964352;11;1057792;196160;4718527488;220711;14442491904;2459;12208128;1459615;189690163200;209;8863744;0;0;0.0;0.0;28009457.75;621.49;14881.65;2214.4;5000.08;0.0;156429.71;1603099.44;6.2;2.790312499999999;1500.0;2800.0;18096386533;6979418777;1562460865;0
1722432701314.8467;12;285.4;0.0;0.0;0.21;12.64;29.63;1722432678.55;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;189358080;26300726;50487;32768;11170;192;0;0;1517637632;0;0;507616256;507600896;148516864;0;8192;507109376;7480528896;1517637632;0;0;507600896;148516864;8192;7480528896;0.3759510833416684;opencraft.x86_64;0;3544;28872;44;120;205745;1;running;None;5378;5378;5378;zmr280;5952358868;237909830978;48324099;252332626;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12734827554;56705119854;6126681;9437938;0;0;0;0;0;0;0;0;0;0;0;0;10581945;10581945;58068;58068;0;0;0;0;199619;4750924800;1680349;204133942272;448;4964352;11;1057792;196160;4718527488;220711;14442491904;2459;12208128;1459615;189690163200;209;8863744;0;0;0.0;0.0;28009505.64;621.49;14881.71;2214.41;5000.1;0.0;156430.4;1603101.81;6.1;2.790229166666665;1500.0;2800.0;18096473336;6979463010;1562469164;0
