Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;CheckGateState;StatisticsSystem;NumGateBlocks;NumInputTypeBlocks;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;480006144;8093696;395689984;0;0;0;0;0;0;0;0;0;0;
2;36758476;485277696;8093696;395689984;26027762;0;0;0;0;0;0;0;0;139191;0;0;0;0;0;0;
3;3610400;485277696;8093696;395689984;1036874;0;0;0;0;0;0;0;0;2124;0;0;0;0;0;0;
4;797716;487374848;8093696;395689984;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;201478;487374848;8093696;395689984;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;206958;487374848;8093696;395689984;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;2298961;496721920;8093696;429244416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
8;261781;496992256;8093696;429244416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
9;242846;496992256;8093696;429244416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;241624;496992256;8093696;429244416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11;231083;497262592;8093696;429244416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
12;224161;497262592;8093696;429244416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13;198052;497262592;8093696;429244416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
14;199714;497262592;8093696;429244416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
15;190998;497262592;8093696;429244416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16;186159;497262592;8093696;429244416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;186419;497262592;8093696;429244416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
18;192751;497262592;8093696;429244416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
19;189836;497262592;8093696;429244416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
20;654277;497262592;8093696;429244416;439203;0;0;0;0;0;0;0;0;2194;0;0;0;0;0;0;
21;200085;497262592;8093696;429244416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
