Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server),filename,original_row_count,terrain_type,players,duration,Chunks
3398620246.0,287978883768.0,1033401682436096.0,3590583005184.0,3240447892090880.0,40912102785.0,0.0,13228324201.0,0.0,123780121.0,3731610.0,20222.0,112370589.0,655048.0,83965517.0,0.0,0.0,0.0,5549684.0,0.0,6235600.0,players-activeLogic_Empty_100p_300s.csv,62356,Empty (Logic Active),100,300,25
4386269823.0,291749785445.0,163444060598272.0,3857075515392.0,439516625006592.0,15716639194.0,0.0,1530275272.0,0.0,95177297.0,2801249.0,16852.0,87170770.0,540084.0,80012807.0,0.0,0.0,0.0,7172243.0,0.0,805870.0,players-activeLogic_Empty_10p_300s.csv,80587,Empty (Logic Active),10,300,25
4193644140.0,294972953286.0,270224825884672.0,3946148966400.0,821818775040000.0,18300719916.0,0.0,2542193228.0,0.0,112895536.0,3020637.0,17575.0,103468702.0,478228.0,80764802.0,0.0,0.0,0.0,6997269.0,0.0,1572420.0,players-activeLogic_Empty_20p_300s.csv,78621,Empty (Logic Active),20,300,25
4200514725.0,295969266077.0,389158619746304.0,4141847592960.0,1219717398151168.0,21360371538.0,0.0,3662050359.0,0.0,86412933.0,3114748.0,18148.0,77794012.0,500436.0,80048872.0,0.0,0.0,0.0,6980270.0,0.0,2352900.0,players-activeLogic_Empty_30p_300s.csv,78430,Empty (Logic Active),30,300,25
4384550556.0,293447832426.0,516721507786752.0,4598830153728.0,1638194062983168.0,23166987820.0,0.0,4553698380.0,0.0,148034974.0,2835998.0,16775.0,130647450.0,550468.0,77509894.0,0.0,0.0,0.0,7067757.0,0.0,3176520.0,players-activeLogic_Empty_40p_300s.csv,79413,Empty (Logic Active),40,300,25
4352488963.0,291111585735.0,619759831994368.0,4293505343488.0,1974370345213952.0,25039843832.0,0.0,5349233637.0,0.0,98303873.0,2779920.0,15079.0,86191145.0,472016.0,75773404.0,0.0,0.0,0.0,6848194.0,0.0,3847300.0,players-activeLogic_Empty_50p_300s.csv,76946,Empty (Logic Active),50,300,25
4076911907.0,295786797080.0,723029188706304.0,4512792408064.0,2297114306523136.0,29137955924.0,0.0,7088935803.0,0.0,132584710.0,3166357.0,18590.0,109944895.0,495947.0,79015725.0,0.0,0.0,0.0,6591073.0,0.0,4443420.0,players-activeLogic_Empty_60p_300s.csv,74057,Empty (Logic Active),60,300,25
3985503119.0,291603982898.0,817819254128640.0,4403168600064.0,2597438126141440.0,30990707532.0,0.0,7857454076.0,0.0,122881175.0,3141986.0,19194.0,107336372.0,560800.0,75886894.0,0.0,0.0,0.0,6394739.0,0.0,5029570.0,players-activeLogic_Empty_70p_300s.csv,71851,Empty (Logic Active),70,300,25
3677170320.0,288053933278.0,884835096756224.0,4284731101184.0,2764473592844288.0,35392827366.0,0.0,10041122242.0,0.0,131461291.0,3677172.0,18791.0,117055804.0,624160.0,82805048.0,0.0,0.0,0.0,5903904.0,0.0,5306880.0,players-activeLogic_Empty_80p_300s.csv,66336,Empty (Logic Active),80,300,25
3339101325.0,287281576647.0,932860488437760.0,3941530509312.0,2926212234702848.0,39398030308.0,0.0,11975921722.0,0.0,205389211.0,3759383.0,22765.0,169173417.0,599524.0,88211239.0,0.0,0.0,0.0,5560275.0,0.0,5622750.0,players-activeLogic_Empty_90p_300s.csv,62475,Empty (Logic Active),90,300,25
