Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
93438,12702151,36225482752,133599232,121419923456,5730667,0,1148484,197250,0,0,0,0,0,5100,16.0,31.0,0.0,285.0,0.0,80.0
93439,8575583,36281778176,133599232,121638027264,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93440,17047751,36334612480,133599232,121839353856,11496200,0,1168942,226244,0,0,0,0,0,4719,16.0,31.0,0.0,285.0,0.0,80.0
93441,10014481,36334866432,133599232,121839353856,2866225,0,1168722,194585,0,0,0,0,0,4398,16.0,31.0,0.0,285.0,0.0,80.0
93442,10948483,36334866432,133599232,121839353856,4060906,0,1186374,106440,0,0,0,0,0,4919,16.0,31.0,0.0,285.0,0.0,80.0
93443,5033099,36334866432,133599232,121839353856,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93444,3943545,36301463552,85512192,121791266816,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93445,7547655,36301463552,85512192,121791266816,2611448,0,1176266,104205,0,0,0,0,0,5240,16.0,31.0,0.0,285.0,0.0,80.0
93446,5688288,36301463552,85512192,121791266816,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93447,7632454,36301463552,85512192,121791266816,2554591,0,1170595,104145,0,0,0,0,0,4599,16.0,31.0,0.0,285.0,0.0,80.0
93448,7472904,36301463552,85512192,121791266816,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93449,5405247,36301463552,85512192,121791266816,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93450,8209116,36301463552,85512192,121791266816,3106726,0,1200170,135954,0,0,0,0,0,6141,16.0,31.0,0.0,285.0,0.0,80.0
93451,6177866,36305776640,85512192,121791266816,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93452,6984419,36305768448,85504000,121791258624,2587413,0,1178670,109976,0,0,0,0,0,13015,16.0,31.0,0.0,285.0,0.0,80.0
93453,5459328,36305768448,85504000,121791258624,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93454,3309847,36305768448,85504000,121791258624,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93455,7457415,36308099072,85504000,121791258624,2535174,0,1167029,110567,0,0,0,0,0,4499,16.0,31.0,0.0,285.0,0.0,80.0
93456,4907613,36309151744,85504000,121791258624,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93457,2221366,36309151744,85504000,121791258624,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93458,4748986,36309151744,85504000,121791258624,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93459,6516801,36309151744,85504000,121791258624,2695325,0,1165496,106339,0,0,0,0,0,4789,16.0,31.0,0.0,285.0,0.0,80.0
93460,6858632,36313686016,85504000,121791258624,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93461,6125157,36313686016,85504000,121791258624,2642105,0,1212323,100458,0,0,0,0,0,5139,16.0,31.0,0.0,285.0,0.0,80.0
93462,17296267,36389494784,85504000,122076471296,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93463,12017177,36439515136,85504000,122277797888,7858317,0,1177939,115237,0,0,0,0,0,4859,16.0,31.0,0.0,285.0,0.0,80.0
93464,21451049,36549431296,85504000,122697228288,17142499,0,1187707,113693,0,0,0,0,0,5942,16.0,31.0,0.0,285.0,0.0,80.0
93465,9802503,36552278016,85504000,122697228288,3187748,0,1196614,76794,0,0,0,0,0,6372,16.0,31.0,0.0,285.0,0.0,80.0
93466,8309053,36552278016,85508096,122697232384,2838143,0,1202436,91682,0,0,0,0,0,6021,16.0,31.0,0.0,285.0,0.0,80.0
93467,6513365,36559224832,85508096,122714009600,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93468,3585885,36559224832,85512192,122714013696,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93469,7347790,36563939328,85512192,122730790912,2545865,0,1171106,105658,0,0,0,0,0,4779,16.0,31.0,0.0,285.0,0.0,80.0
93470,3880237,36563939328,85512192,122730790912,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93471,4738667,36563939328,85512192,122730790912,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93472,6361230,36563939328,85512192,122730790912,2714681,0,1161839,113162,0,0,0,0,0,4548,16.0,31.0,0.0,285.0,0.0,80.0
93473,5322401,36563939328,85512192,122730790912,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93474,3432237,36546109440,58793984,122704072704,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93475,7299319,36565991424,58793984,122787958784,2481143,0,1164334,106791,0,0,0,0,0,4909,16.0,31.0,0.0,285.0,0.0,80.0
93476,4390213,36592173056,58793984,122888622080,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93477,5008332,36629061632,58793984,123039617024,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93478,9770293,36668600320,85504000,123133435904,2833293,0,1161889,109786,0,0,0,0,0,4608,16.0,31.0,0.0,285.0,0.0,80.0
93479,2814678,36668600320,85504000,123133435904,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93480,4917141,36668600320,85504000,123133435904,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93481,6116401,36668600320,85504000,123133435904,2592672,0,1168541,104987,0,0,0,0,0,4999,16.0,31.0,0.0,285.0,0.0,80.0
93482,4991391,36669112320,85504000,123133435904,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93483,3203047,36669112320,85508096,123133440000,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93484,4734760,36669112320,85508096,123133440000,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93485,7214761,36669112320,85508096,123133440000,3581387,0,1163071,115056,859001,129252,330,567173,86131,4108,16.0,31.0,0.0,285.0,0.0,80.0
93486,5720047,36669112320,85508096,123133440000,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93487,18375080,36669112320,85508096,123133440000,11186248,0,1166458,109014,0,0,0,0,0,5100,16.0,31.0,0.0,285.0,0.0,80.0
93488,7247441,36669870080,85508096,123133440000,3560828,0,1157992,113042,0,0,0,0,0,4649,16.0,31.0,0.0,285.0,0.0,80.0
93489,8321926,36689772544,133562368,123181494272,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93490,5528708,36689772544,133562368,123181494272,2647585,0,1170425,106279,0,0,0,0,0,5420,16.0,31.0,0.0,285.0,0.0,80.0
93491,6912624,36706549760,133562368,123181494272,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93492,3520963,36706549760,133562368,123181494272,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93493,7401441,36708630528,133562368,123181494272,2549462,0,1170024,98495,0,0,0,0,0,4899,16.0,31.0,0.0,285.0,0.0,80.0
93494,6612821,36709920768,133562368,123181494272,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93495,2345719,36709920768,133562368,123181494272,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93496,7477994,36709920768,133562368,123181494272,2665469,0,1162149,126087,0,0,0,0,0,4990,16.0,31.0,0.0,285.0,0.0,80.0
93497,4148811,36709920768,133562368,123181494272,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93498,2308359,36709920768,133562368,123181494272,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93499,4664187,36709920768,133562368,123181494272,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93500,6446210,36709957632,133558272,123181490176,2684825,0,1162159,90951,0,0,0,0,0,5330,16.0,31.0,0.0,285.0,0.0,80.0
93501,4950664,36709957632,133558272,123181490176,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93502,5071911,36709957632,133558272,123181490176,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93503,6650002,36709957632,133558272,123181490176,3331277,0,1202035,82755,0,0,0,0,0,12604,16.0,31.0,0.0,285.0,0.0,80.0
93504,6112262,36711026688,133558272,123181490176,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93505,4792027,36711022592,133554176,123181486080,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93506,7433300,36711022592,133554176,123181486080,2680067,0,1170575,119003,0,0,0,0,0,4819,16.0,31.0,0.0,285.0,0.0,80.0
93507,5804666,36711022592,133554176,123181486080,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93508,4728458,36711022592,133554176,123181486080,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93509,6779274,36677648384,85499904,123133431808,2687511,0,1171197,118251,0,0,0,0,0,4849,16.0,31.0,0.0,285.0,0.0,80.0
93510,10570774,36680851456,85499904,123133431808,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93511,14438888,36681121792,85499904,123133431808,4319060,0,1208907,142076,0,0,0,0,0,4779,16.0,31.0,0.0,285.0,0.0,80.0
93512,12457573,36681121792,85499904,123133431808,6999206,0,1193779,118282,0,0,0,0,0,4759,16.0,31.0,0.0,285.0,0.0,80.0
93513,6946718,36697686016,133554176,123181486080,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93514,6328969,36697686016,133562368,123181494272,2631245,0,1164945,111138,0,0,0,0,0,4468,16.0,31.0,0.0,285.0,0.0,80.0
93515,13038071,36749869056,133562368,123315712000,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93516,11460233,36763500544,133562368,123366043648,6292811,0,1194009,134672,0,0,0,0,0,6593,16.0,31.0,0.0,285.0,0.0,80.0
93517,9253954,36768202752,133562368,123399598080,4287691,0,1185202,150192,0,0,0,0,0,6692,16.0,31.0,0.0,285.0,0.0,80.0
93518,6539524,36803313664,133562368,123517038592,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93519,7377024,36807770112,133562368,123533815808,3076440,0,1163362,117270,0,0,0,0,0,4759,16.0,31.0,0.0,285.0,0.0,80.0
93520,13069520,36833968128,133562368,123634479104,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93521,12633864,36864098304,133562368,123768696832,5987659,0,1165365,117820,0,0,0,0,0,5570,16.0,31.0,0.0,285.0,0.0,80.0
93522,17236845,36937904128,133562368,124037132288,13017453,0,1163402,115447,0,0,0,0,0,5571,16.0,31.0,0.0,285.0,0.0,80.0
93523,10259610,36946292736,133562368,124070686720,4604816,0,1160787,107561,0,0,0,0,0,4578,16.0,31.0,0.0,285.0,0.0,80.0
93524,10415252,36954497024,133562368,124087463936,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93525,14423760,36998213632,133562368,124255236096,10248410,0,1160647,109104,0,0,0,0,0,5250,16.0,31.0,0.0,285.0,0.0,80.0
93526,30102544,37100052480,133562368,124607557632,24088214,0,1193949,112251,0,0,0,0,0,6613,16.0,31.0,0.0,285.0,0.0,80.0
93527,19586362,37170237440,133562368,124875993088,12772584,0,2322245,158747,0,0,0,0,0,7383,16.0,31.0,0.0,285.0,0.0,80.0
93528,11428253,37184331776,133562368,124926324736,7387104,0,1159484,111309,0,0,0,0,0,4658,16.0,31.0,0.0,285.0,0.0,80.0
93529,5543626,37206085632,133562368,125010210816,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93530,13164158,37224357888,133566464,125077323776,7803775,0,1165095,107802,0,0,0,0,0,4869,16.0,31.0,0.0,285.0,0.0,80.0
93531,20848849,37298405376,133566464,125362536448,16790258,0,1158994,89347,0,0,0,0,0,5040,16.0,31.0,0.0,285.0,0.0,80.0
93532,10638321,37303353344,133566464,125379313664,5156250,0,1166397,117129,0,0,0,0,0,5069,16.0,31.0,0.0,285.0,0.0,80.0
93533,5587278,37312270336,133566464,125412868096,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93534,9595676,37312270336,133566464,125412868096,6626557,0,1163672,115828,0,0,0,0,0,4969,16.0,31.0,0.0,285.0,0.0,80.0
93535,5169455,37312270336,133566464,125412868096,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93536,7430605,37312270336,133566464,125412868096,3287525,0,1204259,138099,0,0,0,0,0,5771,16.0,31.0,0.0,285.0,0.0,80.0
93537,17891353,37364654080,133566464,125630971904,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,285.0,0.0,80.0
93538,13695595,37404184576,133566464,125765189632,8072919,0,1180815,114355,0,0,0,0,0,5771,16.0,31.0,0.0,285.0,0.0,80.0
93539,110690637,37553643520,133664768,126352490496,107034230,0,1196514,122489,0,0,0,0,0,7253,16.0,31.0,0.0,285.0,0.0,80.0
93540,56467358,37685194752,133750784,126839115776,46460262,0,4661291,302096,0,0,0,0,0,13296,16.0,31.0,0.0,285.0,0.0,80.0
93541,17563278,37675892736,85819392,126875070464,13343343,0,3473784,226545,0,0,0,0,0,10189,16.0,31.0,0.0,285.0,0.0,80.0
93542,77273868,37724844032,86040576,127059841024,15972455,0,1146931,126347,0,0,0,0,0,4579,16.0,31.0,0.0,285.0,0.0,80.0
93543,18173944,37724844032,86040576,127059841024,13488166,0,4680537,345549,966703,173816,220,606667,96521,14338,16.0,31.0,0.0,285.0,0.0,80.0
93544,21290809,37724844032,86040576,127059841024,9670777,0,1140759,99146,0,0,0,0,0,4358,16.0,31.0,0.0,285.0,0.0,80.0
93545,36207613,37734219776,86040576,127093395456,15981291,0,1151960,101360,0,0,0,0,0,4378,16.0,31.0,0.0,285.0,0.0,80.0
93546,147352863,37828497408,86040576,127462494208,141377828,0,2357992,353023,0,0,0,0,0,9137,16.0,31.0,0.0,285.0,0.0,80.0
93547,30592994,37846540288,86040576,127512825856,19080073,0,4636556,266429,0,0,0,0,0,12543,16.0,31.0,0.0,285.0,0.0,80.0
93548,28061586,37857148928,86040576,127529603072,17060244,0,2307177,186139,0,0,0,0,0,7874,16.0,31.0,0.0,285.0,0.0,80.0
93549,21808589,37901533184,86040576,127680598016,15677301,0,2348114,147437,0,0,0,0,0,7855,16.0,31.0,0.0,285.0,0.0,80.0
93550,24280756,37989871616,134094848,127997087744,12010224,0,1196113,115086,0,0,0,0,0,5441,16.0,31.0,0.0,285.0,0.0,80.0
