Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;CheckGateState;StatisticsSystem;NumGateBlocks;NumInputTypeBlocks;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;486363136;8032256;412405760;0;0;0;0;0;0;0;0;0;0;
2;36620447;491417600;8032256;412405760;25792511;0;0;0;0;0;0;0;0;164127;0;0;0;0;0;0;
3;3577970;492097536;8032256;412405760;998292;0;0;0;0;0;0;0;0;2114;0;0;0;0;0;0;
4;840447;492097536;8032256;412405760;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;249859;492097536;8032256;412405760;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;2128292;501125120;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;249127;501125120;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
8;270106;501395456;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
9;257673;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;242845;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11;202389;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
12;194094;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13;200055;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
14;192872;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
15;195967;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16;187502;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;183945;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
18;199104;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
19;196489;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
20;568726;501665792;8032256;445960192;357630;0;0;0;0;0;0;0;0;2184;0;0;0;0;0;0;
21;199804;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22;192892;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
23;201077;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
24;191368;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
25;209753;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
26;202410;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
27;192501;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
28;192601;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
29;191790;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
30;200966;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
31;201347;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
32;206227;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
33;201528;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
34;520146;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
35;215545;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
36;303369;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
37;561332;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
38;216977;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
39;204083;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
40;215394;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41;204463;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
42;192821;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
43;195437;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
44;195787;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
45;204824;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
46;201067;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
47;188824;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
48;207470;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
49;199504;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
50;202610;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
51;197771;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
52;210224;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
53;201869;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
54;198322;501665792;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
55;193213;502280192;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
56;195907;502280192;8032256;445960192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
