timestamp;proc.cpu_num;proc.cpu_percent;proc.cpu_times.children_system;proc.cpu_times.children_user;proc.cpu_times.iowait;proc.cpu_times.system;proc.cpu_times.user;proc.create_time;proc.cwd;proc.exe;proc.gids.effective;proc.gids.real;proc.gids.saved;proc.io_counters.read_bytes;proc.io_counters.read_chars;proc.io_counters.read_count;proc.io_counters.write_bytes;proc.io_counters.write_chars;proc.io_counters.write_count;proc.ionice.ioclass;proc.ionice.value;proc.memory_full_info.data;proc.memory_full_info.dirty;proc.memory_full_info.lib;proc.memory_full_info.pss;proc.memory_full_info.rss;proc.memory_full_info.shared;proc.memory_full_info.swap;proc.memory_full_info.text;proc.memory_full_info.uss;proc.memory_full_info.vms;proc.memory_info.data;proc.memory_info.dirty;proc.memory_info.lib;proc.memory_info.rss;proc.memory_info.shared;proc.memory_info.text;proc.memory_info.vms;proc.memory_percent;proc.name;proc.nice;proc.num_ctx_switches.involuntary;proc.num_ctx_switches.voluntary;proc.num_fds;proc.num_threads;proc.pid;proc.ppid;proc.status;proc.terminal;proc.uids.effective;proc.uids.real;proc.uids.saved;proc.username;net.bytes_sent.eth0;net.bytes_recv.eth0;net.packets_sent.eth0;net.packets_recv.eth0;net.errin.eth0;net.errout.eth0;net.dropin.eth0;net.dropout.eth0;net.bytes_sent.eth1;net.bytes_recv.eth1;net.packets_sent.eth1;net.packets_recv.eth1;net.errin.eth1;net.errout.eth1;net.dropin.eth1;net.dropout.eth1;net.bytes_sent.eth2;net.bytes_recv.eth2;net.packets_sent.eth2;net.packets_recv.eth2;net.errin.eth2;net.errout.eth2;net.dropin.eth2;net.dropout.eth2;net.bytes_sent.eth3;net.bytes_recv.eth3;net.packets_sent.eth3;net.packets_recv.eth3;net.errin.eth3;net.errout.eth3;net.dropin.eth3;net.dropout.eth3;net.bytes_sent.eth4;net.bytes_recv.eth4;net.packets_sent.eth4;net.packets_recv.eth4;net.errin.eth4;net.errout.eth4;net.dropin.eth4;net.dropout.eth4;net.bytes_sent.ib0;net.bytes_recv.ib0;net.packets_sent.ib0;net.packets_recv.ib0;net.errin.ib0;net.errout.ib0;net.dropin.ib0;net.dropout.ib0;net.bytes_sent.lo;net.bytes_recv.lo;net.packets_sent.lo;net.packets_recv.lo;net.errin.lo;net.errout.lo;net.dropin.lo;net.dropout.lo;disk.read_count.nvme0n1;disk.read_bytes.nvme0n1;disk.write_count.nvme0n1;disk.write_bytes.nvme0n1;disk.read_count.nvme0n1p1;disk.read_bytes.nvme0n1p1;disk.write_count.nvme0n1p1;disk.write_bytes.nvme0n1p1;disk.read_count.nvme0n1p2;disk.read_bytes.nvme0n1p2;disk.write_count.nvme0n1p2;disk.write_bytes.nvme0n1p2;disk.read_count.nvme0n1p3;disk.read_bytes.nvme0n1p3;disk.write_count.nvme0n1p3;disk.write_bytes.nvme0n1p3;disk.read_count.nvme0n1p4;disk.read_bytes.nvme0n1p4;disk.write_count.nvme0n1p4;disk.write_bytes.nvme0n1p4;cpu.guest;cpu.guest_nice;cpu.idle;cpu.iowait;cpu.irq;cpu.nice;cpu.softirq;cpu.steal;cpu.system;cpu.user;cpu.percent;cpu.freq.current;cpu.freq.min;cpu.freq.max;cpu.ctx_switches;cpu.interrupts;cpu.soft_interrupts;cpu.syscalls
1722277209346.8435;18;347.0;0.0;0.0;0.0;6.97;6.68;1722277196.07;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;0;11604443;10147;16384;11147;191;0;4;1517727744;0;0;502455296;502734848;149843968;0;8192;501899264;7675179008;1517731840;0;0;502734848;149843968;8192;7675179008;0.3723470673413719;opencraft.x86_64;0;2916;1672;44;120;170511;1;running;None;5378;5378;5378;zmr280;20050259485;325645818931;78241034;301849535;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3900884152;57548372992;5083429;9395869;0;0;0;0;0;0;0;0;0;0;0;0;11821862;11821862;65208;65208;0;0;0;0;314861;6158904320;2315766;289922503680;386;2174976;11;1057792;254146;5906162688;165431;10106109952;60190;247470080;2150312;279815106560;44;1462272;0;0;0.0;0.0;25779389.96;668.83;3578.0;329.3;2150.55;0.0;31503.08;372409.54;7.8;2.5584374999999984;1500.0;2800.0;2227436076;1713380387;491626871;0
1722277210402.5823;20;318.2;0.0;0.0;0.0;7.47;9.57;1722277196.07;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;0;13677787;15843;16384;11147;191;0;4;1517731840;0;0;502623232;502902784;149843968;0;8192;502067200;7675179008;1517731840;0;0;502902784;149843968;8192;7675179008;0.3724714479713398;opencraft.x86_64;0;3005;3330;44;120;170511;1;running;None;5378;5378;5378;zmr280;20050261845;325646451651;78241044;301852201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3900884152;57548372992;5083429;9395869;0;0;0;0;0;0;0;0;0;0;0;0;11821862;11821862;65208;65208;0;0;0;0;314861;6158904320;2315766;289922503680;386;2174976;11;1057792;254146;5906162688;165431;10106109952;60190;247470080;2150312;279815106560;44;1462272;0;0;0.0;0.0;25779437.31;668.83;3578.08;329.33;2150.58;0.0;31503.63;372412.5;7.2;2.565312499999999;1500.0;2800.0;2227524266;1713426766;491635048;0
1722277211467.7559;42;306.3;0.0;0.0;0.0;8.09;12.21;1722277196.07;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;0;15293947;20283;16384;11147;191;0;4;1519828992;0;0;504720384;504999936;149843968;0;8192;504164352;7675179008;1519828992;0;0;504999936;149843968;8192;7675179008;0.37402468900898733;opencraft.x86_64;0;3097;5011;44;120;170511;1;running;None;5378;5378;5378;zmr280;20050264205;325647091074;78241054;301854885;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3900884152;57548372992;5083429;9395869;0;0;0;0;0;0;0;0;0;0;0;0;11821862;11821862;65208;65208;0;0;0;0;314861;6158904320;2315766;289922503680;386;2174976;11;1057792;254146;5906162688;165431;10106109952;60190;247470080;2150312;279815106560;44;1462272;0;0;0.0;0.0;25779484.77;668.83;3578.16;329.35;2150.6;0.0;31504.15;372415.06;6.3;2.7581666666666655;1500.0;2800.0;2227605111;1713469673;491643423;0
1722277212531.4187;43;305.4;0.0;0.0;0.0;8.5;15.05;1722277196.07;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;0;16630555;23955;16384;11147;191;0;4;1519828992;0;0;504720384;504995840;149843968;0;8192;504164352;7675179008;1519828992;0;0;504995840;149843968;8192;7675179008;0.3740216553350857;opencraft.x86_64;0;3192;6934;44;120;170511;1;running;None;5378;5378;5378;zmr280;20050266565;325647723562;78241064;301857555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3900884152;57548372992;5083429;9395869;0;0;0;0;0;0;0;0;0;0;0;0;11821862;11821862;65208;65208;0;0;0;0;314861;6158904320;2315766;289922503680;386;2174976;11;1057792;254146;5906162688;165431;10106109952;60190;247470080;2150312;279815106560;44;1462272;0;0;0.0;0.0;25779532.31;668.83;3578.24;329.37;2150.62;0.0;31504.68;372418.05;7.1;2.6939583333333323;1500.0;2800.0;2227683062;1713511475;491652352;0
1722277213597.4944;43;300.2;0.0;0.0;0.0;9.02;17.73;1722277196.07;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;0;17747341;27025;16384;11147;191;0;4;1519828992;0;0;504720384;504999936;149843968;0;8192;504164352;7675179008;1519828992;0;0;504999936;149843968;8192;7675179008;0.37402468900898733;opencraft.x86_64;0;3289;8484;44;120;170511;1;running;None;5378;5378;5378;zmr280;20050268925;325648360520;78241074;301860234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3900884152;57548372992;5083429;9395869;0;0;0;0;0;0;0;0;0;0;0;0;11821862;11821862;65208;65208;0;0;0;0;314861;6158904320;2315766;289922503680;386;2174976;11;1057792;254146;5906162688;165431;10106109952;60190;247470080;2150312;279815106560;44;1462272;0;0;0.0;0.0;25779579.92;668.83;3578.31;329.38;2150.64;0.0;31505.2;372420.73;6.5;2.7594166666666653;1500.0;2800.0;2227757312;1713551801;491659814;0
1722277214662.4978;43;323.8;0.0;0.0;0.0;9.68;20.52;1722277196.07;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;0;19088283;30707;16384;11147;191;0;4;1519828992;0;0;504724480;504999936;149843968;0;8192;504168448;7675179008;1519828992;0;0;504999936;149843968;8192;7675179008;0.37402468900898733;opencraft.x86_64;0;3384;10749;44;120;170511;1;running;None;5378;5378;5378;zmr280;20050271521;325649003119;78241085;301862927;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3900884384;57548373174;5083431;9395870;0;0;0;0;0;0;0;0;0;0;0;0;11821862;11821862;65208;65208;0;0;0;0;314861;6158904320;2315768;289922532352;386;2174976;11;1057792;254146;5906162688;165433;10106138624;60190;247470080;2150312;279815106560;44;1462272;0;0;0.0;0.0;25779627.5;668.83;3578.38;329.41;2150.66;0.0;31505.91;372423.58;7.2;2.790374999999999;1500.0;2800.0;2227847147;1713600018;491667921;0
1722277215730.4543;43;349.4;0.0;0.0;0.0;10.39;23.54;1722277196.07;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;0;20634555;34955;16384;11147;191;0;4;1519828992;0;0;504724480;504995840;149843968;0;8192;504168448;7675179008;1519828992;0;0;504995840;149843968;8192;7675179008;0.3740216553350857;opencraft.x86_64;0;3480;13925;44;120;170511;1;running;None;5378;5378;5378;zmr280;20050273881;325649639960;78241095;301865615;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3900884384;57548373174;5083431;9395870;0;0;0;0;0;0;0;0;0;0;0;0;11821862;11821862;65208;65208;0;0;0;0;314861;6158904320;2315768;289922532352;386;2174976;11;1057792;254146;5906162688;165433;10106138624;60190;247470080;2150312;279815106560;44;1462272;0;0;0.0;0.0;25779674.54;668.83;3578.47;329.42;2150.69;0.0;31506.69;372426.77;8.0;2.747854166666665;1500.0;2800.0;2227952970;1713654894;491678895;0
1722277216794.4346;43;346.8;0.0;0.0;0.0;11.23;26.39;1722277196.07;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;0;22154619;39131;16384;11147;191;0;4;1519828992;0;0;504724480;504999936;149843968;0;8192;504168448;7675179008;1519828992;0;0;504999936;149843968;8192;7675179008;0.37402468900898733;opencraft.x86_64;0;3576;17225;44;120;170511;1;running;None;5378;5378;5378;zmr280;20050276241;325650279323;78241105;301868305;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3900884384;57548373174;5083431;9395870;0;0;0;0;0;0;0;0;0;0;0;0;11821862;11821862;65208;65208;0;0;0;0;314861;6158904320;2315768;289922532352;386;2174976;11;1057792;254146;5906162688;165433;10106138624;60190;247470080;2150312;279815106560;44;1462272;0;0;0.0;0.0;25779721.81;668.83;3578.55;329.45;2150.72;0.0;31507.53;372429.56;7.4;2.7228749999999984;1500.0;2800.0;2228058085;1713709332;491688106;0
1722277217863.4666;43;343.2;0.0;0.0;0.0;12.01;29.28;1722277196.07;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;0;23628091;43179;20480;11173;192;0;4;1519644672;0;0;503647232;503898112;149954560;0;8192;503091200;7682494464;1527398400;0;0;510242816;149954560;8192;7682494464;0.3779077916031061;opencraft.x86_64;0;3673;20400;44;120;170511;1;running;None;5378;5378;5378;zmr280;20050278601;325650918429;78241115;301871003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3900887140;57548373380;5083433;9395871;0;0;0;0;0;0;0;0;0;0;0;0;11821862;11821862;65208;65208;0;0;0;0;314861;6158904320;2315768;289922532352;386;2174976;11;1057792;254146;5906162688;165433;10106138624;60190;247470080;2150312;279815106560;44;1462272;0;0;0.0;0.0;25779769.22;668.83;3578.63;329.48;2150.74;0.0;31508.28;372432.31;7.1;2.7898749999999986;1500.0;2800.0;2228159509;1713762828;491696721;0
1722277218933.41;43;333.0;0.0;0.0;0.0;12.8;32.05;1722277196.07;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;0;24714267;46163;20480;11173;192;0;4;1519648768;0;0;504220672;504483840;149954560;0;8192;503664640;7682494464;1519652864;0;0;504487936;149954560;8192;7682494464;0.3736454797712804;opencraft.x86_64;0;3767;23562;44;120;170511;1;running;None;5378;5378;5378;zmr280;20050280961;325651555352;78241125;301873682;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3900887140;57548373380;5083433;9395871;0;0;0;0;0;0;0;0;0;0;0;0;11821862;11821862;65208;65208;0;0;0;0;314861;6158904320;2315771;289922573312;386;2174976;11;1057792;254146;5906162688;165436;10106179584;60190;247470080;2150312;279815106560;44;1462272;0;0;0.0;0.0;25779816.65;668.83;3578.71;329.5;2150.76;0.0;31509.02;372434.95;6.9;2.777749999999999;1500.0;2800.0;2228255623;1713813758;491704983;0
