Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;CheckGateState;StatisticsSystem;NumGateBlocks;NumInputTypeBlocks;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;448598016;8056832;407187456;0;0;0;0;0;0;0;0;0;0;
2;26937064;460742656;8056832;407187456;7769505;0;0;0;0;0;0;0;0;305165;0;0;0;0;0;0;
3;6171193;463110144;8056832;407187456;1329993;0;0;0;0;0;0;0;0;5161;0;0;0;0;0;0;
4;2631002;463110144;8056832;407187456;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;13296560;501272576;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;2155606;501272576;8056832;440741888;851977;0;0;0;0;0;0;0;0;5974;0;0;0;0;0;0;
7;877864;501272576;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
8;818979;501272576;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
9;813734;501272576;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;1501929;501272576;8056832;440741888;679298;0;0;0;0;0;0;0;0;3936;0;0;0;0;0;0;
11;836996;501272576;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
12;838223;501272576;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13;816425;501272576;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
14;1624332;501272576;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
15;1406756;501272576;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16;834648;501272576;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;800526;501489664;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
18;751058;501489664;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
19;793996;501489664;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
20;766866;501489664;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
21;758913;501489664;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22;764576;501489664;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
23;781906;501489664;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
24;841416;501489664;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
25;772261;501760000;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
26;780292;501760000;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
27;758785;501760000;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
28;2369944;503857152;8056832;440741888;1534042;0;0;0;0;0;0;0;0;3741;0;0;0;0;0;0;
29;747026;503857152;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
30;724234;503857152;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
31;839140;504127488;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
32;760841;504127488;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
33;774232;504127488;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
34;727543;504127488;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
35;747561;504127488;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
36;784464;504127488;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
37;765356;504127488;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
38;755074;504127488;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
39;776180;504127488;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
40;756293;504127488;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41;768607;504127488;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
42;749307;504127488;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
43;761054;504127488;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
44;742260;504127488;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
45;754990;504127488;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
46;753996;504127488;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
47;1456860;504365056;8056832;440741888;626744;0;0;0;0;0;0;0;0;3473;0;0;0;0;0;0;
48;758578;504365056;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
49;768554;504365056;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
50;753903;504365056;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
51;762744;504365056;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
52;728336;504365056;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
53;4249068;504365056;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
54;711625;504365056;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
55;713472;504365056;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
56;693597;504365056;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
57;680993;504365056;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
58;684677;504365056;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
59;684897;504365056;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
60;701505;504365056;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
61;651603;504365056;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
62;669188;504365056;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
63;648491;504365056;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
64;7544186;504635392;8056832;440741888;6849183;1572652;923986;0;0;0;0;0;0;7785;0;0;0;9;0;0;
65;799608;504635392;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
66;643190;504635392;8056832;440741888;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
