Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;CheckGateState;StatisticsSystem;NumGateBlocks;NumInputTypeBlocks;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;378200064;9723904;408854528;0;0;0;0;0;0;0;0;0;0;
2;21497881;383598592;9723904;408854528;5688506;0;0;0;0;0;0;0;0;184718;0;0;0;0;0;0;
3;4721390;384118784;9723904;408854528;816218;0;0;0;0;0;0;0;0;3606;0;0;0;0;0;0;
4;1797743;384118784;9723904;408854528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;1564708;384798720;9723904;442408960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;520179;384798720;9723904;442408960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;588266;385069056;9723904;442408960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
8;511119;385331200;9723904;442408960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
9;573230;385544192;9723904;442408960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;1305925;385548288;9723904;442408960;774557;0;0;0;0;0;0;0;0;5352;0;0;0;0;0;0;
11;572416;385548288;9723904;442408960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
12;501207;385548288;9723904;442408960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13;559914;385892352;9723904;442408960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
14;504480;386134016;9723904;442408960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
15;577023;386134016;9723904;442408960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16;550167;386883584;9723904;442408960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;569492;387424256;9723904;442408960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
