Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;CheckGateState;StatisticsSystem;NumGateBlocks;NumInputTypeBlocks;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;465477632;8679424;424587264;0;0;0;0;0;0;0;0;0;0;
2;16567966;477622272;8679424;424587264;4470180;0;0;0;0;0;0;0;0;177631;0;0;0;0;0;0;
3;4312429;479989760;8679424;424587264;1534002;0;0;0;0;0;0;0;0;2242;0;0;0;0;0;0;
4;1261694;479989760;8679424;424587264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;9352788;517931008;8679424;458141696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;1438333;518184960;8679424;458141696;682437;0;0;0;0;0;0;0;0;4197;0;0;0;0;0;0;
7;501682;518184960;8679424;458141696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
8;530284;518184960;8679424;458141696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
9;535599;518184960;8679424;458141696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;513193;518184960;8679424;458141696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11;489413;518184960;8679424;458141696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
12;525998;518184960;8679424;458141696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13;480338;518184960;8679424;458141696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
14;536171;518184960;8679424;458141696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
15;493598;518184960;8679424;458141696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16;517805;518184960;8679424;458141696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;489031;518184960;8679424;458141696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
18;520728;518184960;8679424;458141696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
19;465528;518184960;8679424;458141696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
20;543284;518184960;8679424;458141696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
21;459280;518184960;8679424;458141696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22;558091;518184960;8679424;458141696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
23;790905;518184960;8679424;458141696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
24;647417;518184960;8679424;458141696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
25;855370;518184960;8679424;458141696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
26;1628120;520282112;8679424;458141696;1130622;0;0;0;0;0;0;0;0;2261;0;0;0;0;0;0;
27;520681;520282112;8679424;458141696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
28;528431;520282112;8679424;458141696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
29;475322;520282112;8679424;458141696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
30;528389;520282112;8679424;458141696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
31;468217;520282112;8679424;458141696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
32;527997;520282112;8679424;458141696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
33;486340;520282112;8679424;458141696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
34;532962;520282112;8679424;458141696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
35;530673;520282112;8679424;458141696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
36;537067;520491008;8679424;458141696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
37;509848;520491008;8679424;458141696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
38;557288;520736768;8679424;458141696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
