Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;CheckGateState;StatisticsSystem;NumGateBlocks;NumInputTypeBlocks;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;452628480;9777152;408907776;0;0;0;0;0;0;0;0;0;0;
2;16318610;464773120;9777152;408907776;4326636;0;0;0;0;0;0;0;0;160409;0;0;0;0;0;0;
3;3267939;465043456;9777152;408907776;558346;0;0;0;0;0;0;0;0;2338;0;0;0;0;0;0;
4;1263217;465043456;9777152;408907776;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;9446458;502980608;9777152;442462208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;2030419;505331712;9777152;442462208;1213256;0;0;0;0;0;0;0;0;3932;0;0;0;0;0;0;
7;484800;505331712;9777152;442462208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
8;487007;505331712;9777152;442462208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
9;509257;505331712;9777152;442462208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;488725;505331712;9777152;442462208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11;511559;505331712;9777152;442462208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
12;475135;505331712;9777152;442462208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13;513853;505331712;9777152;442462208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
14;535009;505331712;9777152;442462208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
15;545982;505331712;9777152;442462208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16;533976;505331712;9777152;442462208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;514807;505331712;9777152;442462208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
18;528884;505331712;9777152;442462208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
19;469723;505331712;9777152;442462208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
20;522464;505331712;9777152;442462208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
21;760407;505331712;9777152;442462208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22;603973;505331712;9777152;442462208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
23;834699;505331712;9777152;442462208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
24;510406;505331712;9777152;442462208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
25;489745;505331712;9777152;442462208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
26;1007713;505331712;9777152;442462208;476516;0;0;0;0;0;0;0;0;2265;0;0;0;0;0;0;
27;549796;505331712;9777152;442462208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
28;524586;505331712;9777152;442462208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
29;506389;505331712;9777152;442462208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
30;517119;505331712;9777152;442462208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
31;519412;505331712;9777152;442462208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
32;485683;505331712;9777152;442462208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
33;515148;505331712;9777152;442462208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
