Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
66542,19661743,4171771904,41201664,12158169088,14822568,0,105438,312156,1295148,1101817,220,21280,8667,7755,0.0,0.0,0.0,2100.0,0.0,1.0
66543,13204113,4176482304,41201664,12174946304,7424855,0,193403,356349,0,0,0,0,0,9728,0.0,0.0,0.0,2100.0,0.0,1.0
66544,4357031,4176482304,41201664,12174946304,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66545,7534921,4176482304,41201664,12174946304,1960587,0,112802,179517,0,0,0,0,0,5590,0.0,0.0,0.0,2100.0,0.0,1.0
66546,4798639,4176883712,41185280,12174929920,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66547,5595684,4176883712,41185280,12174929920,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66548,6380777,4176883712,41185280,12174929920,1943375,0,104606,176822,0,0,0,0,0,5611,0.0,0.0,0.0,2100.0,0.0,1.0
66549,5568202,4176883712,41185280,12174929920,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66550,4188526,4177141760,41177088,12174921728,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66551,7308146,4177391616,41177088,12174921728,1813612,0,99266,148238,0,0,0,0,0,4899,0.0,0.0,0.0,2100.0,0.0,1.0
66552,4376938,4188409856,75489280,12209233920,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66553,2488818,4188409856,75489280,12209233920,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66554,6667724,4188409856,75489280,12209233920,1617974,0,98685,149501,0,0,0,0,0,4809,0.0,0.0,0.0,2100.0,0.0,1.0
66555,3544378,4188409856,75489280,12209233920,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66556,5048188,4192604160,75489280,12226011136,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66557,6004100,4205187072,75489280,12226011136,1612424,0,98444,152777,0,0,0,0,0,4659,0.0,0.0,0.0,2100.0,0.0,1.0
66558,5429041,4215898112,75489280,12226011136,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66559,3726899,4215898112,75489280,12226011136,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66560,4973307,4215898112,75489280,12226011136,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66561,5368948,4215894016,75485184,12226007040,1608337,0,106589,150963,0,0,0,0,0,4729,0.0,0.0,0.0,2100.0,0.0,1.0
66562,4891143,4215894016,75485184,12226007040,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66563,3394306,4181635072,40869888,12191391744,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66564,6493397,4181635072,40869888,12191391744,1580243,0,98093,149601,0,0,0,0,0,4138,0.0,0.0,0.0,2100.0,0.0,1.0
66565,3390869,4181635072,40869888,12191391744,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66566,4978797,4181635072,40869888,12191391744,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66567,3550619,4181635072,40869888,12191391744,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66568,6510119,4181635072,40869888,12191391744,1595863,0,98324,145563,0,0,0,0,0,4869,0.0,0.0,0.0,2100.0,0.0,1.0
66569,3453196,4181635072,40869888,12191391744,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66570,4952458,4181635072,40869888,12191391744,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66571,4823556,4181630976,40865792,12191387648,1581997,0,97754,157005,0,0,0,0,0,4929,0.0,0.0,0.0,2100.0,0.0,1.0
66572,5529710,4181630976,40865792,12191387648,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66573,4696228,4181630976,40869888,12191391744,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66574,5644806,4181630976,40869888,12191391744,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66575,6809751,4181630976,40869888,12191391744,2102663,0,109135,169237,0,0,0,0,0,6532,0.0,0.0,0.0,2100.0,0.0,1.0
66576,5537845,4181630976,40869888,12191391744,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66577,7335177,4181630976,40869888,12191391744,2215054,0,116719,170710,0,0,0,0,0,6713,0.0,0.0,0.0,2100.0,0.0,1.0
66578,6363444,4192632832,75485184,12226007040,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66579,5757418,4205215744,75489280,12226011136,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66580,7918600,4215701504,75489280,12226011136,1860670,0,97743,278783,0,0,0,0,0,12534,0.0,0.0,0.0,2100.0,0.0,1.0
66581,3515743,4215701504,75489280,12226011136,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66582,4967556,4215701504,75489280,12226011136,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66583,5296473,4215701504,75489280,12226011136,1754020,0,97874,226345,0,0,0,0,0,4058,0.0,0.0,0.0,2100.0,0.0,1.0
66584,4925417,4215701504,75489280,12226011136,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66585,3318043,4185780224,41177088,12208476160,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66586,6622459,4185780224,41177088,12208476160,1652770,0,96782,224441,0,0,0,0,0,4398,0.0,0.0,0.0,2100.0,0.0,1.0
66587,3061983,4185780224,41177088,12208476160,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66588,4991121,4185780224,41177088,12208476160,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66589,3415375,4185780224,41177088,12208476160,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66590,6748396,4185780224,41177088,12208476160,1810515,0,98024,133510,0,0,0,0,0,4529,0.0,0.0,0.0,2100.0,0.0,1.0
66591,2954892,4185780224,41177088,12208476160,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66592,5013522,4185780224,41177088,12208476160,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66593,3573862,4185776128,41172992,12208472064,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66594,6778743,4185776128,41172992,12208472064,1847755,0,96761,291687,0,0,0,0,0,4599,0.0,0.0,0.0,2100.0,0.0,1.0
66595,2956635,4185776128,41172992,12208472064,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66596,4976893,4185776128,41172992,12208472064,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66597,5098332,4185776128,41172992,12208472064,1584992,0,108945,136717,0,0,0,0,0,4839,0.0,0.0,0.0,2100.0,0.0,1.0
66598,4916019,4185776128,41172992,12208472064,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66599,2987973,4185776128,41177088,12208476160,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66600,4914917,4185776128,41177088,12208476160,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66601,5736028,4185776128,41177088,12208476160,1968301,0,107652,163877,0,0,0,0,0,18605,0.0,0.0,0.0,2100.0,0.0,1.0
66602,6558560,4196794368,75485184,12242784256,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66603,5683138,4209377280,75485184,12242784256,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66604,8196151,4220088320,75485184,12242784256,2009088,0,107412,164118,0,0,0,0,0,7014,0.0,0.0,0.0,2100.0,0.0,1.0
66605,5046845,4224544768,75485184,12259561472,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66606,7386993,4224544768,75485184,12259561472,1870969,0,103103,149831,0,0,0,0,0,5591,0.0,0.0,0.0,2100.0,0.0,1.0
66607,3150659,4224794624,75485184,12259561472,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66608,4943181,4224794624,75485184,12259561472,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66609,3721729,4190535680,40869888,12224946176,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66610,6640945,4190535680,40869888,12224946176,1670864,0,96742,135313,0,0,0,0,0,4499,0.0,0.0,0.0,2100.0,0.0,1.0
66611,3302794,4190535680,40869888,12224946176,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66612,4984007,4190535680,40869888,12224946176,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66613,5523538,4190531584,40865792,12224942080,1911364,0,97734,301305,0,0,0,0,0,4288,0.0,0.0,0.0,2100.0,0.0,1.0
66614,4984869,4194725888,40865792,12241719296,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66615,3560627,4194725888,40869888,12241723392,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66616,4996109,4194725888,40869888,12241723392,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66617,5136803,4194725888,40869888,12241723392,1615399,0,97453,138721,0,0,0,0,0,4689,0.0,0.0,0.0,2100.0,0.0,1.0
66618,4930506,4194725888,40869888,12241723392,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66619,3106346,4194725888,40869888,12241723392,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66620,6549343,4194725888,40869888,12241723392,1608987,0,97423,137829,0,0,0,0,0,4518,0.0,0.0,0.0,2100.0,0.0,1.0
66621,3383005,4194725888,40869888,12241723392,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66622,4966444,4194725888,40869888,12241723392,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66623,3469737,4194725888,40869888,12241723392,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66624,6509708,4194725888,40869888,12241723392,1581175,0,97343,138259,0,0,0,0,0,4689,0.0,0.0,0.0,2100.0,0.0,1.0
66625,2935726,4194725888,40869888,12241723392,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66626,5514161,4205727744,75485184,12276338688,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2100.0,0.0,1.0
66627,7246399,4218499072,75481088,12276334592,2222608,0,108404,313087,0,0,0,0,0,5099,0.0,0.0,0.0,2100.0,0.0,1.0
