timestamp;proc.cpu_num;proc.cpu_percent;proc.cpu_times.children_system;proc.cpu_times.children_user;proc.cpu_times.iowait;proc.cpu_times.system;proc.cpu_times.user;proc.create_time;proc.cwd;proc.exe;proc.gids.effective;proc.gids.real;proc.gids.saved;proc.io_counters.read_bytes;proc.io_counters.read_chars;proc.io_counters.read_count;proc.io_counters.write_bytes;proc.io_counters.write_chars;proc.io_counters.write_count;proc.ionice.ioclass;proc.ionice.value;proc.memory_full_info.data;proc.memory_full_info.dirty;proc.memory_full_info.lib;proc.memory_full_info.pss;proc.memory_full_info.rss;proc.memory_full_info.shared;proc.memory_full_info.swap;proc.memory_full_info.text;proc.memory_full_info.uss;proc.memory_full_info.vms;proc.memory_info.data;proc.memory_info.dirty;proc.memory_info.lib;proc.memory_info.rss;proc.memory_info.shared;proc.memory_info.text;proc.memory_info.vms;proc.memory_percent;proc.name;proc.nice;proc.num_ctx_switches.involuntary;proc.num_ctx_switches.voluntary;proc.num_fds;proc.num_threads;proc.pid;proc.ppid;proc.status;proc.terminal;proc.uids.effective;proc.uids.real;proc.uids.saved;proc.username;net.bytes_sent.eth0;net.bytes_recv.eth0;net.packets_sent.eth0;net.packets_recv.eth0;net.errin.eth0;net.errout.eth0;net.dropin.eth0;net.dropout.eth0;net.bytes_sent.eth1;net.bytes_recv.eth1;net.packets_sent.eth1;net.packets_recv.eth1;net.errin.eth1;net.errout.eth1;net.dropin.eth1;net.dropout.eth1;net.bytes_sent.eth2;net.bytes_recv.eth2;net.packets_sent.eth2;net.packets_recv.eth2;net.errin.eth2;net.errout.eth2;net.dropin.eth2;net.dropout.eth2;net.bytes_sent.eth3;net.bytes_recv.eth3;net.packets_sent.eth3;net.packets_recv.eth3;net.errin.eth3;net.errout.eth3;net.dropin.eth3;net.dropout.eth3;net.bytes_sent.eth4;net.bytes_recv.eth4;net.packets_sent.eth4;net.packets_recv.eth4;net.errin.eth4;net.errout.eth4;net.dropin.eth4;net.dropout.eth4;net.bytes_sent.ib0;net.bytes_recv.ib0;net.packets_sent.ib0;net.packets_recv.ib0;net.errin.ib0;net.errout.ib0;net.dropin.ib0;net.dropout.ib0;net.bytes_sent.lo;net.bytes_recv.lo;net.packets_sent.lo;net.packets_recv.lo;net.errin.lo;net.errout.lo;net.dropin.lo;net.dropout.lo;disk.read_count.nvme0n1;disk.read_bytes.nvme0n1;disk.write_count.nvme0n1;disk.write_bytes.nvme0n1;disk.read_count.nvme0n1p1;disk.read_bytes.nvme0n1p1;disk.write_count.nvme0n1p1;disk.write_bytes.nvme0n1p1;disk.read_count.nvme0n1p2;disk.read_bytes.nvme0n1p2;disk.write_count.nvme0n1p2;disk.write_bytes.nvme0n1p2;disk.read_count.nvme0n1p3;disk.read_bytes.nvme0n1p3;disk.write_count.nvme0n1p3;disk.write_bytes.nvme0n1p3;disk.read_count.nvme0n1p4;disk.read_bytes.nvme0n1p4;disk.write_count.nvme0n1p4;disk.write_bytes.nvme0n1p4;cpu.guest;cpu.guest_nice;cpu.idle;cpu.iowait;cpu.irq;cpu.nice;cpu.softirq;cpu.steal;cpu.system;cpu.user;cpu.percent;cpu.freq.current;cpu.freq.min;cpu.freq.max;cpu.ctx_switches;cpu.interrupts;cpu.soft_interrupts;cpu.syscalls
1722419588126.6855;30;317.6;0.0;0.0;0.0;6.96;6.45;1722419575.36;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;0;12389325;12295;16384;11171;191;0;4;1515421696;0;0;499777536;500211712;150011904;0;8192;499245056;7806857216;1515421696;0;0;500211712;150011904;8192;7806857216;0.37047834669616203;opencraft.x86_64;0;2743;2033;44;120;194486;1;running;None;5378;5378;5378;zmr280;6210353838;282555441401;53075788;279598663;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;596702304;45214216040;3588899;7192842;0;0;0;0;0;0;0;0;0;0;0;0;9126604;9126604;50233;50233;0;0;0;0;193478;4408523776;1982421;244975805440;448;4964352;11;1057792;184151;4352091136;174604;9974124544;8327;36243456;1807794;235000393728;209;8863744;0;0;0.0;0.0;28092401.45;511.75;13482.24;2102.81;4441.74;0.0;151859.41;1399923.44;6.5;2.722249999999999;1500.0;2800.0;16707496409;6069453079;1421409416;0
1722419589188.2349;6;290.9;0.0;0.0;0.0;7.64;8.86;1722419575.36;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;0;14251371;17407;16384;11171;191;0;4;1519665152;0;0;498798592;498601984;150011904;0;8192;498266112;7812276224;1519665152;0;0;503275520;150011904;8192;7812276224;0.3727475349122798;opencraft.x86_64;0;2838;3520;44;120;194486;1;running;None;5378;5378;5378;zmr280;6210356218;282555452625;53075798;279598701;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;596702304;45214216040;3588899;7192842;0;0;0;0;0;0;0;0;0;0;0;0;9126604;9126604;50233;50233;0;0;0;0;193478;4408523776;1982421;244975805440;448;4964352;11;1057792;184151;4352091136;174604;9974124544;8327;36243456;1807794;235000393728;209;8863744;0;0;0.0;0.0;28092449.17;511.75;13482.31;2102.85;4441.76;0.0;151859.96;1399925.64;5.7;2.737041666666665;1500.0;2800.0;16707581448;6069497990;1421416025;0
1722419590253.3396;6;302.5;0.0;0.0;0.0;8.28;11.44;1722419575.36;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;0;15993943;22191;16384;11171;191;0;4;1519665152;0;0;503504896;503918592;150011904;0;8192;502972416;7812276224;1519665152;0;0;503930880;150011904;8192;7812276224;0.3732329227659948;opencraft.x86_64;0;2936;5142;44;120;194486;1;running;None;5378;5378;5378;zmr280;6210358598;282555462317;53075808;279598736;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;596702304;45214216040;3588899;7192842;0;0;0;0;0;0;0;0;0;0;0;0;9126604;9126604;50233;50233;0;0;0;0;193478;4408523776;1982421;244975805440;448;4964352;11;1057792;184151;4352091136;174604;9974124544;8327;36243456;1807794;235000393728;209;8863744;0;0;0.0;0.0;28092496.82;511.75;13482.39;2102.88;4441.78;0.0;151860.52;1399928.02;6.1;2.597499999999999;1500.0;2800.0;16707669011;6069546229;1421424618;0
1722419591320.3157;6;332.7;0.0;0.0;0.0;9.1;14.17;1722419575.36;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;0;17625783;26671;16384;11171;191;0;4;1519661056;0;0;503242752;499269632;150011904;0;8192;502710272;7812276224;1519661056;0;0;503541760;150011904;8192;7812276224;0.37294472372785153;opencraft.x86_64;0;3031;7520;44;120;194486;1;running;None;5378;5378;5378;zmr280;6210360978;282555475798;53075818;279598778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;596702304;45214216040;3588899;7192842;0;0;0;0;0;0;0;0;0;0;0;0;9126604;9126604;50233;50233;0;0;0;0;193478;4408523776;1982421;244975805440;448;4964352;11;1057792;184151;4352091136;174604;9974124544;8327;36243456;1807794;235000393728;209;8863744;0;0;0.0;0.0;28092544.01;511.75;13482.48;2102.91;4441.8;0.0;151861.32;1399930.66;7.1;2.745187499999999;1500.0;2800.0;16707776084;6069605053;1421433396;0
1722419592382.278;6;329.6;0.0;0.0;0.0;9.79;16.98;1722419575.36;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;0;19138149;30823;16384;11171;191;0;4;1521758208;0;0;505352192;505778176;150011904;0;8192;504819712;7812276224;1521758208;0;0;505774080;150011904;8192;7812276224;0.37459807610456836;opencraft.x86_64;0;3129;10268;44;120;194486;1;running;None;5378;5378;5378;zmr280;6210363358;282555483013;53075828;279598809;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;596702304;45214216040;3588899;7192842;0;0;0;0;0;0;0;0;0;0;0;0;9126604;9126604;50233;50233;0;0;0;0;193478;4408523776;1982421;244975805440;448;4964352;11;1057792;184151;4352091136;174604;9974124544;8327;36243456;1807794;235000393728;209;8863744;0;0;0.0;0.0;28092591.21;511.75;13482.56;2102.95;4441.82;0.0;151862.06;1399933.49;7.3;2.714958333333332;1500.0;2800.0;16707882430;6069662739;1421441993;0
1722419593444.2197;6;332.5;0.0;0.0;0.0;10.5;19.8;1722419575.36;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;0;20633031;34927;16384;11171;191;0;4;1521758208;0;0;505933824;506322944;150011904;0;8192;505401344;7812276224;1521758208;0;0;506355712;150011904;8192;7812276224;0.3750288578247404;opencraft.x86_64;0;3227;13482;44;120;194486;1;running;None;5378;5378;5378;zmr280;6210365976;282555495026;53075839;279598850;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;596702536;45214216222;3588901;7192843;0;0;0;0;0;0;0;0;0;0;0;0;9126604;9126604;50233;50233;0;0;0;0;193478;4408523776;1982423;244975834112;448;4964352;11;1057792;184151;4352091136;174606;9974153216;8327;36243456;1807794;235000393728;209;8863744;0;0;0.0;0.0;28092638.58;511.75;13482.65;2102.98;4441.85;0.0;151862.87;1399936.34;7.4;2.790354166666665;1500.0;2800.0;16707987044;6069717451;1421451255;0
1722419594511.2322;6;332.8;0.0;0.0;0.0;11.23;22.62;1722419575.36;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;0;22111886;38987;16384;11171;191;0;4;1521762304;0;0;506216448;506634240;150011904;0;8192;505683968;7812276224;1521762304;0;0;506626048;150011904;8192;7812276224;0.37522908031439783;opencraft.x86_64;0;3326;16147;44;120;194486;1;running;None;5378;5378;5378;zmr280;6210368356;282555510622;53075849;279598896;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;596702536;45214216222;3588901;7192843;0;0;0;0;0;0;0;0;0;0;0;0;9126604;9126604;50233;50233;0;0;0;0;193478;4408523776;1982423;244975834112;448;4964352;11;1057792;184151;4352091136;174606;9974153216;8327;36243456;1807794;235000393728;209;8863744;0;0;0.0;0.0;28092685.75;511.75;13482.73;2103.0;4441.87;0.0;151863.6;1399939.07;7.1;2.7484999999999986;1500.0;2800.0;16708090733;6069772103;1421461744;0
1722419595573.2073;6;334.8;0.0;0.0;0.0;12.03;25.38;1722419575.36;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;0;23608225;43095;16384;11171;191;0;4;1521750016;0;0;506204160;506626048;150011904;0;8192;505671680;7812276224;1521750016;0;0;506626048;150011904;8192;7812276224;0.37522908031439783;opencraft.x86_64;0;3422;18591;44;120;194486;1;running;None;5378;5378;5378;zmr280;6210370736;282555517837;53075859;279598927;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;596702536;45214216222;3588901;7192843;0;0;0;0;0;0;0;0;0;0;0;0;9126604;9126604;50233;50233;0;0;0;0;193478;4408523776;1982423;244975834112;448;4964352;11;1057792;184151;4352091136;174606;9974153216;8327;36243456;1807794;235000393728;209;8863744;0;0;0.0;0.0;28092732.98;511.75;13482.81;2103.03;4441.89;0.0;151864.28;1399941.58;6.6;2.690520833333332;1500.0;2800.0;16708194387;6069827580;1421469909;0
1722419596637.2664;6;330.3;0.0;0.0;0.0;12.81;28.11;1722419575.36;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;430080;24874358;46571;20480;11197;192;0;4;1516294144;0;0;501112832;501534720;150343680;0;8192;500580352;7812276224;1522733056;0;0;503148544;150343680;8192;7812276224;0.3726534910156225;opencraft.x86_64;0;3516;21042;44;120;194486;1;running;None;5378;5378;5378;zmr280;6210373116;282555529549;53075869;279598966;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;596706606;45214650534;3588914;7192895;0;0;0;0;0;0;0;0;0;0;0;0;9126604;9126604;50233;50233;0;0;0;0;193478;4408523776;1982423;244975834112;448;4964352;11;1057792;184151;4352091136;174606;9974153216;8327;36243456;1807794;235000393728;209;8863744;0;0;0.0;0.0;28092780.47;511.75;13482.89;2103.05;4441.91;0.0;151865.15;1399944.38;7.4;2.727583333333332;1500.0;2800.0;16708295298;6069881431;1421478698;0
1722419597705.3098;6;310.9;0.0;0.0;0.0;13.56;30.68;1722419575.36;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;430080;25550406;48427;20480;11197;192;0;4;1516290048;0;0;501121024;501538816;150343680;0;8192;500588544;7812276224;1517301760;0;0;502099968;150343680;8192;7812276224;0.37187687044967843;opencraft.x86_64;0;3609;23956;44;120;194486;1;running;None;5378;5378;5378;zmr280;6210375496;282555536432;53075879;279598995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;596706606;45214650534;3588914;7192895;0;0;0;0;0;0;0;0;0;0;0;0;9126604;9126604;50233;50233;0;0;0;0;193478;4408523776;1982427;244975854592;448;4964352;11;1057792;184151;4352091136;174610;9974173696;8327;36243456;1807794;235000393728;209;8863744;0;0;0.0;0.0;28092827.85;511.75;13482.97;2103.06;4441.93;0.0;151865.85;1399946.82;6.4;2.7694583333333314;1500.0;2800.0;16708392314;6069933350;1421487026;0
