Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
94514,4018586,8402489344,79585280,26910171136,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94515,1844118,8402489344,79585280,26910171136,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94516,5793735,8419053568,138240000,26968825856,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94517,4651594,8419053568,138240000,26968825856,2324108,0,224151,0,0,0,0,0,0,2915,400.0,775.0,0.0,2788.0,0.0,4.0
94518,4201740,8419315712,138240000,26968825856,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94519,1830363,8419315712,138240000,26968825856,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94520,4377390,8419315712,138240000,26968825856,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94521,3371623,8419315712,138240000,26968825856,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94522,6831722,8419315712,138240000,26968825856,1928005,0,228038,0,0,0,0,0,0,4318,400.0,775.0,0.0,2788.0,0.0,4.0
94523,1774428,8419315712,138240000,26968825856,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94524,4224042,8419315712,138240000,26968825856,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94525,1925822,8402755584,79585280,26910171136,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94526,6055757,8402755584,79585280,26910171136,1464346,0,226304,0,0,0,0,0,0,2515,400.0,775.0,0.0,2788.0,0.0,4.0
94527,1808802,8402755584,79585280,26910171136,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94528,4426251,8402755584,79585280,26910171136,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94529,2154540,8402755584,79585280,26910171136,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94530,4379543,8402755584,79585280,26910171136,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94531,3583049,8402755584,79585280,26910171136,1407309,0,232105,0,0,0,0,0,0,2845,400.0,775.0,0.0,2788.0,0.0,4.0
94532,4075504,8402755584,79585280,26910171136,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94533,1723753,8402755584,79585280,26910171136,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94534,4402607,8402755584,79585280,26910171136,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94535,3687756,8402755584,79585280,26910171136,1513929,0,234860,0,0,0,0,0,0,2685,400.0,775.0,0.0,2788.0,0.0,4.0
94536,4309592,8402755584,79585280,26910171136,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94537,1732369,8402755584,79585280,26910171136,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94538,4405221,8402755584,79585280,26910171136,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94539,2143150,8402755584,79585280,26910171136,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94540,4358945,8402755584,79585280,26910171136,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94541,3612255,8402755584,79585280,26910171136,1440602,0,227356,0,0,0,0,0,0,3146,400.0,775.0,0.0,2788.0,0.0,4.0
94542,3887801,8402755584,79585280,26910171136,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94543,1692535,8402755584,79585280,26910171136,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94544,4352031,8402755584,79585280,26910171136,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94545,3761064,8402755584,79585280,26910171136,1595102,0,228949,0,0,0,0,0,0,2775,400.0,775.0,0.0,2788.0,0.0,4.0
94546,3967901,8402755584,79585280,26910171136,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94547,1684268,8402755584,79585280,26910171136,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94548,4359245,8402755584,79585280,26910171136,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94549,2137318,8402755584,79585280,26910171136,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94550,6105069,8402755584,79585280,26910171136,1424161,0,227526,0,0,0,0,0,0,3596,400.0,775.0,0.0,2788.0,0.0,4.0
94551,2617649,8402755584,79585280,26910171136,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94552,5149247,8402755584,79585280,26910171136,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94553,3618506,8402755584,79585280,26910171136,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94554,6629162,8402755584,79585280,26910171136,1785699,0,249908,0,0,0,0,0,0,2996,400.0,775.0,0.0,2788.0,0.0,4.0
94555,1841273,8402755584,79585280,26910171136,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94556,4396675,8402755584,79585280,26910171136,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94557,2102633,8402755584,79585280,26910171136,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
