Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
97179,3927846,8144789504,111587328,26942173184,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2788.0,0.0,4.0
97180,1711861,8144789504,111587328,26942173184,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2788.0,0.0,4.0
97181,4297911,8144789504,111587328,26942173184,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2788.0,0.0,4.0
97182,2092545,8144789504,111587328,26942173184,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2788.0,0.0,4.0
97183,4264808,8144789504,111587328,26942173184,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2788.0,0.0,4.0
97184,4325071,8144789504,111587328,26942173184,2206148,0,226074,0,0,0,0,0,0,2585,0.0,0.0,0.0,2788.0,0.0,4.0
97185,4181812,8144789504,111587328,26942173184,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2788.0,0.0,4.0
97186,1696181,8144789504,111587328,26942173184,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2788.0,0.0,4.0
97187,4305424,8144789504,111587328,26942173184,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2788.0,0.0,4.0
97188,3749341,8144789504,111587328,26942173184,1600722,0,231154,0,0,0,0,0,0,3176,0.0,0.0,0.0,2788.0,0.0,4.0
97189,3974915,8144789504,111587328,26942173184,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2788.0,0.0,4.0
97190,1736566,8144789504,111587328,26942173184,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2788.0,0.0,4.0
