Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
78782,1684038,23851110400,74022912,79428833280,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,8364.0,0.0,4.0
78783,4192913,23851110400,74022912,79428833280,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,8364.0,0.0,4.0
78784,1963231,23851110400,74022912,79428833280,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,8364.0,0.0,4.0
78785,9570238,23851110400,74022912,79428833280,5675844,0,619893,337162,0,0,0,0,0,2805,400.0,775.0,0.0,8364.0,0.0,4.0
78786,2092524,23851311104,74018816,79428829184,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,8364.0,0.0,4.0
78787,4495310,23851311104,74018816,79428829184,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,8364.0,0.0,4.0
78788,1959024,23851311104,74018816,79428829184,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,8364.0,0.0,4.0
78789,8213434,23851311104,74018816,79428829184,3859177,0,612929,350217,0,0,0,0,0,3496,400.0,775.0,0.0,8364.0,0.0,4.0
78790,3182469,23851311104,74022912,79428833280,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,8364.0,0.0,4.0
78791,4484290,23851311104,74022912,79428833280,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,8364.0,0.0,4.0
78792,9871984,23851311104,74022912,79428833280,5608539,0,1243052,313628,0,0,0,0,0,6282,400.0,775.0,0.0,8364.0,0.0,4.0
78793,5350765,23851311104,74022912,79428833280,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,8364.0,0.0,4.0
78794,4928532,23851311104,74022912,79428833280,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,8364.0,0.0,4.0
78795,10738710,23851311104,74022912,79428833280,5630900,0,1272095,327284,0,0,0,0,0,6021,400.0,775.0,0.0,8364.0,0.0,4.0
78796,4623420,23851315200,74018816,79428829184,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,8364.0,0.0,4.0
78797,11006822,23851315200,74018816,79428829184,5844511,0,1250004,317095,0,0,0,0,0,5801,400.0,775.0,0.0,8364.0,0.0,4.0
78798,4400352,23851315200,74018816,79428829184,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,8364.0,0.0,4.0
78799,10508668,23851585536,74018816,79428829184,5437798,0,1261957,207129,0,0,0,0,0,6122,400.0,775.0,0.0,8364.0,0.0,4.0
78800,4450316,23851585536,74018816,79428829184,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,8364.0,0.0,4.0
78801,11023333,23851585536,74018816,79428829184,5735196,0,1274671,405370,0,0,0,0,0,5741,400.0,775.0,0.0,8364.0,0.0,4.0
78802,5794186,23851585536,74018816,79428829184,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,8364.0,0.0,4.0
78803,10906974,23851585536,74018816,79428829184,5758189,0,1280311,387647,0,0,0,0,0,6252,400.0,775.0,0.0,8364.0,0.0,4.0
78804,4661212,23851851776,74018816,79428829184,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,8364.0,0.0,4.0
78805,5164145,23851851776,74018816,79428829184,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,8364.0,0.0,4.0
78806,9937807,23851851776,74018816,79428829184,5386001,0,1138505,272581,0,0,0,0,0,5470,400.0,775.0,0.0,8364.0,0.0,4.0
78807,5127226,23851851776,74018816,79428829184,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,8364.0,0.0,4.0
78808,9795009,23851851776,74018816,79428829184,5650527,0,1148323,390191,0,0,0,0,0,5340,400.0,775.0,0.0,8364.0,0.0,4.0
78809,5237533,23851851776,74018816,79428829184,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,8364.0,0.0,4.0
78810,9750707,23851851776,74018816,79428829184,5634827,0,1175625,424306,0,0,0,0,0,5440,400.0,775.0,0.0,8364.0,0.0,4.0
78811,5019633,23851851776,74018816,79428829184,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,8364.0,0.0,4.0
78812,4285256,23851851776,74018816,79428829184,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,8364.0,0.0,4.0
78813,10417296,23851851776,74018816,79428829184,5359010,0,1195973,277931,0,0,0,0,0,5891,400.0,775.0,0.0,8364.0,0.0,4.0
78814,4106822,23851851776,74018816,79428829184,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,8364.0,0.0,4.0
78815,11886131,23867850752,136294400,79491104768,4709132,0,1187306,312026,0,0,0,0,0,4108,400.0,775.0,0.0,8364.0,0.0,4.0
78816,3699878,23867850752,136294400,79491104768,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,8364.0,0.0,4.0
78817,9207097,23868104704,136294400,79491104768,4641495,0,1194600,314129,0,0,0,0,0,5080,400.0,775.0,0.0,8364.0,0.0,4.0
