Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
94262,6838134,7917461504,94109696,26924695552,2320943,260459,229170,0,0,0,0,0,0,19958,0.0,2788.0,0.0,4.0
94263,1591515,7917461504,94109696,26924695552,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94264,4261482,7917461504,94109696,26924695552,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94265,2033103,7886016512,52084736,26882670592,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94266,6139985,7886016512,52084736,26882670592,2305504,0,239579,0,0,0,0,0,0,2665,0.0,2788.0,0.0,4.0
94267,1623014,7886016512,52084736,26882670592,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94268,4254168,7886016512,52084736,26882670592,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94269,1815876,7886016512,52084736,26882670592,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94270,4230934,7886016512,52084736,26882670592,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94271,3477632,7886016512,52084736,26882670592,1581987,0,227136,0,0,0,0,0,0,3186,0.0,2788.0,0.0,4.0
94272,3837988,7886016512,52084736,26882670592,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94273,1664251,7886016512,52084736,26882670592,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94274,4244610,7886016512,52084736,26882670592,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94275,1859246,7886016512,52084736,26882670592,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94276,5204240,7886016512,52084736,26882670592,1493581,0,227296,0,0,0,0,0,0,2896,0.0,2788.0,0.0,4.0
94277,1570966,7886016512,52084736,26882670592,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94278,4262153,7886016512,52084736,26882670592,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94279,1890746,7886016512,52084736,26882670592,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94280,5466101,7902793728,94109696,26924695552,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94281,4514075,7917473792,94109696,26924695552,1549335,0,232236,0,0,0,0,0,0,2986,0.0,2788.0,0.0,4.0
94282,3920472,7917473792,94109696,26924695552,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94283,1767875,7917473792,94109696,26924695552,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94284,4286719,7917473792,94109696,26924695552,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94285,3559446,7917473792,94109696,26924695552,1602406,0,227657,0,0,0,0,0,0,2906,0.0,2788.0,0.0,4.0
94286,3702203,7917473792,94109696,26924695552,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94287,1617463,7917473792,94109696,26924695552,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94288,4251012,7917473792,94109696,26924695552,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94289,1996565,7886032896,52084736,26882670592,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94290,4253817,7886032896,52084736,26882670592,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94291,3972320,7886032896,52084736,26882670592,1991084,0,235161,0,0,0,0,0,0,4729,0.0,2788.0,0.0,4.0
94292,4968658,7886032896,52084736,26882670592,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94293,2760127,7886032896,52088832,26882674688,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94294,4896543,7886032896,52088832,26882674688,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94295,3516074,7886032896,52088832,26882674688,1582818,0,226094,0,0,0,0,0,0,2755,0.0,2788.0,0.0,4.0
94296,3853637,7886032896,52088832,26882674688,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94297,1495805,7886032896,52088832,26882674688,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94298,4208031,7886032896,52088832,26882674688,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94299,1863505,7886032896,52088832,26882674688,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94300,5453136,7886032896,52088832,26882674688,1512386,0,234159,0,0,0,0,0,0,2595,0.0,2788.0,0.0,4.0
