Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
88104,8970984,23082876928,51261440,79523512320,5617234,776486,1200792,333545,0,0,0,0,0,95970,0.0,8364.0,0.0,4.0
88105,4692220,23082876928,51261440,79523512320,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88106,2676579,23082876928,51261440,79523512320,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88107,15647375,23082876928,51261440,79523512320,11034985,0,1194961,434836,0,0,0,0,0,4638,0.0,8364.0,0.0,4.0
88108,10935007,23098068992,106385408,79578636288,6904829,0,1201584,423675,0,0,0,0,0,4228,0.0,8364.0,0.0,4.0
88109,2115949,23098068992,106385408,79578636288,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88110,4515678,23098068992,106385408,79578636288,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88111,8146037,23102263296,106385408,79595413504,5292335,0,1198217,382146,0,0,0,0,0,4047,0.0,8364.0,0.0,4.0
88112,4755569,23102263296,106385408,79595413504,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88113,3476149,23116943360,106385408,79595413504,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88114,14428298,23137107968,106385408,79612190720,8828266,0,1218506,296936,0,0,0,0,0,3737,0.0,8364.0,0.0,4.0
88115,2967655,23137107968,106385408,79612190720,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88116,20256439,23137648640,106385408,79612190720,15547247,0,1263960,351279,0,0,0,0,0,5942,0.0,8364.0,0.0,4.0
88117,15131617,23137648640,106385408,79612190720,10684558,0,1226690,363030,0,0,0,0,0,6051,0.0,8364.0,0.0,4.0
88118,12506645,23137648640,106385408,79612190720,7139820,0,1265293,396945,0,0,0,0,0,5309,0.0,8364.0,0.0,4.0
88119,13340008,23093039104,61648896,79567454208,8591121,0,1239645,281298,0,0,0,0,0,6342,0.0,8364.0,0.0,4.0
88120,5476861,23093039104,61648896,79567454208,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88121,9611646,23093039104,61648896,79567454208,5590013,0,1242059,356309,0,0,0,0,0,5209,0.0,8364.0,0.0,4.0
88122,5301082,23093039104,61648896,79567454208,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88123,17493106,23108251648,106393600,79612198912,5905365,0,1275131,402746,0,0,0,0,0,5530,0.0,8364.0,0.0,4.0
88124,11266008,23108251648,106401792,79612207104,7099695,0,1122185,354855,0,0,0,0,0,5300,0.0,8364.0,0.0,4.0
88125,5392092,23108251648,106401792,79612207104,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88126,11878407,23112445952,106401792,79628984320,8326045,0,1136351,228379,0,0,0,0,0,5100,0.0,8364.0,0.0,4.0
