timestamp;proc.cpu_num;proc.cpu_percent;proc.cpu_times.children_system;proc.cpu_times.children_user;proc.cpu_times.iowait;proc.cpu_times.system;proc.cpu_times.user;proc.create_time;proc.cwd;proc.exe;proc.gids.effective;proc.gids.real;proc.gids.saved;proc.io_counters.read_bytes;proc.io_counters.read_chars;proc.io_counters.read_count;proc.io_counters.write_bytes;proc.io_counters.write_chars;proc.io_counters.write_count;proc.ionice.ioclass;proc.ionice.value;proc.memory_full_info.data;proc.memory_full_info.dirty;proc.memory_full_info.lib;proc.memory_full_info.pss;proc.memory_full_info.rss;proc.memory_full_info.shared;proc.memory_full_info.swap;proc.memory_full_info.text;proc.memory_full_info.uss;proc.memory_full_info.vms;proc.memory_info.data;proc.memory_info.dirty;proc.memory_info.lib;proc.memory_info.rss;proc.memory_info.shared;proc.memory_info.text;proc.memory_info.vms;proc.memory_percent;proc.name;proc.nice;proc.num_ctx_switches.involuntary;proc.num_ctx_switches.voluntary;proc.num_fds;proc.num_threads;proc.pid;proc.ppid;proc.status;proc.terminal;proc.uids.effective;proc.uids.real;proc.uids.saved;proc.username;net.bytes_sent.eth0;net.bytes_recv.eth0;net.packets_sent.eth0;net.packets_recv.eth0;net.errin.eth0;net.errout.eth0;net.dropin.eth0;net.dropout.eth0;net.bytes_sent.eth1;net.bytes_recv.eth1;net.packets_sent.eth1;net.packets_recv.eth1;net.errin.eth1;net.errout.eth1;net.dropin.eth1;net.dropout.eth1;net.bytes_sent.eth2;net.bytes_recv.eth2;net.packets_sent.eth2;net.packets_recv.eth2;net.errin.eth2;net.errout.eth2;net.dropin.eth2;net.dropout.eth2;net.bytes_sent.eth3;net.bytes_recv.eth3;net.packets_sent.eth3;net.packets_recv.eth3;net.errin.eth3;net.errout.eth3;net.dropin.eth3;net.dropout.eth3;net.bytes_sent.eth4;net.bytes_recv.eth4;net.packets_sent.eth4;net.packets_recv.eth4;net.errin.eth4;net.errout.eth4;net.dropin.eth4;net.dropout.eth4;net.bytes_sent.ib0;net.bytes_recv.ib0;net.packets_sent.ib0;net.packets_recv.ib0;net.errin.ib0;net.errout.ib0;net.dropin.ib0;net.dropout.ib0;net.bytes_sent.lo;net.bytes_recv.lo;net.packets_sent.lo;net.packets_recv.lo;net.errin.lo;net.errout.lo;net.dropin.lo;net.dropout.lo;disk.read_count.nvme0n1;disk.read_bytes.nvme0n1;disk.write_count.nvme0n1;disk.write_bytes.nvme0n1;disk.read_count.nvme0n1p1;disk.read_bytes.nvme0n1p1;disk.write_count.nvme0n1p1;disk.write_bytes.nvme0n1p1;disk.read_count.nvme0n1p2;disk.read_bytes.nvme0n1p2;disk.write_count.nvme0n1p2;disk.write_bytes.nvme0n1p2;disk.read_count.nvme0n1p3;disk.read_bytes.nvme0n1p3;disk.write_count.nvme0n1p3;disk.write_bytes.nvme0n1p3;disk.read_count.nvme0n1p4;disk.read_bytes.nvme0n1p4;disk.write_count.nvme0n1p4;disk.write_bytes.nvme0n1p4;cpu.guest;cpu.guest_nice;cpu.idle;cpu.iowait;cpu.irq;cpu.nice;cpu.softirq;cpu.steal;cpu.system;cpu.user;cpu.percent;cpu.freq.current;cpu.freq.min;cpu.freq.max;cpu.ctx_switches;cpu.interrupts;cpu.soft_interrupts;cpu.syscalls
1722504700195.7332;7;386.4;0.0;0.0;0.0;6.98;7.25;1722504687.08;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;155648;13297005;14787;24576;11163;191;0;4;1519988736;0;0;504515584;509595648;149807104;0;8192;503996416;7610531840;1513619456;0;0;504573952;149807104;8192;7610531840;0.37370919826033355;opencraft.x86_64;0;2572;2237;44;120;216315;1;running;None;5378;5378;5378;zmr280;6476907182;276677032456;54174185;278806223;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12757983290;57100114458;6169918;9515215;0;0;0;0;0;0;0;0;0;0;0;0;10581945;10581945;58068;58068;0;0;0;0;210733;5057231872;1971770;240544187392;464;4972544;11;1057792;206968;5023638528;233264;14644764672;2749;13395968;1738483;225898135552;209;8863744;0;0;0.0;0.0;31462129.59;630.42;14952.18;2240.73;5173.57;0.0;157033.78;1605369.91;8.5;2.7508749999999984;1500.0;2800.0;18152958646;7022083616;1587164349;0
1722504701268.3857;7;291.1;0.0;0.0;0.0;7.52;9.81;1722504687.08;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;155648;14995867;19451;24576;11163;191;0;4;1514704896;0;0;509991936;505729024;149807104;0;8192;509472768;7610531840;1519992832;0;0;510504960;149807104;8192;7610531840;0.37810195820319253;opencraft.x86_64;0;2670;3549;44;120;216315;1;running;None;5378;5378;5378;zmr280;6476909542;276677042387;54174195;278806265;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12757983290;57100114458;6169918;9515215;0;0;0;0;0;0;0;0;0;0;0;0;10581945;10581945;58068;58068;0;0;0;0;210733;5057231872;1971770;240544187392;464;4972544;11;1057792;206968;5023638528;233264;14644764672;2749;13395968;1738483;225898135552;209;8863744;0;0;0.0;0.0;31462177.27;630.42;14952.26;2240.75;5173.59;0.0;157034.36;1605372.58;6.6;2.7581666666666655;1500.0;2800.0;18153037453;7022126828;1587172872;0
1722504702331.8286;7;299.7;0.0;0.0;0.0;7.96;12.57;1722504687.08;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;155648;16627707;23931;24576;11163;191;0;4;1514700800;0;0;505105408;505700352;149807104;0;8192;504586240;7610531840;1514704896;0;0;505700352;149807104;8192;7610531840;0.37454345860859756;opencraft.x86_64;0;2767;4879;44;120;216315;1;running;None;5378;5378;5378;zmr280;6476914262;276677079109;54174215;278806391;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12757983290;57100114458;6169918;9515215;0;0;0;0;0;0;0;0;0;0;0;0;10581945;10581945;58068;58068;0;0;0;0;210733;5057231872;1971770;240544187392;464;4972544;11;1057792;206968;5023638528;233264;14644764672;2749;13395968;1738483;225898135552;209;8863744;0;0;0.0;0.0;31462225.0;630.42;14952.33;2240.77;5173.61;0.0;157034.97;1605375.6;7.3;2.7832708333333316;1500.0;2800.0;18153121329;7022173716;1587181356;0
1722504703400.992;7;325.2;0.0;0.0;0.0;8.63;15.38;1722504687.08;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;155648;18239149;28355;24576;11163;191;0;4;1519992832;0;0;510143488;510644224;149807104;0;8192;509624320;7610531840;1513619456;0;0;504532992;149807104;8192;7610531840;0.3736788615203967;opencraft.x86_64;0;2862;7064;44;120;216315;1;running;None;5378;5378;5378;zmr280;6476916622;276677090959;54174225;278806441;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12757983290;57100114458;6169918;9515215;0;0;0;0;0;0;0;0;0;0;0;0;10581945;10581945;58068;58068;0;0;0;0;210733;5057231872;1971770;240544187392;464;4972544;11;1057792;206968;5023638528;233264;14644764672;2749;13395968;1738483;225898135552;209;8863744;0;0;0.0;0.0;31462272.58;630.42;14952.41;2240.8;5173.63;0.0;157035.7;1605378.48;7.3;2.775020833333332;1500.0;2800.0;18153221884;7022230150;1587190083;0
1722504704469.9326;7;327.1;0.0;0.0;0.0;9.36;18.14;1722504687.08;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;155648;19792311;32619;24576;11163;191;0;4;1522077696;0;0;511630336;512241664;149807104;0;8192;511111168;7610531840;1516785664;0;0;507420672;149807104;8192;7610531840;0.37581760168594613;opencraft.x86_64;0;2954;9817;44;120;216315;1;running;None;5378;5378;5378;zmr280;6476918982;276677108573;54174235;278806505;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12757983290;57100114458;6169918;9515215;0;0;0;0;0;0;0;0;0;0;0;0;10581945;10581945;58068;58068;0;0;0;0;210733;5057231872;1971772;240544248832;464;4972544;11;1057792;206968;5023638528;233266;14644826112;2749;13395968;1738483;225898135552;209;8863744;0;0;0.0;0.0;31462319.98;630.42;14952.49;2240.82;5173.65;0.0;157036.45;1605381.26;7.2;2.7764374999999983;1500.0;2800.0;18153321123;7022285274;1587200189;0
1722504705536.8093;7;329.3;0.0;0.0;0.0;10.04;20.96;1722504687.08;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;155648;21311962;36791;24576;11163;191;0;4;1522069504;0;0;512498688;513093632;149807104;0;8192;511979520;7610531840;1522073600;0;0;513097728;149807104;8192;7610531840;0.38002227384119647;opencraft.x86_64;0;3054;12289;44;120;216315;1;running;None;5378;5378;5378;zmr280;6476921342;276677122803;54174245;278806565;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12757991426;57100115044;6169924;9515218;0;0;0;0;0;0;0;0;0;0;0;0;10581945;10581945;58068;58068;0;0;0;0;210733;5057231872;1971772;240544248832;464;4972544;11;1057792;206968;5023638528;233266;14644826112;2749;13395968;1738483;225898135552;209;8863744;0;0;0.0;0.0;31462367.22;630.42;14952.57;2240.85;5173.68;0.0;157037.15;1605384.19;7.4;2.747166666666665;1500.0;2800.0;18153418972;7022339778;1587209450;0
1722504706599.812;7;328.9;0.0;0.0;0.0;10.81;23.69;1722504687.08;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;155648;22831613;40963;24576;11163;191;0;4;1522073600;0;0;512502784;513093632;149807104;0;8192;511983616;7610531840;1522073600;0;0;513093632;149807104;8192;7610531840;0.3800192401672028;opencraft.x86_64;0;3147;14958;44;120;216315;1;running;None;5378;5378;5378;zmr280;6476923702;276677145763;54174255;278806642;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12757991426;57100115044;6169924;9515218;0;0;0;0;0;0;0;0;0;0;0;0;10581945;10581945;58068;58068;0;0;0;0;210733;5057231872;1971772;240544248832;464;4972544;11;1057792;206968;5023638528;233266;14644826112;2749;13395968;1738483;225898135552;209;8863744;0;0;0.0;0.0;31462414.52;630.42;14952.65;2240.87;5173.7;0.0;157037.88;1605386.81;6.9;2.6694166666666654;1500.0;2800.0;18153517086;7022393707;1587217605;0
1722504707663.9414;8;286.2;0.0;0.0;0.0;11.28;26.27;1722504687.08;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;278528;23943304;44015;28672;11189;192;0;4;1522081792;0;0;512629760;513224704;149925888;0;8192;512110592;7610531840;1522073600;0;0;513224704;149925888;8192;7610531840;0.38011631773500076;opencraft.x86_64;0;3242;16392;44;120;216315;1;running;None;5378;5378;5378;zmr280;6476926062;276677169643;54174265;278806723;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12757994756;57100239384;6169931;9515234;0;0;0;0;0;0;0;0;0;0;0;0;10581945;10581945;58068;58068;0;0;0;0;210733;5057231872;1971772;240544248832;464;4972544;11;1057792;206968;5023638528;233266;14644826112;2749;13395968;1738483;225898135552;209;8863744;0;0;0.0;0.0;31462462.42;630.42;14952.72;2240.89;5173.72;0.0;157038.44;1605389.56;6.6;2.7372916666666653;1500.0;2800.0;18153589135;7022433947;1587224413;0
1722504708730.801;8;281.8;0.0;0.0;0.0;11.81;28.74;1722504687.08;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;278528;24826246;46439;28672;11189;192;0;4;1516789760;0;0;506158080;506761216;149925888;0;8192;505638912;7610531840;1515720704;0;0;506753024;149925888;8192;7610531840;0.3753231128249751;opencraft.x86_64;0;3337;18045;44;120;216315;1;running;None;5378;5378;5378;zmr280;6476928422;276677195311;54174275;278806811;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12757994822;57100239384;6169932;9515234;0;0;0;0;0;0;0;0;0;0;0;0;10581945;10581945;58068;58068;0;0;0;0;210733;5057231872;1971772;240544248832;464;4972544;11;1057792;206968;5023638528;233266;14644826112;2749;13395968;1738483;225898135552;209;8863744;0;0;0.0;0.0;31462510.25;630.42;14952.79;2240.91;5173.74;0.0;157039.01;1605392.02;6.2;2.685166666666665;1500.0;2800.0;18153658755;7022471470;1587232336;0
1722504709793.871;31;270.7;0.0;0.0;0.0;12.41;31.03;1722504687.08;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;278528;25350766;47879;28672;11189;192;0;4;1522077696;0;0;506330112;510091264;149925888;0;8192;505810944;7610531840;1516793856;0;0;506920960;149925888;8192;7610531840;0.3754474934587163;opencraft.x86_64;0;3430;19599;44;120;216315;1;running;None;5378;5378;5378;zmr280;6476930782;276677215459;54174285;278806886;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12758002188;57100239788;6169935;9515236;0;0;0;0;0;0;0;0;0;0;0;0;10581945;10581945;58068;58068;0;0;0;0;210733;5057231872;1971785;240544302080;464;4972544;11;1057792;206968;5023638528;233279;14644879360;2749;13395968;1738483;225898135552;209;8863744;0;0;0.0;0.0;31462558.37;630.42;14952.85;2240.92;5173.76;0.0;157039.66;1605394.45;6.2;2.7581666666666655;1500.0;2800.0;18153723461;7022507155;1587238656;0
