timestamp;proc.cpu_num;proc.cpu_percent;proc.cpu_times.children_system;proc.cpu_times.children_user;proc.cpu_times.iowait;proc.cpu_times.system;proc.cpu_times.user;proc.create_time;proc.cwd;proc.exe;proc.gids.effective;proc.gids.real;proc.gids.saved;proc.io_counters.read_bytes;proc.io_counters.read_chars;proc.io_counters.read_count;proc.io_counters.write_bytes;proc.io_counters.write_chars;proc.io_counters.write_count;proc.ionice.ioclass;proc.ionice.value;proc.memory_full_info.data;proc.memory_full_info.dirty;proc.memory_full_info.lib;proc.memory_full_info.pss;proc.memory_full_info.rss;proc.memory_full_info.shared;proc.memory_full_info.swap;proc.memory_full_info.text;proc.memory_full_info.uss;proc.memory_full_info.vms;proc.memory_info.data;proc.memory_info.dirty;proc.memory_info.lib;proc.memory_info.rss;proc.memory_info.shared;proc.memory_info.text;proc.memory_info.vms;proc.memory_percent;proc.name;proc.nice;proc.num_ctx_switches.involuntary;proc.num_ctx_switches.voluntary;proc.num_fds;proc.num_threads;proc.pid;proc.ppid;proc.status;proc.terminal;proc.uids.effective;proc.uids.real;proc.uids.saved;proc.username;net.bytes_sent.eth0;net.bytes_recv.eth0;net.packets_sent.eth0;net.packets_recv.eth0;net.errin.eth0;net.errout.eth0;net.dropin.eth0;net.dropout.eth0;net.bytes_sent.eth1;net.bytes_recv.eth1;net.packets_sent.eth1;net.packets_recv.eth1;net.errin.eth1;net.errout.eth1;net.dropin.eth1;net.dropout.eth1;net.bytes_sent.eth2;net.bytes_recv.eth2;net.packets_sent.eth2;net.packets_recv.eth2;net.errin.eth2;net.errout.eth2;net.dropin.eth2;net.dropout.eth2;net.bytes_sent.eth3;net.bytes_recv.eth3;net.packets_sent.eth3;net.packets_recv.eth3;net.errin.eth3;net.errout.eth3;net.dropin.eth3;net.dropout.eth3;net.bytes_sent.eth4;net.bytes_recv.eth4;net.packets_sent.eth4;net.packets_recv.eth4;net.errin.eth4;net.errout.eth4;net.dropin.eth4;net.dropout.eth4;net.bytes_sent.ib0;net.bytes_recv.ib0;net.packets_sent.ib0;net.packets_recv.ib0;net.errin.ib0;net.errout.ib0;net.dropin.ib0;net.dropout.ib0;net.bytes_sent.lo;net.bytes_recv.lo;net.packets_sent.lo;net.packets_recv.lo;net.errin.lo;net.errout.lo;net.dropin.lo;net.dropout.lo;disk.read_count.nvme0n1;disk.read_bytes.nvme0n1;disk.write_count.nvme0n1;disk.write_bytes.nvme0n1;disk.read_count.nvme0n1p1;disk.read_bytes.nvme0n1p1;disk.write_count.nvme0n1p1;disk.write_bytes.nvme0n1p1;disk.read_count.nvme0n1p2;disk.read_bytes.nvme0n1p2;disk.write_count.nvme0n1p2;disk.write_bytes.nvme0n1p2;disk.read_count.nvme0n1p3;disk.read_bytes.nvme0n1p3;disk.write_count.nvme0n1p3;disk.write_bytes.nvme0n1p3;disk.read_count.nvme0n1p4;disk.read_bytes.nvme0n1p4;disk.write_count.nvme0n1p4;disk.write_bytes.nvme0n1p4;cpu.guest;cpu.guest_nice;cpu.idle;cpu.iowait;cpu.irq;cpu.nice;cpu.softirq;cpu.steal;cpu.system;cpu.user;cpu.percent;cpu.freq.current;cpu.freq.min;cpu.freq.max;cpu.ctx_switches;cpu.interrupts;cpu.soft_interrupts;cpu.syscalls
1722504342876.3125;27;284.7;0.0;0.0;0.17;6.81;5.43;1722504329.79;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;189153280;11077994;8695;28672;11141;191;0;0;1513578496;0;0;500168704;500305920;147791872;0;8192;499642368;7541268480;1513574400;0;0;500305920;147791872;8192;7541268480;0.37054810995891163;opencraft.x86_64;0;2692;3038;44;120;215782;1;running;None;5378;5378;5378;zmr280;6409962894;276661306700;54057572;278716594;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12747945156;57007338528;6155647;9493612;0;0;0;0;0;0;0;0;0;0;0;0;10581945;10581945;58068;58068;0;0;0;0;210671;5055847424;1971668;240543396864;456;4968448;11;1057792;206914;5022258176;233162;14643974144;2749;13395968;1738483;225898135552;209;8863744;0;0;0.0;0.0;31446386.95;630.34;14929.03;2238.56;5164.46;0.0;156887.9;1604206.7;6.8;2.767916666666665;1500.0;2800.0;18131972209;7009166343;1584380114;0
1722504343940.786;3;354.2;0.0;0.0;0.17;7.45;8.56;1722504329.79;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;189153280;14439293;17923;28672;11141;191;0;0;1517793280;0;0;504326144;504422400;147791872;0;8192;503799808;7541268480;1517797376;0;0;504430592;147791872;8192;7541268480;0.37360301967055454;opencraft.x86_64;0;2787;6129;44;120;215782;1;running;None;5378;5378;5378;zmr280;6409967142;276661312692;54057590;278716609;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12747945222;57007338528;6155648;9493612;0;0;0;0;0;0;0;0;0;0;0;0;10581945;10581945;58068;58068;0;0;0;0;210671;5055847424;1971668;240543396864;456;4968448;11;1057792;206914;5022258176;233162;14643974144;2749;13395968;1738483;225898135552;209;8863744;0;0;0.0;0.0;31446433.95;630.34;14929.11;2238.59;5164.48;0.0;156888.54;1604209.71;7.4;2.779083333333332;1500.0;2800.0;18132092069;7009224337;1584390136;0
1722504345003.8286;3;329.2;0.0;0.0;0.17;8.09;11.42;1722504329.79;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;189153280;16827316;24479;28672;11141;191;0;0;1517789184;0;0;504420352;504512512;147791872;0;8192;503894016;7541268480;1517785088;0;0;504512512;147791872;8192;7541268480;0.3736636931504283;opencraft.x86_64;0;2879;9487;44;120;215782;1;running;None;5378;5378;5378;zmr280;6409969502;276661319739;54057600;278716628;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12747945786;57007339074;6155652;9493615;0;0;0;0;0;0;0;0;0;0;0;0;10581945;10581945;58068;58068;0;0;0;0;210671;5055847424;1971668;240543396864;456;4968448;11;1057792;206914;5022258176;233162;14643974144;2749;13395968;1738483;225898135552;209;8863744;0;0;0.0;0.0;31446481.23;630.34;14929.19;2238.63;5164.5;0.0;156889.2;1604212.53;7.1;2.728645833333332;1500.0;2800.0;18132201960;7009278835;1584400518;0
1722504346067.8643;3;300.7;0.0;0.0;0.17;8.76;13.95;1722504329.79;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;189153280;18502866;29079;28672;11141;191;0;0;1517793280;0;0;504424448;504512512;147791872;0;8192;503898112;7541268480;1517785088;0;0;504512512;147791872;8192;7541268480;0.3736636931504283;opencraft.x86_64;0;2973;13296;44;120;215782;1;running;None;5378;5378;5378;zmr280;6409971862;276661326345;54057610;278716646;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12747947578;57007340894;6155664;9493625;0;0;0;0;0;0;0;0;0;0;0;0;10581945;10581945;58068;58068;0;0;0;0;210671;5055847424;1971668;240543396864;456;4968448;11;1057792;206914;5022258176;233162;14643974144;2749;13395968;1738483;225898135552;209;8863744;0;0;0.0;0.0;31446528.86;630.34;14929.26;2238.65;5164.52;0.0;156889.85;1604215.03;6.4;2.772395833333332;1500.0;2800.0;18132298366;7009330847;1584408395;0
1722504347132.8674;3;303.3;0.0;0.0;0.17;9.45;16.49;1722504329.79;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;189153280;20114308;33503;28672;11141;191;0;0;1517793280;0;0;504424448;504512512;147791872;0;8192;503898112;7541268480;1517793280;0;0;504512512;147791872;8192;7541268480;0.3736636931504283;opencraft.x86_64;0;3069;17295;44;120;215782;1;running;None;5378;5378;5378;zmr280;6409974222;276661337181;54057620;278716672;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12747954656;57007341298;6155669;9493627;0;0;0;0;0;0;0;0;0;0;0;0;10581945;10581945;58068;58068;0;0;0;0;210671;5055847424;1971670;240543454208;456;4968448;11;1057792;206914;5022258176;233164;14644031488;2749;13395968;1738483;225898135552;209;8863744;0;0;0.0;0.0;31446576.47;630.34;14929.33;2238.67;5164.55;0.0;156890.5;1604217.51;6.4;2.791895833333332;1500.0;2800.0;18132394705;7009382356;1584416046;0
1722504348198.0735;3;312.6;0.0;0.0;0.17;10.05;19.22;1722504329.79;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;189153280;21679126;37799;28672;11141;191;0;0;1519890432;0;0;506537984;506621952;147791872;0;8192;506011648;7541268480;1519890432;0;0;506626048;147791872;8192;7541268480;0.3752290689311708;opencraft.x86_64;0;3162;20658;44;120;215782;1;running;None;5378;5378;5378;zmr280;6409976582;276661352856;54057630;278716713;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12747954888;57007341480;6155671;9493628;0;0;0;0;0;0;0;0;0;0;0;0;10581945;10581945;58068;58068;0;0;0;0;210671;5055847424;1971670;240543454208;456;4968448;11;1057792;206914;5022258176;233164;14644031488;2749;13395968;1738483;225898135552;209;8863744;0;0;0.0;0.0;31446623.99;630.34;14929.41;2238.7;5164.57;0.0;156891.14;1604220.3;7.0;2.729604166666666;1500.0;2800.0;18132490097;7009433478;1584425289;0
1722504349263.0342;29;280.8;0.0;0.0;0.17;10.46;21.8;1722504329.79;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;189153280;22892807;41131;28672;11141;191;0;0;1519890432;0;0;506537984;506630144;147791872;0;8192;506011648;7541268480;1519890432;0;0;506630144;147791872;8192;7541268480;0.3752321026051645;opencraft.x86_64;0;3252;23035;44;120;215782;1;running;None;5378;5378;5378;zmr280;6409978942;276661359825;54057640;278716738;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12747955120;57007341662;6155673;9493629;0;0;0;0;0;0;0;0;0;0;0;0;10581945;10581945;58068;58068;0;0;0;0;210671;5055847424;1971670;240543454208;456;4968448;11;1057792;206914;5022258176;233164;14644031488;2749;13395968;1738483;225898135552;209;8863744;0;0;0.0;0.0;31446671.86;630.34;14929.48;2238.73;5164.6;0.0;156891.64;1604223.01;6.5;2.718791666666665;1500.0;2800.0;18132563566;7009473710;1584433148;0
1722504350327.8228;29;270.5;0.0;0.0;0.17;11.02;24.12;1722504329.79;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;189153280;23963702;44071;28672;11141;191;0;0;1519890432;0;0;506537984;506630144;147791872;0;8192;506011648;7541268480;1519890432;0;0;506630144;147791872;8192;7541268480;0.3752321026051645;opencraft.x86_64;0;3351;24994;44;120;215782;1;sleeping;None;5378;5378;5378;zmr280;6409981302;276661369286;54057650;278716768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12747955120;57007341662;6155673;9493629;0;0;0;0;0;0;0;0;0;0;0;0;10581945;10581945;58068;58068;0;0;0;0;210671;5055847424;1971670;240543454208;456;4968448;11;1057792;206914;5022258176;233164;14644031488;2749;13395968;1738483;225898135552;209;8863744;0;0;0.0;0.0;31446719.75;630.34;14929.54;2238.75;5164.61;0.0;156892.16;1604225.2;5.5;2.695395833333332;1500.0;2800.0;18132629428;7009509982;1584439305;0
1722504351390.81;3;269.1;0.0;0.0;0.17;11.5;26.5;1722504329.79;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;189153280;24989430;46887;28672;11141;191;0;0;1525669888;0;0;510224384;510251008;147791872;0;8192;509698048;7548686336;1525669888;0;0;510251008;147791872;8192;7548686336;0.3779138704155839;opencraft.x86_64;0;3441;26961;44;120;215782;1;running;None;5378;5378;5378;zmr280;6409983662;276661384872;54057660;278716814;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12747955684;57007342208;6155677;9493632;0;0;0;0;0;0;0;0;0;0;0;0;10581945;10581945;58068;58068;0;0;0;0;210671;5055847424;1971670;240543454208;456;4968448;11;1057792;206914;5022258176;233164;14644031488;2749;13395968;1738483;225898135552;209;8863744;0;0;0.0;0.0;31446767.69;630.34;14929.61;2238.76;5164.63;0.0;156892.64;1604227.51;5.7;2.7394166666666653;1500.0;2800.0;18132694247;7009545551;1584445281;0
1722504352454.9592;3;268.8;0.0;0.0;0.17;12.02;28.84;1722504329.79;/home/zmr280;/var/scratch/zmr280/opencraft/opencraft.x86_64;5378;5378;5378;189153280;25752898;48983;28672;11141;191;0;0;1517801472;0;0;503941120;504033280;147791872;0;8192;503414784;7548686336;1517809664;0;0;504033280;147791872;8192;7548686336;0.3733087532931669;opencraft.x86_64;0;3533;28966;44;120;215782;1;running;None;5378;5378;5378;zmr280;6409986258;276661392218;54057671;278716845;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12747963896;57007344432;6155691;9493644;0;0;0;0;0;0;0;0;0;0;0;0;10581945;10581945;58068;58068;0;0;0;0;210671;5055847424;1971682;240543503360;456;4968448;11;1057792;206914;5022258176;233176;14644080640;2749;13395968;1738483;225898135552;209;8863744;0;0;0.0;0.0;31446815.86;630.34;14929.68;2238.77;5164.65;0.0;156893.16;1604229.92;5.9;2.758145833333332;1500.0;2800.0;18132757465;7009579402;1584452643;0
