Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server),filename,original_row_count,terrain_type,players,duration,Chunks
5684766360.0,289590133852.0,1239191736868864.0,5631100018688.0,2790295632707584.0,48493094547.0,0.0,14135210792.0,0.0,4751626012.0,5153767.0,31770.0,4545031194.0,193505347.0,72370916.0,20151600.0,39043725.0,0.0,4786005.0,0.0,5037900.0,players-activeLogic_1-Layer_100p_300s.csv,50379,1-Layer,100,300,25
4855691213.0,296204982740.0,208986471567360.0,4664486301696.0,431577460527104.0,18071334686.0,0.0,1580055807.0,0.0,2423828160.0,3230621.0,22650.0,2308357045.0,106931036.0,73050765.0,31602800.0,61230425.0,0.0,7031623.0,0.0,790070.0,players-activeLogic_1-Layer_10p_300s.csv,79007,1-Layer,10,300,25
5480111687.0,296478570209.0,376913222766592.0,6342875025408.0,813995368615936.0,19301929309.0,0.0,2450972756.0,0.0,2216752671.0,3087254.0,16609.0,2091364871.0,117052327.0,70358761.0,31103200.0,60262450.0,0.0,6920462.0,0.0,1555160.0,players-activeLogic_1-Layer_20p_300s.csv,77758,1-Layer,20,300,25
5420966544.0,296084945904.0,514103460605952.0,5946185420800.0,1122196162793472.0,23133217168.0,0.0,3737849399.0,0.0,2664390919.0,3359659.0,19778.0,2527503985.0,127760212.0,72045036.0,28767600.0,55737225.0,0.0,6400791.0,0.0,2157570.0,players-activeLogic_1-Layer_30p_300s.csv,71919,1-Layer,30,300,25
6076304452.0,296742904501.0,679284174020608.0,5679391797248.0,1497806324330496.0,24167067625.0,0.0,4525468424.0,0.0,2382796804.0,3100816.0,18315.0,2256889808.0,117594535.0,59332475.0,29014400.0,56215400.0,0.0,6455704.0,0.0,2901440.0,players-activeLogic_1-Layer_40p_300s.csv,72536,1-Layer,40,300,25
6846531657.0,296295132673.0,860561859129344.0,8140178149376.0,1896654294421504.0,25080194062.0,0.0,5195519323.0,0.0,2158434267.0,2850864.0,16834.0,2046059113.0,104722383.0,60855810.0,29503600.0,57163225.0,0.0,6564551.0,0.0,3687950.0,players-activeLogic_1-Layer_50p_300s.csv,73759,1-Layer,50,300,25
6352360625.0,295914575667.0,942622567026688.0,6162424107008.0,2069679944486912.0,29332105844.0,0.0,6945725756.0,0.0,2403118170.0,3165219.0,22110.0,2284070448.0,110437133.0,63055225.0,26650000.0,51634375.0,0.0,5929625.0,0.0,3997500.0,players-activeLogic_1-Layer_60p_300s.csv,66625,1-Layer,60,300,25
7140556122.0,295441224204.0,1118653778604032.0,5780658597888.0,2467801635487744.0,31021670135.0,0.0,7549963525.0,0.0,2313232650.0,2910856.0,18931.0,2203494320.0,101796115.0,60996484.0,27300400.0,52894525.0,0.0,6074339.0,0.0,4777570.0,players-activeLogic_1-Layer_70p_300s.csv,68251,1-Layer,70,300,25
6575519896.0,294468587455.0,1223204104253440.0,6080952004608.0,2740891989110784.0,38038236477.0,0.0,9929506723.0,0.0,3015493046.0,3887148.0,20739.0,2870504528.0,135117704.0,66081534.0,24697600.0,47851600.0,0.0,5865680.0,0.0,4939520.0,players-activeLogic_1-Layer_80p_300s.csv,61744,1-Layer,80,300,25
6484370760.0,291057678518.0,1230575577755648.0,7614397394944.0,2705013553586176.0,40178959463.0,0.0,11166849379.0,0.0,3569833893.0,3914274.0,26475.0,3417464069.0,142072012.0,66990247.0,23058000.0,44674875.0,0.0,5130405.0,0.0,5188050.0,players-activeLogic_1-Layer_90p_300s.csv,57645,1-Layer,90,300,25
