Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
73652,36209577,44113645568,111263744,149449093120,12384235,0,4130316,294953,204383,114625,220,14407,7594,9448,0.0,0.0,0.0,267.0,0.0,100.0
73653,166358075,44118347776,111263744,149465870336,163690802,0,2868921,213099,0,0,0,0,0,15409,0.0,0.0,0.0,267.0,0.0,100.0
73654,24054191,44123025408,111263744,149482647552,16020364,0,5718114,307958,0,0,0,0,0,13165,0.0,0.0,0.0,267.0,0.0,100.0
73655,14151540,44127219712,111263744,149499424768,9851175,0,1394986,115737,0,0,0,0,0,4689,0.0,0.0,0.0,267.0,0.0,100.0
73656,15745219,44131938304,111263744,149516201984,10215969,0,1399295,121959,0,0,0,0,0,4708,0.0,0.0,0.0,267.0,0.0,100.0
73657,13428313,44136382464,111263744,149532979200,7672930,0,1422918,116368,0,0,0,0,0,4769,0.0,0.0,0.0,267.0,0.0,100.0
73658,13983605,44141047808,111263744,149549756416,9649647,0,1395057,92694,0,0,0,0,0,4538,0.0,0.0,0.0,267.0,0.0,100.0
73659,15408818,44145242112,111263744,149566533632,9815218,0,1415174,119996,0,0,0,0,0,5050,0.0,0.0,0.0,267.0,0.0,100.0
73660,13434404,44145242112,111263744,149566533632,6916962,0,1561609,109445,0,0,0,0,0,5971,0.0,0.0,0.0,267.0,0.0,100.0
73661,4694544,44145242112,111263744,149566533632,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73662,9897311,44149436416,111263744,149583310848,4834707,0,1396589,117650,0,0,0,0,0,4588,0.0,0.0,0.0,267.0,0.0,100.0
73663,6119606,44153630720,111263744,149600088064,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73664,6751502,44153888768,111259648,149600083968,4051458,0,1404214,119814,0,0,0,0,0,4419,0.0,0.0,0.0,267.0,0.0,100.0
73665,8795855,44158083072,111259648,149616861184,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73666,9974045,44162277376,111259648,149633638400,5855120,0,1419592,121047,0,0,0,0,0,4478,0.0,0.0,0.0,267.0,0.0,100.0
73667,5078875,44162277376,111259648,149633638400,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73668,4795684,44162277376,111259648,149633638400,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73669,7716061,44162277376,111259648,149633638400,3177048,0,1425743,117671,0,0,0,0,0,4699,0.0,0.0,0.0,267.0,0.0,100.0
73670,5584103,44162543616,111263744,149633642496,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73671,6464824,44162543616,111263744,149633642496,3309426,0,1413701,103494,0,0,0,0,0,4077,0.0,0.0,0.0,267.0,0.0,100.0
73672,5466482,44162543616,111263744,149633642496,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73673,5062915,44167274496,111263744,149650419712,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73674,7600584,44167274496,111263744,149650419712,3018451,0,1414202,99978,0,0,0,0,0,13184,0.0,0.0,0.0,267.0,0.0,100.0
73675,6886525,44167274496,111263744,149650419712,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73676,2640091,44167274496,111263744,149650419712,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73677,7595654,44167274496,111263744,149650419712,3013691,0,1409483,82064,0,0,0,0,0,4699,0.0,0.0,0.0,267.0,0.0,100.0
73678,5474187,44167528448,111263744,149650419712,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73679,2519064,44171984896,111259648,149667192832,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73680,7575557,44171984896,111259648,149667192832,3000808,0,1430834,100449,0,0,0,0,0,4288,0.0,0.0,0.0,267.0,0.0,100.0
73681,5357167,44176437248,111259648,149683970048,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73682,2702558,44176437248,111259648,149683970048,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73683,7816419,44176437248,111259648,149683970048,3068685,0,1413261,112732,0,0,0,0,0,4699,0.0,0.0,0.0,267.0,0.0,100.0
73684,6471737,44176437248,111259648,149683970048,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73685,2914857,44176437248,111259648,149683970048,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73686,10116122,44181434368,111259648,149700747264,5076000,0,1399294,109426,0,0,0,0,0,4659,0.0,0.0,0.0,267.0,0.0,100.0
73687,5910965,44181434368,111259648,149700747264,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73688,6556807,44181434368,111259648,149700747264,4244440,0,1411427,114064,0,0,0,0,0,4569,0.0,0.0,0.0,267.0,0.0,100.0
73689,6477658,44181434368,111259648,149700747264,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73690,5657681,44181946368,111259648,149700747264,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73691,5270885,44181946368,111259648,149700747264,3066080,0,1421396,113643,0,0,0,0,0,5410,0.0,0.0,0.0,267.0,0.0,100.0
73692,5853066,44181946368,111259648,149700747264,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73693,8784324,44187480064,111259648,149717524480,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73694,12668479,44187480064,111259648,149717524480,4066506,0,1408501,123011,0,0,0,0,0,5250,0.0,0.0,0.0,267.0,0.0,100.0
73695,10197604,44192448512,111259648,149734301696,3029942,0,1402320,109536,0,0,0,0,0,4659,0.0,0.0,0.0,267.0,0.0,100.0
73696,5705089,44192718848,111259648,149734301696,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73697,9170258,44192985088,111263744,149734305792,3152051,0,1420554,110488,0,0,0,0,0,5110,0.0,0.0,0.0,267.0,0.0,100.0
73698,8866428,44192985088,111263744,149734305792,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
