Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
66792,149770637,44822351872,107663360,151156768768,125885944,0,4097876,209253,0,0,0,0,0,11442,16.0,31.0,0.0,303.0,0.0,90.0
66793,20802593,44826808320,107663360,151173545984,13133612,0,5542314,272081,0,0,0,0,0,12362,16.0,31.0,0.0,303.0,0.0,90.0
66794,15089178,44831789056,107663360,151190323200,8526501,0,1354711,112511,0,0,0,0,0,4819,16.0,31.0,0.0,303.0,0.0,90.0
66795,15897213,44840960000,107663360,151223877632,8294836,0,1367765,106590,0,0,0,0,0,5571,16.0,31.0,0.0,303.0,0.0,90.0
66796,21410253,44846759936,107663360,151240654848,11137878,0,1345653,108443,0,0,0,0,0,5240,16.0,31.0,0.0,303.0,0.0,90.0
66797,12480286,44851220480,107663360,151257432064,3137064,0,1365360,110347,0,0,0,0,0,5079,16.0,31.0,0.0,303.0,0.0,90.0
66798,14188770,44851740672,107663360,151257432064,6101813,0,1363868,99667,0,0,0,0,0,4809,16.0,31.0,0.0,303.0,0.0,90.0
66799,16027978,44856414208,107663360,151274209280,8379314,0,1369949,66986,0,0,0,0,0,4599,16.0,31.0,0.0,303.0,0.0,90.0
66800,11839264,44860608512,107663360,151290986496,5951822,0,1360461,109285,0,0,0,0,0,5190,16.0,31.0,0.0,303.0,0.0,90.0
66801,5085577,44860858368,107663360,151290986496,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,303.0,0.0,90.0
66802,5821938,44860882944,107626496,151290949632,2907773,0,1369658,96972,0,0,0,0,0,4608,16.0,31.0,0.0,303.0,0.0,90.0
66803,6966375,44865077248,107626496,151307726848,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,303.0,0.0,90.0
66804,8832635,44865077248,107626496,151307726848,2877296,0,1356915,109876,0,0,0,0,0,4669,16.0,31.0,0.0,303.0,0.0,90.0
66805,6809451,44865077248,107626496,151307726848,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,303.0,0.0,90.0
66806,7219239,44869271552,107626496,151324504064,2959931,0,1365941,112241,0,0,0,0,0,4528,16.0,31.0,0.0,303.0,0.0,90.0
66807,6798490,44873465856,107626496,151341281280,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,303.0,0.0,90.0
66808,4115218,44873719808,107626496,151341281280,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,303.0,0.0,90.0
66809,5554888,44873719808,107626496,151341281280,2867528,0,1348899,118592,0,0,0,0,0,4869,16.0,31.0,0.0,303.0,0.0,90.0
66810,6788522,44873969664,107626496,151341281280,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,303.0,0.0,90.0
66811,5622464,44878163968,107626496,151358058496,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,303.0,0.0,90.0
66812,8119858,44878163968,107626496,151358058496,2985338,0,1370750,111188,0,0,0,0,0,4839,16.0,31.0,0.0,303.0,0.0,90.0
66813,6536599,44878417920,107626496,151358058496,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,303.0,0.0,90.0
66814,5732610,44878417920,107626496,151358058496,2993234,0,1379698,114936,0,0,0,0,0,5250,16.0,31.0,0.0,303.0,0.0,90.0
66815,6802578,44882612224,107626496,151374835712,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,303.0,0.0,90.0
66816,4198143,44882612224,107626496,151374835712,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,303.0,0.0,90.0
66817,5846033,44882608128,107622400,151374831616,3027658,0,1376491,106419,0,0,0,0,0,4748,16.0,31.0,0.0,303.0,0.0,90.0
66818,6808729,44887326720,107622400,151391608832,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,303.0,0.0,90.0
66819,4407335,44887867392,107622400,151391608832,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,303.0,0.0,90.0
66820,8231427,44888408064,107622400,151391608832,5415026,0,1390367,113343,0,0,0,0,0,4619,16.0,31.0,0.0,303.0,0.0,90.0
66821,6811915,44888666112,107622400,151391608832,0,0,0,0,0,0,0,0,0,0,16.0,31.0,0.0,303.0,0.0,90.0
66822,7856494,44893659136,107618304,151408381952,2974879,0,1390918,95659,0,0,0,0,0,4869,16.0,31.0,0.0,303.0,0.0,90.0
