Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
56184,38635629,16362582016,79831040,35662893056,20557539,0,465611,0,0,0,0,0,0,4663,400.0,775.0,0.0,89.0,0.0,70.0
56185,48924066,16333893632,45297664,35628359680,7133918,0,913376,0,0,0,0,0,0,7752,400.0,775.0,0.0,89.0,0.0,70.0
56186,28899093,16336130048,45297664,35645136896,20073800,0,1363920,0,0,0,0,0,0,8760,400.0,775.0,0.0,89.0,0.0,70.0
56187,21474398,16345706496,79835136,35679674368,4421439,0,1417431,0,0,0,0,0,0,9123,400.0,775.0,0.0,89.0,0.0,70.0
56188,11682115,16345706496,79835136,35679674368,7369083,0,669963,0,0,0,0,0,0,4981,400.0,775.0,0.0,89.0,0.0,70.0
56189,18303838,16345960448,79835136,35679674368,11370838,0,621266,0,0,0,0,0,0,4826,400.0,775.0,0.0,89.0,0.0,70.0
56190,11689466,16345964544,79835136,35679674368,4529706,0,576920,0,0,0,0,0,0,4522,400.0,775.0,0.0,89.0,0.0,70.0
56191,6351264,16345989120,79835136,35696451584,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56192,5286298,16345989120,79835136,35696451584,1922811,0,568410,0,0,0,0,0,0,4420,400.0,775.0,0.0,89.0,0.0,70.0
56193,7705002,16346071040,79835136,35696451584,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56194,3371796,16346312704,79831040,35696447488,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56195,7445761,16346312704,79831040,35696447488,1957699,0,492426,0,0,0,0,0,0,4195,400.0,775.0,0.0,89.0,0.0,70.0
56196,5232479,16336633856,45297664,35661914112,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56197,11439727,16346091520,79835136,35696451584,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56198,10600855,16355823616,79835136,35696451584,2213989,0,490472,0,0,0,0,0,0,4380,400.0,775.0,0.0,89.0,0.0,70.0
56199,13285865,16365703168,79835136,35713228800,1929501,0,480740,0,0,0,0,0,0,4529,400.0,775.0,0.0,89.0,0.0,70.0
56200,7897823,16365785088,79835136,35713228800,1769921,0,523399,0,0,0,0,0,0,4512,400.0,775.0,0.0,89.0,0.0,70.0
56201,7291184,16365961216,79835136,35713228800,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56202,6393014,16366137344,79831040,35713224704,2002099,0,514407,0,0,0,0,0,0,4627,400.0,775.0,0.0,89.0,0.0,70.0
56203,5674380,16366137344,79831040,35713224704,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56204,2684563,16366137344,79831040,35713224704,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56205,5010292,16366137344,79831040,35713224704,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56206,5813074,16366145536,79826944,35713220608,2053123,0,489924,0,0,0,0,0,0,4116,400.0,775.0,0.0,89.0,0.0,70.0
56207,7265414,16366145536,79826944,35713220608,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56208,5121882,16337518592,45289472,35695460352,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56209,7316437,16337522688,45289472,35695460352,2036094,0,503641,0,0,0,0,0,0,3935,400.0,775.0,0.0,89.0,0.0,70.0
56210,4073184,16337649664,45297664,35695468544,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56211,4982815,16337649664,45297664,35695468544,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56212,4814504,16337649664,45297664,35695468544,2026345,0,497443,0,0,0,0,0,0,4258,400.0,775.0,0.0,89.0,0.0,70.0
56213,6806116,16337649664,45297664,35695468544,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56214,3166562,16337649664,45297664,35695468544,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56215,7211123,16337649664,45297664,35695468544,1886831,0,509310,0,0,0,0,0,0,3949,400.0,775.0,0.0,89.0,0.0,70.0
56216,4105781,16337760256,45297664,35695468544,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56217,6397571,16337760256,45297664,35695468544,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56218,4675286,16337760256,45297664,35695468544,1900414,0,504829,0,0,0,0,0,0,3962,400.0,775.0,0.0,89.0,0.0,70.0
56219,7078077,16337760256,45297664,35695468544,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56220,2792919,16337772544,45297664,35712245760,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56221,12648054,16347238400,79835136,35746783232,1986333,0,487378,0,0,0,0,0,0,4380,400.0,775.0,0.0,89.0,0.0,70.0
56222,9313414,16356970496,79835136,35746783232,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56223,13149600,16366747648,79835136,35746783232,2327361,0,503975,0,0,0,0,0,0,4446,400.0,775.0,0.0,89.0,0.0,70.0
56224,6985485,16366747648,79839232,35746787328,1837544,0,494355,0,0,0,0,0,0,4849,400.0,775.0,0.0,89.0,0.0,70.0
56225,7223370,16366747648,79839232,35746787328,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56226,4781978,16366747648,79839232,35746787328,1844120,0,511477,0,0,0,0,0,0,4552,400.0,775.0,0.0,89.0,0.0,70.0
56227,5640298,16366931968,79839232,35746787328,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
