Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server),filename,original_row_count
7543533719.0,603978385925.0,71555178151936.0,8516600553472.0,63907080609792.0,58543058257.0,1215750.0,442805704.0,0.0,1934603747.0,3149574.0,10021447.0,1771533641.0,136608636.0,135448769.0,16512624.0,31993209.0,0.0,1104237.0,0.0,0.0,players_1-Layer_100p_300s.csv,122693
3343873181.0,296531902173.0,270620121108480.0,3814364626944.0,355025399103488.0,23939271187.0,0.0,1711320816.0,0.0,3448180488.0,3251383.0,118108.0,3264156667.0,174561432.0,71411298.0,26021600.0,50416850.0,0.0,5789806.0,0.0,650540.0,players_1-Layer_10p_300s.csv,65054
3104261217.0,296497060751.0,443652224114688.0,3702204211200.0,593452672786432.0,28982263988.0,0.0,2989187456.0,0.0,4162334366.0,3151838.0,119043.0,3950039461.0,201898641.0,74787838.0,22687200.0,43956450.0,0.0,5047902.0,0.0,1134360.0,players_1-Layer_20p_300s.csv,56718
3370927250.0,296485311384.0,592720908288000.0,4113063464960.0,873113251549184.0,31388016231.0,0.0,4202240553.0,0.0,3821628336.0,3327793.0,109955.0,3610786023.0,200684801.0,74080249.0,22379600.0,43360475.0,0.0,4979461.0,0.0,1678470.0,players_1-Layer_30p_300s.csv,55949
2849063559.0,296162736339.0,626174037139456.0,3182400679936.0,942653260443648.0,34821755801.0,0.0,5325061087.0,0.0,4896166312.0,4018411.0,142303.0,4646409389.0,236632595.0,76036613.0,18258400.0,35375650.0,0.0,4062494.0,0.0,1825840.0,players_1-Layer_40p_300s.csv,45646
3333297258.0,295566130348.0,659126824456192.0,3996892569600.0,1220489907642368.0,38745994541.0,0.0,6237078392.0,0.0,4472125041.0,3646822.0,139890.0,4246822267.0,212939441.0,76269722.0,18996800.0,36806300.0,0.0,4226788.0,0.0,2374600.0,players_1-Layer_50p_300s.csv,47492
2636083998.0,293389953587.0,589135506608128.0,3250244005888.0,1161731992449024.0,44150532800.0,0.0,7789652935.0,0.0,6870856427.0,5707927.0,196470.0,6546580878.0,306430290.0,76987241.0,14947600.0,28960975.0,0.0,3325841.0,0.0,2242140.0,players_1-Layer_60p_300s.csv,37369
2824257694.0,293430861810.0,626366199676928.0,3161916116992.0,1361801094877184.0,51918044578.0,0.0,8821694509.0,0.0,7309415438.0,5508700.0,201401.0,6927664471.0,363334133.0,77078073.0,15060800.0,29180300.0,0.0,3351028.0,0.0,2635640.0,players_1-Layer_70p_300s.csv,37652
2006181731.0,288529117978.0,493779322744832.0,2275282993152.0,1151473518747648.0,61979042622.0,0.0,10647442709.0,0.0,11497132986.0,8289603.0,322997.0,10984220430.0,484998902.0,79443038.0,11046800.0,21403175.0,0.0,2457913.0,0.0,2209360.0,players_1-Layer_80p_300s.csv,27617
1653004047.0,288928196199.0,436741198811136.0,2034138673152.0,1131733743579136.0,73093897799.0,0.0,11774753897.0,0.0,14490021945.0,10088486.0,375185.0,13859059562.0,597792238.0,79658926.0,9074400.0,17581650.0,0.0,2155170.0,0.0,2041740.0,players_1-Layer_90p_300s.csv,22686
