Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;CheckGateState;StatisticsSystem;NumGateBlocks;NumInputTypeBlocks;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;449122304;9342976;408473600;0;0;0;0;0;0;0;0;0;0;
2;21963804;461250560;9342976;408473600;5556783;0;0;0;0;0;0;0;0;184780;0;0;0;0;0;0;
3;4683170;463613952;9342976;408473600;897556;0;0;0;0;0;0;0;0;3909;0;0;0;0;0;0;
4;2437836;463613952;9342976;408473600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;8839937;501567488;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;1308372;501821440;9342976;442028032;546984;0;0;0;0;0;0;0;0;3750;0;0;0;0;0;0;
7;519446;501821440;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
8;508078;501821440;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
9;513743;501821440;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;490787;501821440;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11;507047;501821440;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
12;543216;501821440;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13;497964;501821440;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
14;488525;501821440;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
15;1111305;501821440;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16;917747;501821440;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;519176;502034432;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
18;488463;502034432;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
19;485477;502034432;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
20;528312;502034432;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
21;470101;502034432;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22;474257;502034432;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
23;488396;502034432;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
24;1429800;504131584;9342976;442028032;914473;0;0;0;0;0;0;0;0;4895;0;0;0;0;0;0;
25;513201;504131584;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
26;485662;504131584;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
27;481485;504131584;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
28;480901;504131584;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
29;486974;504393728;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
30;471870;504393728;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
31;480164;504393728;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
32;483893;504590336;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
33;468657;504590336;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
34;507769;504590336;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
