Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server),filename,original_row_count,terrain_type,players,duration,Chunks
6986501550.0,288743904961.0,908998204313600.0,7510426124288.0,2937433335087104.0,37403750940.0,0.0,13352884758.0,0.0,0.0,0.0,0.0,0.0,0.0,72406236.0,0.0,5024940.0,0.0,5646000.0,players_Empty_100p_300s.csv,56460,Empty,100,300,25
4754605487.0,295705825935.0,147986402672640.0,4029381103616.0,421322302361600.0,16037643439.0,0.0,1668210208.0,0.0,0.0,0.0,0.0,0.0,0.0,78263846.0,0.0,6872491.0,0.0,772190.0,players_Empty_10p_300s.csv,77219,Empty,10,300,25
5504097267.0,296726685820.0,257797553455104.0,5296630034432.0,803002285469696.0,17545987477.0,0.0,2678723195.0,0.0,0.0,0.0,0.0,0.0,0.0,75871127.0,0.0,6835289.0,0.0,1536020.0,players_Empty_20p_300s.csv,76801,Empty,20,300,25
6170448750.0,296465018980.0,375376929099776.0,5128237592576.0,1198304160935936.0,19124968096.0,0.0,3430439970.0,0.0,0.0,0.0,0.0,0.0,0.0,71086197.0,0.0,6841875.0,0.0,2306250.0,players_Empty_30p_300s.csv,76875,Empty,30,300,25
6235992105.0,296541327057.0,471356330340352.0,5868748394496.0,1507879558156288.0,22225143428.0,0.0,4824786021.0,0.0,0.0,0.0,0.0,0.0,0.0,69755345.0,0.0,6498335.0,0.0,2920600.0,players_Empty_40p_300s.csv,73015,Empty,40,300,25
7118439957.0,296536433292.0,594945292476416.0,5906324570112.0,1940721333190656.0,22915695431.0,0.0,5309183813.0,0.0,0.0,0.0,0.0,0.0,0.0,61655423.0,0.0,6721102.0,0.0,3775900.0,players_Empty_50p_300s.csv,75518,Empty,50,300,25
7121750821.0,296338861694.0,683967728619520.0,5732895559680.0,2215361735528448.0,25547173400.0,0.0,6583112538.0,0.0,0.0,0.0,0.0,0.0,0.0,64362634.0,0.0,6349438.0,0.0,4280520.0,players_Empty_60p_300s.csv,71342,Empty,60,300,25
7742082437.0,295843010499.0,797419984044032.0,6348943990784.0,2584069868777472.0,27503669411.0,0.0,7470804431.0,0.0,0.0,0.0,0.0,0.0,0.0,63774177.0,0.0,6359851.0,0.0,5002130.0,players_Empty_70p_300s.csv,71459,Empty,70,300,25
7552683164.0,293398043346.0,865459228766208.0,6350066692096.0,2802212782518272.0,30430741931.0,0.0,9018253491.0,0.0,0.0,0.0,0.0,0.0,0.0,65199425.0,0.0,5980088.0,0.0,5375360.0,players_Empty_80p_300s.csv,67192,Empty,80,300,25
7090523925.0,292944647197.0,876430474473472.0,5950925922304.0,2840341647437824.0,33957102752.0,0.0,11180262669.0,0.0,0.0,0.0,0.0,0.0,0.0,67496476.0,0.0,5392955.0,0.0,5453550.0,players_Empty_90p_300s.csv,60595,Empty,90,300,25
