Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
81851,5344273,42431778816,71589888,148855771136,3207275,0,1364839,91021,0,0,0,0,0,4539,0.0,267.0,0.0,100.0
81852,5166429,42431778816,71589888,148855771136,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81853,5684330,42445684736,123924480,148908105728,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81854,5236630,42445684736,123924480,148908105728,3091909,0,1400156,87474,0,0,0,0,0,5580,0.0,267.0,0.0,100.0
81855,5131623,42445946880,123924480,148908105728,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81856,4480372,42450141184,123924480,148924882944,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81857,2047710,42450141184,123924480,148924882944,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81858,7640559,42450141184,123924480,148924882944,3054358,0,1408552,124473,0,0,0,0,0,5019,0.0,267.0,0.0,100.0
81859,5065389,42454589440,123924480,148941660160,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81860,2069271,42454589440,123924480,148941660160,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81861,4502935,42454589440,123924480,148941660160,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81862,6499870,42454589440,123924480,148941660160,3109912,0,1472462,104566,0,0,0,0,0,4409,0.0,267.0,0.0,100.0
81863,5111646,42454589440,123924480,148941660160,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81864,5756726,42455056384,123924480,148941660160,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81865,7623246,42455322624,123924480,148941660160,2978015,0,1416236,100558,0,0,0,0,0,4939,0.0,267.0,0.0,100.0
81866,5321800,42459516928,123924480,148958437376,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81867,6971634,42463711232,123924480,148975214592,4413587,0,1407519,105208,0,0,0,0,0,4489,0.0,267.0,0.0,100.0
81868,5137865,42463711232,123924480,148975214592,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81869,6374254,42482819072,123924480,148991991808,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81870,8855106,42495401984,123924480,148991991808,3093321,0,1402410,65503,0,0,0,0,0,4739,0.0,267.0,0.0,100.0
81871,5169204,42495401984,123932672,148992000000,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81872,8963380,42499842048,123932672,149008777216,6164090,0,1399455,105518,0,0,0,0,0,4389,0.0,267.0,0.0,100.0
81873,8772582,42504036352,123932672,149025554432,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81874,7573904,42504036352,123932672,149025554432,3157081,0,1396208,133651,0,0,0,0,0,4579,0.0,267.0,0.0,100.0
81875,7415777,42508476416,123932672,149042331648,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81876,7360684,42512932864,123932672,149059108864,3106045,0,1475497,94538,0,0,0,0,0,4338,0.0,267.0,0.0,100.0
81877,8832955,42517127168,123932672,149075886080,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81878,4797577,42517319680,123928576,149075881984,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81879,8792099,42517319680,123928576,149075881984,3546010,0,1435332,121187,0,0,0,0,0,5921,0.0,267.0,0.0,100.0
81880,5793766,42517585920,123928576,149075881984,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81881,6378823,42521780224,123928576,149092659200,3765041,0,1396839,113092,0,0,0,0,0,4439,0.0,267.0,0.0,100.0
81882,8890874,42521780224,123928576,149092659200,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
