Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;CheckGateState;StatisticsSystem;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;475193344;9527296;397123584;0;0;0;0;0;0;0;0;0;0;
2;46625631;480100352;9527296;397123584;0;0;0;0;0;0;0;0;0;117430;0;0;0;0;
3;4136016;480886784;9527296;397123584;0;0;0;0;0;0;0;0;0;1833;0;0;0;0;
4;1802881;480886784;9527296;397123584;0;0;0;0;0;0;0;0;0;1233;0;0;0;0;
5;3162341;489799680;9527296;430678016;0;0;0;0;0;0;0;0;0;1152;0;0;0;0;
6;826861;490065920;9527296;430678016;0;0;0;0;0;0;0;0;0;1553;0;0;0;0;
7;687459;490336256;9527296;430678016;0;0;0;0;0;0;0;0;0;1132;0;0;0;0;
8;715763;490336256;9527296;430678016;0;0;0;0;0;0;0;0;0;1132;0;0;0;0;
9;521568;490336256;9527296;430678016;0;0;0;0;0;0;0;0;0;1182;0;0;0;0;
10;582803;490336256;9527296;430678016;0;0;0;0;0;0;0;0;0;1132;0;0;0;0;
11;504637;490336256;9527296;430678016;0;0;0;0;0;0;0;0;0;1132;0;0;0;0;
12;476704;490336256;9527296;430678016;0;0;0;0;0;0;0;0;0;1152;0;0;0;0;
13;484789;490336256;9527296;430678016;0;0;0;0;0;0;0;0;0;1153;0;0;0;0;
14;468238;490336256;9527296;430678016;0;0;0;0;0;0;0;0;0;1192;0;0;0;0;
15;477545;490336256;9527296;430678016;0;0;0;0;0;0;0;0;0;1152;0;0;0;0;
16;481673;490336256;9527296;430678016;0;0;0;0;0;0;0;0;0;1222;0;0;0;0;
17;468659;490336256;9527296;430678016;0;0;0;0;0;0;0;0;0;1142;0;0;0;0;
18;478277;490336256;9527296;430678016;0;0;0;0;0;0;0;0;0;1172;0;0;0;0;
19;753583;490659840;9527296;430678016;0;0;0;0;0;0;0;0;0;1162;0;0;0;0;
20;778991;490659840;9527296;430678016;0;0;0;0;0;0;0;0;0;1133;0;0;0;0;
21;918332;490659840;9527296;430678016;0;0;0;0;0;0;0;0;0;1202;0;0;0;0;
22;482695;490659840;9527296;430678016;0;0;0;0;0;0;0;0;0;1132;0;0;0;0;
23;470272;490659840;9527296;430678016;0;0;0;0;0;0;0;0;0;1172;0;0;0;0;
24;460303;490659840;9527296;430678016;0;0;0;0;0;0;0;0;0;1182;0;0;0;0;
25;482665;490659840;9527296;430678016;0;0;0;0;0;0;0;0;0;1112;0;0;0;0;
26;449453;490659840;9527296;430678016;0;0;0;0;0;0;0;0;0;1142;0;0;0;0;
27;459882;490659840;9527296;430678016;0;0;0;0;0;0;0;0;0;1162;0;0;0;0;
28;450345;490659840;9527296;430678016;0;0;0;0;0;0;0;0;0;1132;0;0;0;0;
29;480381;490659840;9527296;430678016;0;0;0;0;0;0;0;0;0;1102;0;0;0;0;
30;454022;490659840;9527296;430678016;0;0;0;0;0;0;0;0;0;1152;0;0;0;0;
31;459312;490659840;9527296;430678016;0;0;0;0;0;0;0;0;0;1142;0;0;0;0;
32;470362;490659840;9527296;430678016;0;0;0;0;0;0;0;0;0;1172;0;0;0;0;
33;506710;490659840;9527296;430678016;0;0;0;0;0;0;0;0;0;1172;0;0;0;0;
34;448762;490659840;9527296;430678016;0;0;0;0;0;0;0;0;0;1162;0;0;0;0;
35;465514;490659840;9527296;430678016;0;0;0;0;0;0;0;0;0;1152;0;0;0;0;
36;454022;491565056;9527296;430678016;0;0;0;0;0;0;0;0;0;1142;0;0;0;0;
37;514175;491565056;9527296;430678016;0;0;0;0;0;0;0;0;0;1142;0;0;0;0;
38;454923;491565056;9527296;430678016;0;0;0;0;0;0;0;0;0;1112;0;0;0;0;
39;471404;491896832;9527296;430678016;0;0;0;0;0;0;0;0;0;1152;0;0;0;0;
40;477826;496091136;9527296;447455232;0;0;0;0;0;0;0;0;0;1163;0;0;0;0;
