Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;CheckGateState;StatisticsSystem;NumGateBlocks;NumInputTypeBlocks;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;473227264;9510912;397107200;0;0;0;0;0;0;0;0;0;0;
2;70158655;478466048;9510912;397107200;51587246;0;0;0;0;0;0;0;0;212279;0;0;0;0;0;0;
3;5472112;479272960;9510912;397107200;1038377;0;0;0;0;0;0;0;0;2935;0;0;0;0;0;0;
4;1328442;479272960;9510912;397107200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;364133;479272960;9510912;397107200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;3007561;488177664;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;1286743;488714240;9510912;430661632;809107;0;0;0;0;0;0;0;0;5460;0;0;0;0;0;0;
8;375754;488714240;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
9;342322;488714240;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;339487;488714240;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11;352160;488714240;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
12;340469;488714240;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13;332384;488714240;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
14;345528;488714240;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
15;351539;488714240;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16;348443;488714240;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;344215;488714240;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
18;358973;488714240;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
19;354796;488714240;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
20;339467;488714240;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
21;344586;488714240;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22;351269;488714240;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
23;356499;488714240;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
24;1124258;488714240;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
25;866165;488714240;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
26;362560;488714240;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
27;362169;488714240;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
28;400140;488714240;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
29;354395;488714240;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
30;349636;488714240;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
31;354414;488714240;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
32;352150;488714240;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
33;345478;488714240;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
34;351689;488714240;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
35;363281;488714240;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
36;347873;488714240;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
37;341250;489160704;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
38;358963;489160704;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
39;347342;489160704;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
40;376366;489160704;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41;352741;489160704;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
42;356058;489160704;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
43;353864;489160704;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
44;372389;489160704;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
45;357210;489893888;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
46;1050840;489893888;9510912;430661632;653876;0;0;0;0;0;0;0;0;2224;0;0;0;0;0;0;
47;356128;489893888;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
48;363131;489893888;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
49;367820;489893888;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
50;348133;489893888;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
51;343334;489893888;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
52;384461;489893888;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
53;351900;489893888;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
54;336301;490500096;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
55;355387;490500096;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
56;345689;490500096;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
57;355998;490500096;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
58;344837;490500096;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
59;336381;490500096;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
60;364424;490500096;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
61;340979;490500096;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
62;355237;490500096;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
63;397225;490500096;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
64;372719;491085824;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
65;357290;491085824;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
66;340208;491085824;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
67;344035;491085824;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
68;358703;491085824;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
69;371687;491085824;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
70;367669;491085824;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
71;378970;491085824;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
72;362199;491085824;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
73;368021;491085824;9510912;430661632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
74;1894594;491085824;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
75;432642;491085824;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
76;382066;491085824;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
77;369043;491085824;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
78;363612;491085824;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
79;370104;491085824;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
80;374092;491085824;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
81;365666;491085824;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
82;367890;491085824;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
83;366698;491085824;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
84;926347;491085824;9572352;430723072;517711;0;0;0;0;0;0;0;0;2204;0;0;0;0;0;0;
85;380323;491085824;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
86;391194;491085824;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
87;352831;491085824;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
88;362429;491085824;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
89;368001;491401216;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
90;364724;491401216;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
91;366297;491401216;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
92;343705;491401216;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
93;354194;491401216;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
94;379212;491401216;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
95;3629256;491401216;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
96;356839;491401216;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
97;331382;491401216;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
98;337813;491401216;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
99;344376;491401216;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
100;327264;491401216;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
101;328897;491401216;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
102;342272;491401216;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
103;333976;491401216;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
104;327474;491401216;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
105;347392;491401216;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
106;333405;491401216;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
107;333917;491401216;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
108;344556;491401216;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
109;348304;491401216;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
110;352461;491401216;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
111;350137;491786240;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
112;337573;491786240;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
113;350237;491786240;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
114;340929;491786240;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
115;339496;491786240;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
116;349586;491786240;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
117;345698;491786240;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
118;338014;491786240;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
119;357270;491786240;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
120;8469814;492183552;9572352;430723072;8055457;1996594;1200030;806162;0;0;0;0;0;7384;0;0;0;27;0;0;
121;399710;492183552;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;
122;349134;492183552;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;
123;353353;492183552;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;
124;353624;492183552;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;
125;347683;492601344;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;
126;338836;492601344;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;
127;351039;492601344;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;
128;346099;492601344;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;
129;353032;492601344;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;
130;343314;492601344;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;
131;342543;492601344;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;
132;362950;492601344;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;
133;341741;492601344;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;
134;347752;492601344;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;
135;350197;492601344;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;
136;343013;492601344;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;
137;341600;492601344;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;
138;353222;492871680;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;
139;342542;492871680;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;
140;347562;492871680;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;
141;1832146;492871680;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;
142;2338606;492871680;9572352;430723072;1923407;0;8786;326552;0;0;0;0;0;2555;0;0;0;27;0;0;
143;374633;492871680;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;
144;334177;492871680;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;
145;342232;492871680;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;
146;334177;492871680;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;
147;330480;492871680;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;
148;365616;492871680;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;
149;333255;492871680;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;
150;341921;492871680;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;
151;336882;492871680;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;
152;332323;492871680;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;
153;336391;492871680;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;
154;330781;492871680;9572352;430723072;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;
