timestamp;proc.cpu_num;proc.cpu_percent;proc.cpu_times.children_system;proc.cpu_times.children_user;proc.cpu_times.iowait;proc.cpu_times.system;proc.cpu_times.user;proc.create_time;proc.cwd;proc.exe;proc.gids.effective;proc.gids.real;proc.gids.saved;proc.io_counters.read_bytes;proc.io_counters.read_chars;proc.io_counters.read_count;proc.io_counters.write_bytes;proc.io_counters.write_chars;proc.io_counters.write_count;proc.ionice.ioclass;proc.ionice.value;proc.memory_full_info.data;proc.memory_full_info.dirty;proc.memory_full_info.lib;proc.memory_full_info.pss;proc.memory_full_info.rss;proc.memory_full_info.shared;proc.memory_full_info.swap;proc.memory_full_info.text;proc.memory_full_info.uss;proc.memory_full_info.vms;proc.memory_info.data;proc.memory_info.dirty;proc.memory_info.lib;proc.memory_info.rss;proc.memory_info.shared;proc.memory_info.text;proc.memory_info.vms;proc.memory_percent;proc.name;proc.nice;proc.num_ctx_switches.involuntary;proc.num_ctx_switches.voluntary;proc.num_fds;proc.num_threads;proc.pid;proc.ppid;proc.status;proc.terminal;proc.uids.effective;proc.uids.real;proc.uids.saved;proc.username;net.bytes_sent.eth0;net.bytes_recv.eth0;net.packets_sent.eth0;net.packets_recv.eth0;net.errin.eth0;net.errout.eth0;net.dropin.eth0;net.dropout.eth0;net.bytes_sent.eth1;net.bytes_recv.eth1;net.packets_sent.eth1;net.packets_recv.eth1;net.errin.eth1;net.errout.eth1;net.dropin.eth1;net.dropout.eth1;net.bytes_sent.eth2;net.bytes_recv.eth2;net.packets_sent.eth2;net.packets_recv.eth2;net.errin.eth2;net.errout.eth2;net.dropin.eth2;net.dropout.eth2;net.bytes_sent.eth3;net.bytes_recv.eth3;net.packets_sent.eth3;net.packets_recv.eth3;net.errin.eth3;net.errout.eth3;net.dropin.eth3;net.dropout.eth3;net.bytes_sent.eth4;net.bytes_recv.eth4;net.packets_sent.eth4;net.packets_recv.eth4;net.errin.eth4;net.errout.eth4;net.dropin.eth4;net.dropout.eth4;net.bytes_sent.ib0;net.bytes_recv.ib0;net.packets_sent.ib0;net.packets_recv.ib0;net.errin.ib0;net.errout.ib0;net.dropin.ib0;net.dropout.ib0;net.bytes_sent.lo;net.bytes_recv.lo;net.packets_sent.lo;net.packets_recv.lo;net.errin.lo;net.errout.lo;net.dropin.lo;net.dropout.lo;disk.read_count.nvme0n1;disk.read_bytes.nvme0n1;disk.write_count.nvme0n1;disk.write_bytes.nvme0n1;disk.read_count.nvme0n1p1;disk.read_bytes.nvme0n1p1;disk.write_count.nvme0n1p1;disk.write_bytes.nvme0n1p1;disk.read_count.nvme0n1p2;disk.read_bytes.nvme0n1p2;disk.write_count.nvme0n1p2;disk.write_bytes.nvme0n1p2;disk.read_count.nvme0n1p3;disk.read_bytes.nvme0n1p3;disk.write_count.nvme0n1p3;disk.write_bytes.nvme0n1p3;disk.read_count.nvme0n1p4;disk.read_bytes.nvme0n1p4;disk.write_count.nvme0n1p4;disk.write_bytes.nvme0n1p4;cpu.guest;cpu.guest_nice;cpu.idle;cpu.iowait;cpu.irq;cpu.nice;cpu.softirq;cpu.steal;cpu.system;cpu.user;cpu.percent;cpu.freq.current;cpu.freq.min;cpu.freq.max;cpu.ctx_switches;cpu.interrupts;cpu.soft_interrupts;cpu.syscalls
1713790827799.2585;46;69.6;0.0;0.0;0.15;0.41;4.77;1713790820.78;/home/esu530;/var/scratch/esu530/mirror_kcp/mirror_kcp.x86_64;5258;5258;5258;157597696;8464927;303;16384;8743;154;0;0;1310523392;0;0;377650176;378212352;121974784;0;8192;377098240;6373408768;1310523392;0;0;378212352;121974784;8192;6373408768;0.2801203470571482;mirror_kcp.x86_64;0;23;1951;37;119;3364737;1;sleeping;None;5258;5258;5258;esu530;79376343740;37587521126;72826075;82004534;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127266591934;1706792934572;112046278;266315630;0;0;0;0;0;0;0;0;0;0;0;0;9361429520;9361429520;14818338;14818338;0;0;0;0;2696087;102286119936;1105586;24675525632;473;2230272;11;1057792;2222638;47958402048;1099914;23982473216;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;228887669.23;3472.02;3979.98;41831.46;8830.8;0.0;45719.39;297691.88;1.8;2.779083333333332;1500.0;2800.0;4103398254;1834477123;951419382;0
1713790828858.5098;46;82.1;0.0;0.0;0.15;0.46;5.59;1713790820.78;/home/esu530;/var/scratch/esu530/mirror_kcp/mirror_kcp.x86_64;5258;5258;5258;158855168;8479331;310;24576;8848;156;0;0;1317863424;0;0;384658432;385265664;123097088;0;8192;384106496;6380748800;1317863424;0;0;385265664;123097088;8192;6380748800;0.2853443335157987;mirror_kcp.x86_64;0;23;2036;37;119;3364737;1;sleeping;None;5258;5258;5258;esu530;79376713879;37587523584;72826638;82004542;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127266599968;1706794203998;112046309;266315779;0;0;0;0;0;0;0;0;0;0;0;0;9361429630;9361429630;14818340;14818340;0;0;0;0;2696087;102286119936;1105586;24675525632;473;2230272;11;1057792;2222638;47958402048;1099914;23982473216;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;228887719.11;3472.03;3980.01;41831.46;8830.81;0.0;45719.46;297692.76;1.9;2.779083333333332;1500.0;2800.0;4103412852;1834486028;951421213;0
1713790829917.6584;46;70.2;0.0;0.0;0.15;0.51;6.28;1713790820.78;/home/esu530;/var/scratch/esu530/mirror_kcp/mirror_kcp.x86_64;5258;5258;5258;158855168;8479331;310;24576;8848;156;0;0;1317863424;0;0;384785408;385265664;123097088;0;8192;384233472;6380748800;1317863424;0;0;385265664;123097088;8192;6380748800;0.2853443335157987;mirror_kcp.x86_64;0;24;2099;37;119;3364737;1;sleeping;None;5258;5258;5258;esu530;79376904498;37587552709;72826997;82004651;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127266600034;1706794203998;112046310;266315779;0;0;0;0;0;0;0;0;0;0;0;0;9361429740;9361429740;14818342;14818342;0;0;0;0;2696087;102286119936;1105586;24675525632;473;2230272;11;1057792;2222638;47958402048;1099914;23982473216;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;228887768.85;3472.03;3980.03;41831.46;8830.81;0.0;45719.53;297693.51;1.7;2.779083333333332;1500.0;2800.0;4103426026;1834494123;951422482;0
1713790830971.6272;46;74.6;0.0;0.0;0.15;0.57;7.01;1713790820.78;/home/esu530;/var/scratch/esu530/mirror_kcp/mirror_kcp.x86_64;5258;5258;5258;158855168;8479399;315;24576;8848;156;0;0;1318125568;0;0;386948096;387690496;123158528;0;8192;386396160;6381010944;1318125568;0;0;387690496;123158528;8192;6381010944;0.28714026846557866;mirror_kcp.x86_64;0;24;2171;37;119;3364737;1;sleeping;None;5258;5258;5258;esu530;79377465612;37587583426;72827918;82004767;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127266600034;1706794203998;112046310;266315779;0;0;0;0;0;0;0;0;0;0;0;0;9361429850;9361429850;14818344;14818344;0;0;0;0;2696087;102286119936;1105586;24675525632;473;2230272;11;1057792;2222638;47958402048;1099914;23982473216;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;228887818.81;3472.03;3980.06;41831.46;8830.82;0.0;45719.61;297694.26;1.7;2.779083333333332;1500.0;2800.0;4103439301;1834502287;951424217;0
1713790832030.6907;46;72.1;0.0;0.0;0.15;0.63;7.71;1713790820.78;/home/esu530;/var/scratch/esu530/mirror_kcp/mirror_kcp.x86_64;5258;5258;5258;158855168;8479399;315;24576;8848;156;0;0;1318125568;0;0;387058688;387690496;123158528;0;8192;386506752;6381010944;1318125568;0;0;387690496;123158528;8192;6381010944;0.28714026846557866;mirror_kcp.x86_64;0;26;2234;37;119;3364737;1;sleeping;None;5258;5258;5258;esu530;79377474656;37587599185;72828045;82004907;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127266607110;1706794204402;112046314;266315781;0;0;0;0;0;0;0;0;0;0;0;0;9361429960;9361429960;14818346;14818346;0;0;0;0;2696087;102286119936;1105594;24675595264;473;2230272;11;1057792;2222638;47958402048;1099922;23982542848;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;228887868.53;3472.03;3980.08;41831.46;8830.83;0.0;45719.69;297695.0;1.7;2.779083333333332;1500.0;2800.0;4103452634;1834510510;951425861;0
1713790833084.5107;22;133.8;0.0;0.0;0.15;0.72;9.04;1713790820.78;/home/esu530;/var/scratch/esu530/mirror_kcp/mirror_kcp.x86_64;5258;5258;5258;158855168;8479467;320;24576;8848;156;0;0;1320222720;0;0;391482368;391884800;123158528;0;8192;390930432;6381010944;1320222720;0;0;391884800;123158528;8192;6381010944;0.29024675054087373;mirror_kcp.x86_64;0;27;2298;37;119;3364737;1;sleeping;None;5258;5258;5258;esu530;79378048043;37587639901;72829080;82005132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127266608836;1706794206222;112046325;266315791;0;0;0;0;0;0;0;0;0;0;0;0;9361430070;9361430070;14818348;14818348;0;0;0;0;2696087;102286119936;1105594;24675595264;473;2230272;11;1057792;2222638;47958402048;1099922;23982542848;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;228887917.85;3472.03;3980.13;41831.46;8830.84;0.0;45719.82;297696.51;3.3;2.5292291666666658;1500.0;2800.0;4103473089;1834522882;951428451;0
1713790834145.6672;22;135.1;0.0;0.0;0.15;0.79;10.4;1713790820.78;/home/esu530;/var/scratch/esu530/mirror_kcp/mirror_kcp.x86_64;5258;5258;5258;158855168;8479535;325;24576;8848;156;0;0;1320222720;0;0;391650304;392142848;123158528;0;8192;391098368;6381010944;1320222720;0;0;392142848;123158528;8192;6381010944;0.29043787199667803;mirror_kcp.x86_64;0;28;2366;37;119;3364737;1;sleeping;None;5258;5258;5258;esu530;79378087103;37587682852;72829446;82005516;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127266608902;1706794206222;112046326;266315791;0;0;0;0;0;0;0;0;0;0;0;0;9361430180;9361430180;14818350;14818350;0;0;0;0;2696087;102286119936;1105594;24675595264;473;2230272;11;1057792;2222638;47958402048;1099922;23982542848;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;228887967.11;3472.03;3980.17;41831.46;8830.85;0.0;45719.92;297698.21;3.6;2.779083333333332;1500.0;2800.0;4103493768;1834535377;951431097;0
1713790835204.5183;22;124.7;0.0;0.0;0.15;0.86;11.65;1713790820.78;/home/esu530;/var/scratch/esu530/mirror_kcp/mirror_kcp.x86_64;5258;5258;5258;158855168;8479535;325;24576;8848;156;0;0;1320222720;0;0;391674880;392142848;123158528;0;8192;391122944;6381010944;1320222720;0;0;392142848;123158528;8192;6381010944;0.29043787199667803;mirror_kcp.x86_64;0;29;2433;37;119;3364737;1;sleeping;None;5258;5258;5258;esu530;79378686803;37587735974;72830697;82005938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127266609134;1706794206404;112046328;266315792;0;0;0;0;0;0;0;0;0;0;0;0;9361430290;9361430290;14818352;14818352;0;0;0;0;2696087;102286119936;1105594;24675595264;473;2230272;11;1057792;2222638;47958402048;1099922;23982542848;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;228888016.47;3472.03;3980.21;41831.46;8830.86;0.0;45720.02;297699.48;2.8;2.779083333333332;1500.0;2800.0;4103513014;1834546759;951433495;0
1713790836262.5322;22;140.7;0.0;0.0;0.15;0.92;13.08;1713790820.78;/home/esu530;/var/scratch/esu530/mirror_kcp/mirror_kcp.x86_64;5258;5258;5258;158855168;8479603;330;24576;8848;156;0;0;1320222720;0;0;392473600;392953856;123158528;0;8192;391921664;6381010944;1320222720;0;0;392953856;123158528;8192;6381010944;0.29103853942920577;mirror_kcp.x86_64;0;30;2511;37;119;3364737;1;sleeping;None;5258;5258;5258;esu530;79378736452;37587784887;72831182;82006444;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127266609134;1706794206404;112046328;266315792;0;0;0;0;0;0;0;0;0;0;0;0;9361430400;9361430400;14818354;14818354;0;0;0;0;2696087;102286119936;1105594;24675595264;473;2230272;11;1057792;2222638;47958402048;1099922;23982542848;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;228888065.64;3472.03;3980.26;41831.46;8830.88;0.0;45720.1;297701.1;3.5;2.779083333333332;1500.0;2800.0;4103534305;1834559729;951436265;0
1713790837321.5361;22;150.1;0.0;0.0;0.15;1.05;14.54;1713790820.78;/home/esu530;/var/scratch/esu530/mirror_kcp/mirror_kcp.x86_64;5258;5258;5258;158855168;8479603;330;24576;8848;156;0;0;1320222720;0;0;392473600;392953856;123158528;0;8192;391921664;6381010944;1320222720;0;0;392953856;123158528;8192;6381010944;0.29103853942920577;mirror_kcp.x86_64;0;31;2578;37;119;3364737;1;sleeping;None;5258;5258;5258;esu530;79379355311;37587859133;72832553;82007008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127266616738;1706794206808;112046332;266315794;0;0;0;0;0;0;0;0;0;0;0;0;9361430510;9361430510;14818356;14818356;0;0;0;0;2696087;102286119936;1105603;24675632128;473;2230272;11;1057792;2222638;47958402048;1099931;23982579712;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;228888114.8;3472.03;3980.29;41831.46;8830.89;0.0;45720.22;297702.04;2.2;2.7581666666666655;1500.0;2800.0;4103555984;1834572324;951438800;0
