timestamp;proc.cpu_num;proc.cpu_percent;proc.cpu_times.children_system;proc.cpu_times.children_user;proc.cpu_times.iowait;proc.cpu_times.system;proc.cpu_times.user;proc.create_time;proc.cwd;proc.exe;proc.gids.effective;proc.gids.real;proc.gids.saved;proc.io_counters.read_bytes;proc.io_counters.read_chars;proc.io_counters.read_count;proc.io_counters.write_bytes;proc.io_counters.write_chars;proc.io_counters.write_count;proc.ionice.ioclass;proc.ionice.value;proc.memory_full_info.data;proc.memory_full_info.dirty;proc.memory_full_info.lib;proc.memory_full_info.pss;proc.memory_full_info.rss;proc.memory_full_info.shared;proc.memory_full_info.swap;proc.memory_full_info.text;proc.memory_full_info.uss;proc.memory_full_info.vms;proc.memory_info.data;proc.memory_info.dirty;proc.memory_info.lib;proc.memory_info.rss;proc.memory_info.shared;proc.memory_info.text;proc.memory_info.vms;proc.memory_percent;proc.name;proc.nice;proc.num_ctx_switches.involuntary;proc.num_ctx_switches.voluntary;proc.num_fds;proc.num_threads;proc.pid;proc.ppid;proc.status;proc.terminal;proc.uids.effective;proc.uids.real;proc.uids.saved;proc.username;net.bytes_sent.eth0;net.bytes_recv.eth0;net.packets_sent.eth0;net.packets_recv.eth0;net.errin.eth0;net.errout.eth0;net.dropin.eth0;net.dropout.eth0;net.bytes_sent.eth1;net.bytes_recv.eth1;net.packets_sent.eth1;net.packets_recv.eth1;net.errin.eth1;net.errout.eth1;net.dropin.eth1;net.dropout.eth1;net.bytes_sent.eth2;net.bytes_recv.eth2;net.packets_sent.eth2;net.packets_recv.eth2;net.errin.eth2;net.errout.eth2;net.dropin.eth2;net.dropout.eth2;net.bytes_sent.eth3;net.bytes_recv.eth3;net.packets_sent.eth3;net.packets_recv.eth3;net.errin.eth3;net.errout.eth3;net.dropin.eth3;net.dropout.eth3;net.bytes_sent.eth4;net.bytes_recv.eth4;net.packets_sent.eth4;net.packets_recv.eth4;net.errin.eth4;net.errout.eth4;net.dropin.eth4;net.dropout.eth4;net.bytes_sent.ib0;net.bytes_recv.ib0;net.packets_sent.ib0;net.packets_recv.ib0;net.errin.ib0;net.errout.ib0;net.dropin.ib0;net.dropout.ib0;net.bytes_sent.lo;net.bytes_recv.lo;net.packets_sent.lo;net.packets_recv.lo;net.errin.lo;net.errout.lo;net.dropin.lo;net.dropout.lo;disk.read_count.nvme0n1;disk.read_bytes.nvme0n1;disk.write_count.nvme0n1;disk.write_bytes.nvme0n1;disk.read_count.nvme0n1p1;disk.read_bytes.nvme0n1p1;disk.write_count.nvme0n1p1;disk.write_bytes.nvme0n1p1;disk.read_count.nvme0n1p2;disk.read_bytes.nvme0n1p2;disk.write_count.nvme0n1p2;disk.write_bytes.nvme0n1p2;disk.read_count.nvme0n1p3;disk.read_bytes.nvme0n1p3;disk.write_count.nvme0n1p3;disk.write_bytes.nvme0n1p3;disk.read_count.nvme0n1p4;disk.read_bytes.nvme0n1p4;disk.write_count.nvme0n1p4;disk.write_bytes.nvme0n1p4;cpu.guest;cpu.guest_nice;cpu.idle;cpu.iowait;cpu.irq;cpu.nice;cpu.softirq;cpu.steal;cpu.system;cpu.user;cpu.percent;cpu.freq.current;cpu.freq.min;cpu.freq.max;cpu.ctx_switches;cpu.interrupts;cpu.soft_interrupts;cpu.syscalls
1715603035698.307;42;72.7;0.0;0.0;0.17;0.43;4.74;1715603028.71;/home/esu530;/var/scratch/esu530/mirror_kcp/mirror_kcp.x86_64;5258;5258;5258;158281728;8465181;303;16384;8744;154;0;0;1311330304;0;0;378138624;378707968;123191296;0;8192;377344000;6374285312;1311330304;0;0;378707968;123191296;8192;6374285312;0.28048742159924855;mirror_kcp.x86_64;0;19;1950;37;119;2967687;1;sleeping;None;5258;5258;5258;esu530;94708113774;53118239004;111171992;134837283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188768088392;1741323895778;121146860;271921470;0;0;0;0;0;0;0;0;0;0;0;0;25459085708;25459085708;16033658;16033658;0;0;0;0;2934832;107582024704;1430443;29052752896;541;2265088;11;1057792;2461315;53254272000;1424771;28359700480;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315661316.41;4103.47;5808.23;42578.28;11760.84;0.0;58553.2;487961.7;1.6;2.6117083333333317;1500.0;2800.0;5103486261;2599286254;1212451581;0
1715603036752.8193;42;81.3;0.0;0.0;0.18;0.49;5.54;1715603028.71;/home/esu530;/var/scratch/esu530/mirror_kcp/mirror_kcp.x86_64;5258;5258;5258;159535104;8479585;310;24576;8849;156;0;0;1319284736;0;0;383791104;384126976;124284928;0;8192;382996480;6382239744;1319284736;0;0;384126976;124284928;8192;6382239744;0.28450097217113857;mirror_kcp.x86_64;0;20;2031;37;119;2967687;1;sleeping;None;5258;5258;5258;esu530;94708113774;53118245719;111171992;134837296;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188768096380;1741325160844;121146892;271921617;0;0;0;0;0;0;0;0;0;0;0;0;25459085818;25459085818;16033660;16033660;0;0;0;0;2934832;107582024704;1430443;29052752896;541;2265088;11;1057792;2461315;53254272000;1424771;28359700480;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315661366.21;4103.48;5808.26;42578.28;11760.85;0.0;58553.27;487962.52;1.8;2.779083333333332;1500.0;2800.0;5103500784;2599295037;1212453395;0
1715603037809.6877;42;73.0;0.0;0.0;0.18;0.54;6.26;1715603028.71;/home/esu530;/var/scratch/esu530/mirror_kcp/mirror_kcp.x86_64;5258;5258;5258;159535104;8479585;310;24576;8849;156;0;0;1319284736;0;0;383987712;384454656;124346368;0;8192;383193088;6382239744;1319284736;0;0;384454656;124346368;8192;6382239744;0.28474366608327095;mirror_kcp.x86_64;0;21;2094;37;119;2967687;1;sleeping;None;5258;5258;5258;esu530;94708673039;53118265231;111172893;134837373;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188768096446;1741325160844;121146893;271921617;0;0;0;0;0;0;0;0;0;0;0;0;25459085928;25459085928;16033662;16033662;0;0;0;0;2934832;107582024704;1430443;29052752896;541;2265088;11;1057792;2461315;53254272000;1424771;28359700480;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315661415.98;4103.48;5808.28;42578.28;11760.85;0.0;58553.34;487963.21;1.5;2.758145833333332;1500.0;2800.0;5103514026;2599303129;1212454709;0
1715603038863.699;42;72.1;0.0;0.0;0.18;0.58;6.98;1715603028.71;/home/esu530;/var/scratch/esu530/mirror_kcp/mirror_kcp.x86_64;5258;5258;5258;159535104;8479585;310;24576;8849;156;0;0;1319284736;0;0;384069632;384454656;124346368;0;8192;383275008;6382239744;1319284736;0;0;384454656;124346368;8192;6382239744;0.28474366608327095;mirror_kcp.x86_64;0;23;2157;37;119;2967687;1;sleeping;None;5258;5258;5258;esu530;94708677578;53118274090;111172957;134837446;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188768096446;1741325160844;121146893;271921617;0;0;0;0;0;0;0;0;0;0;0;0;25459086038;25459086038;16033664;16033664;0;0;0;0;2934832;107582024704;1430443;29052752896;541;2265088;11;1057792;2461315;53254272000;1424771;28359700480;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315661465.74;4103.48;5808.3;42578.28;11760.86;0.0;58553.4;487963.98;1.7;2.779083333333332;1500.0;2800.0;5103527044;2599310586;1212456182;0
1715603039917.6753;42;72.1;0.0;0.0;0.18;0.65;7.67;1715603028.71;/home/esu530;/var/scratch/esu530/mirror_kcp/mirror_kcp.x86_64;5258;5258;5258;159535104;8479585;310;24576;8849;156;0;0;1319284736;0;0;384106496;384454656;124346368;0;8192;383311872;6382239744;1319284736;0;0;384454656;124346368;8192;6382239744;0.28474366608327095;mirror_kcp.x86_64;0;24;2224;37;119;2967687;1;sleeping;None;5258;5258;5258;esu530;94708682078;53118282876;111173020;134837518;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188768096446;1741325160844;121146893;271921617;0;0;0;0;0;0;0;0;0;0;0;0;25459086148;25459086148;16033666;16033666;0;0;0;0;2934832;107582024704;1430443;29052752896;541;2265088;11;1057792;2461315;53254272000;1424771;28359700480;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315661515.51;4103.48;5808.33;42578.28;11760.87;0.0;58553.48;487964.71;1.7;2.7581041666666652;1500.0;2800.0;5103539762;2599317876;1212457588;0
1715603040972.588;42;73.8;0.0;0.0;0.18;0.7;8.4;1715603028.71;/home/esu530;/var/scratch/esu530/mirror_kcp/mirror_kcp.x86_64;5258;5258;5258;159535104;8479653;315;24576;8849;156;0;0;1319284736;0;0;386586624;387092480;124346368;0;8192;385806336;6382239744;1319284736;0;0;387092480;124346368;8192;6382239744;0.286697352075937;mirror_kcp.x86_64;0;24;2287;37;119;2967687;1;sleeping;None;5258;5258;5258;esu530;94708686570;53118300476;111173083;134837607;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188768098172;1741325162664;121146904;271921627;0;0;0;0;0;0;0;0;0;0;0;0;25459086258;25459086258;16033668;16033668;0;0;0;0;2934847;107582221312;1430443;29052752896;541;2265088;11;1057792;2461330;53254468608;1424771;28359700480;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315661564.92;4103.48;5808.35;42578.28;11760.88;0.0;58553.9;487965.45;2.3;2.7581249999999984;1500.0;2800.0;5103552639;2599326018;1212459131;0
1715603042028.7444;42;74.9;0.0;0.0;0.18;0.74;9.15;1715603028.71;/home/esu530;/var/scratch/esu530/mirror_kcp/mirror_kcp.x86_64;5258;5258;5258;159535104;8479653;315;24576;8849;156;0;0;1319284736;0;0;386613248;387092480;124346368;0;8192;385818624;6382239744;1319284736;0;0;387092480;124346368;8192;6382239744;0.286697352075937;mirror_kcp.x86_64;0;26;2351;37;119;2967687;1;sleeping;None;5258;5258;5258;esu530;94709257846;53118339904;111174140;134837852;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188768098238;1741325162664;121146905;271921627;0;0;0;0;0;0;0;0;0;0;0;0;25459086368;25459086368;16033670;16033670;0;0;0;0;2934875;107583560704;1430443;29052752896;541;2265088;11;1057792;2461358;53255808000;1424771;28359700480;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315661613.91;4103.48;5808.38;42578.28;11760.89;0.0;58554.37;487966.57;3.2;2.779041666666665;1500.0;2800.0;5103566367;2599335319;1212461878;0
1715603043072.3245;42;73.8;0.0;0.0;0.18;0.81;9.85;1715603028.71;/home/esu530;/var/scratch/esu530/mirror_kcp/mirror_kcp.x86_64;5258;5258;5258;159535104;8479653;315;24576;8849;156;0;0;1319284736;0;0;386723840;387092480;124346368;0;8192;385929216;6382239744;1319284736;0;0;387092480;124346368;8192;6382239744;0.286697352075937;mirror_kcp.x86_64;0;28;2413;37;119;2967687;1;sleeping;None;5258;5258;5258;esu530;94709266796;53118349355;111174266;134837981;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188768098470;1741325162846;121146907;271921628;0;0;0;0;0;0;0;0;0;0;0;0;25459086478;25459086478;16033672;16033672;0;0;0;0;2934875;107583560704;1430443;29052752896;541;2265088;11;1057792;2461358;53255808000;1424771;28359700480;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315661663.13;4103.48;5808.4;42578.28;11760.9;0.0;58554.44;487967.15;1.4;2.779083333333332;1500.0;2800.0;5103579446;2599343206;1212463266;0
1715603044126.718;42;72.8;0.0;0.0;0.18;0.87;10.56;1715603028.71;/home/esu530;/var/scratch/esu530/mirror_kcp/mirror_kcp.x86_64;5258;5258;5258;159535104;8479653;315;24576;8849;156;0;0;1319284736;0;0;386727936;387092480;124346368;0;8192;385933312;6382239744;1319284736;0;0;387092480;124346368;8192;6382239744;0.286697352075937;mirror_kcp.x86_64;0;28;2476;37;119;2967687;1;sleeping;None;5258;5258;5258;esu530;94709275871;53118364658;111174393;134838119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188768098470;1741325162846;121146907;271921628;0;0;0;0;0;0;0;0;0;0;0;0;25459086588;25459086588;16033674;16033674;0;0;0;0;2934875;107583560704;1430443;29052752896;541;2265088;11;1057792;2461358;53255808000;1424771;28359700480;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315661713.05;4103.48;5808.42;42578.28;11760.91;0.0;58554.5;487967.81;1.5;2.779083333333332;1500.0;2800.0;5103592486;2599350623;1212464624;0
1715603045184.6975;42;74.0;0.0;0.0;0.18;0.91;11.3;1715603028.71;/home/esu530;/var/scratch/esu530/mirror_kcp/mirror_kcp.x86_64;5258;5258;5258;159535104;8479653;315;24576;8849;156;0;0;1319284736;0;0;386736128;387092480;124346368;0;8192;385941504;6382239744;1319284736;0;0;387092480;124346368;8192;6382239744;0.286697352075937;mirror_kcp.x86_64;0;28;2539;37;119;2967687;1;sleeping;None;5258;5258;5258;esu530;94709284931;53118384534;111174520;134838266;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188768098470;1741325162846;121146907;271921628;0;0;0;0;0;0;0;0;0;0;0;0;25459086698;25459086698;16033676;16033676;0;0;0;0;2934875;107583560704;1430443;29052752896;541;2265088;11;1057792;2461358;53255808000;1424771;28359700480;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315661762.81;4103.48;5808.45;42578.28;11760.92;0.0;58554.56;487968.51;1.6;2.779083333333332;1500.0;2800.0;5103605840;2599358271;1212466047;0
