timestamp;proc.cpu_num;proc.cpu_percent;proc.cpu_times.children_system;proc.cpu_times.children_user;proc.cpu_times.iowait;proc.cpu_times.system;proc.cpu_times.user;proc.create_time;proc.cwd;proc.exe;proc.gids.effective;proc.gids.real;proc.gids.saved;proc.io_counters.read_bytes;proc.io_counters.read_chars;proc.io_counters.read_count;proc.io_counters.write_bytes;proc.io_counters.write_chars;proc.io_counters.write_count;proc.ionice.ioclass;proc.ionice.value;proc.memory_full_info.data;proc.memory_full_info.dirty;proc.memory_full_info.lib;proc.memory_full_info.pss;proc.memory_full_info.rss;proc.memory_full_info.shared;proc.memory_full_info.swap;proc.memory_full_info.text;proc.memory_full_info.uss;proc.memory_full_info.vms;proc.memory_info.data;proc.memory_info.dirty;proc.memory_info.lib;proc.memory_info.rss;proc.memory_info.shared;proc.memory_info.text;proc.memory_info.vms;proc.memory_percent;proc.name;proc.nice;proc.num_ctx_switches.involuntary;proc.num_ctx_switches.voluntary;proc.num_fds;proc.num_threads;proc.pid;proc.ppid;proc.status;proc.terminal;proc.uids.effective;proc.uids.real;proc.uids.saved;proc.username;net.bytes_sent.eth0;net.bytes_recv.eth0;net.packets_sent.eth0;net.packets_recv.eth0;net.errin.eth0;net.errout.eth0;net.dropin.eth0;net.dropout.eth0;net.bytes_sent.eth1;net.bytes_recv.eth1;net.packets_sent.eth1;net.packets_recv.eth1;net.errin.eth1;net.errout.eth1;net.dropin.eth1;net.dropout.eth1;net.bytes_sent.eth2;net.bytes_recv.eth2;net.packets_sent.eth2;net.packets_recv.eth2;net.errin.eth2;net.errout.eth2;net.dropin.eth2;net.dropout.eth2;net.bytes_sent.eth3;net.bytes_recv.eth3;net.packets_sent.eth3;net.packets_recv.eth3;net.errin.eth3;net.errout.eth3;net.dropin.eth3;net.dropout.eth3;net.bytes_sent.eth4;net.bytes_recv.eth4;net.packets_sent.eth4;net.packets_recv.eth4;net.errin.eth4;net.errout.eth4;net.dropin.eth4;net.dropout.eth4;net.bytes_sent.ib0;net.bytes_recv.ib0;net.packets_sent.ib0;net.packets_recv.ib0;net.errin.ib0;net.errout.ib0;net.dropin.ib0;net.dropout.ib0;net.bytes_sent.lo;net.bytes_recv.lo;net.packets_sent.lo;net.packets_recv.lo;net.errin.lo;net.errout.lo;net.dropin.lo;net.dropout.lo;disk.read_count.nvme0n1;disk.read_bytes.nvme0n1;disk.write_count.nvme0n1;disk.write_bytes.nvme0n1;disk.read_count.nvme0n1p1;disk.read_bytes.nvme0n1p1;disk.write_count.nvme0n1p1;disk.write_bytes.nvme0n1p1;disk.read_count.nvme0n1p2;disk.read_bytes.nvme0n1p2;disk.write_count.nvme0n1p2;disk.write_bytes.nvme0n1p2;disk.read_count.nvme0n1p3;disk.read_bytes.nvme0n1p3;disk.write_count.nvme0n1p3;disk.write_bytes.nvme0n1p3;disk.read_count.nvme0n1p4;disk.read_bytes.nvme0n1p4;disk.write_count.nvme0n1p4;disk.write_bytes.nvme0n1p4;cpu.guest;cpu.guest_nice;cpu.idle;cpu.iowait;cpu.irq;cpu.nice;cpu.softirq;cpu.steal;cpu.system;cpu.user;cpu.percent;cpu.freq.current;cpu.freq.min;cpu.freq.max;cpu.ctx_switches;cpu.interrupts;cpu.soft_interrupts;cpu.syscalls
1715597271027.012;29;71.8;0.0;0.0;0.0;0.41;4.89;1715597264.01;/home/esu530;/var/scratch/esu530/mirror_telepathy/mirror_telepathy.x86_64;5258;5258;5258;0;8465390;302;20480;8884;157;0;4;1319993344;0;0;382070784;382656512;124497920;0;8192;381308928;6449926144;1319993344;0;0;382656512;124497920;8192;6449926144;0.28341188324044425;mirror_telepathy.x86_64;0;25;788;36;120;2961912;1;sleeping;None;5258;5258;5258;esu530;88800025201;52131444806;98258986;124750807;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188743450368;1739083853836;121034286;271605499;0;0;0;0;0;0;0;0;0;0;0;0;25458986708;25458986708;16031858;16031858;0;0;0;0;2915455;107056876544;1428606;29036786688;541;2265088;11;1057792;2441938;52729123840;1422934;28343734272;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315394469.75;4091.84;5588.82;42574.96;11647.01;0.0;57920.24;479555.43;1.7;2.779083333333332;1500.0;2800.0;4984873745;2517261618;1179934560;0
1715597272082.526;29;83.0;0.0;0.0;0.0;0.48;5.7;1715597264.01;/home/esu530;/var/scratch/esu530/mirror_telepathy/mirror_telepathy.x86_64;5258;5258;5258;0;8479790;308;24576;8989;159;0;4;1344630784;0;0;386207744;386523136;125177856;0;8192;385445888;6608519168;1344630784;0;0;386523136;125177856;8192;6608519168;0.28627567140360693;mirror_telepathy.x86_64;0;26;860;37;122;2961912;1;sleeping;None;5258;5258;5258;esu530;88800199542;52131455287;98259139;124750879;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188743450852;1739083854042;121034288;271605500;0;0;0;0;0;0;0;0;0;0;0;0;25458986818;25458986818;16031860;16031860;0;0;0;0;2915455;107056876544;1428606;29036786688;541;2265088;11;1057792;2441938;52729123840;1422934;28343734272;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315394519.67;4091.84;5588.84;42574.96;11647.02;0.0;57920.33;479556.26;1.9;2.778791666666665;1500.0;2800.0;4984888801;2517270656;1179936335;0
1715597273143.6511;29;70.9;0.0;0.0;0.0;0.53;6.4;1715597264.01;/home/esu530;/var/scratch/esu530/mirror_telepathy/mirror_telepathy.x86_64;5258;5258;5258;0;8479790;308;24576;8989;159;0;4;1344630784;0;0;386359296;386813952;125202432;0;8192;385597440;6608519168;1344630784;0;0;386813952;125202432;8192;6608519168;0.28649106225062443;mirror_telepathy.x86_64;0;26;923;37;122;2961912;1;sleeping;None;5258;5258;5258;esu530;88800205187;52131469600;98259200;124750958;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188743450852;1739083854042;121034288;271605500;0;0;0;0;0;0;0;0;0;0;0;0;25458986928;25458986928;16031862;16031862;0;0;0;0;2915455;107056876544;1428606;29036786688;541;2265088;11;1057792;2441938;52729123840;1422934;28343734272;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315394569.62;4091.84;5588.87;42574.96;11647.03;0.0;57920.39;479556.88;1.4;2.779083333333332;1500.0;2800.0;4984902157;2517278725;1179937572;0
1715597274201.6536;5;72.0;0.0;0.0;0.0;0.57;7.12;1715597264.01;/home/esu530;/var/scratch/esu530/mirror_telepathy/mirror_telepathy.x86_64;5258;5258;5258;0;8479790;308;24576;8989;159;0;4;1344630784;0;0;386375680;386813952;125202432;0;8192;385613824;6608519168;1344630784;0;0;386813952;125202432;8192;6608519168;0.28649106225062443;mirror_telepathy.x86_64;0;29;986;37;122;2961912;1;running;None;5258;5258;5258;esu530;88800210917;52131475309;98259262;124751020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188743450852;1739083854042;121034288;271605500;0;0;0;0;0;0;0;0;0;0;0;0;25458987038;25458987038;16031864;16031864;0;0;0;0;2915455;107056876544;1428615;29036823552;541;2265088;11;1057792;2441938;52729123840;1422943;28343771136;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315394619.45;4091.84;5588.89;42574.96;11647.04;0.0;57920.45;479557.66;1.7;2.778916666666665;1500.0;2800.0;4984915568;2517286350;1179938984;0
1715597275257.7334;5;71.8;0.0;0.0;0.0;0.61;7.84;1715597264.01;/home/esu530;/var/scratch/esu530/mirror_telepathy/mirror_telepathy.x86_64;5258;5258;5258;0;8479790;308;24576;8989;159;0;4;1344630784;0;0;386404352;386813952;125202432;0;8192;385642496;6608519168;1344630784;0;0;386813952;125202432;8192;6608519168;0.28649106225062443;mirror_telepathy.x86_64;0;29;1049;37;122;2961912;1;sleeping;None;5258;5258;5258;esu530;88800216562;52131500263;98259323;124751119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188743450852;1739083854042;121034288;271605500;0;0;0;0;0;0;0;0;0;0;0;0;25458987148;25458987148;16031866;16031866;0;0;0;0;2915455;107056876544;1428617;29036872704;541;2265088;11;1057792;2441938;52729123840;1422945;28343820288;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315394669.42;4091.84;5588.91;42574.96;11647.05;0.0;57920.51;479558.35;1.5;2.737249999999999;1500.0;2800.0;4984928732;2517293744;1179940283;0
1715597276315.5774;5;71.0;0.0;0.0;0.0;0.67;8.53;1715597264.01;/home/esu530;/var/scratch/esu530/mirror_telepathy/mirror_telepathy.x86_64;5258;5258;5258;0;8479854;312;24576;8989;159;0;4;1361678336;0;0;391335936;391544832;125202432;0;8192;390574080;6759522304;1361678336;0;0;391544832;125202432;8192;6759522304;0.2899949556070363;mirror_telepathy.x86_64;0;30;1126;38;124;2961912;1;sleeping;None;5258;5258;5258;esu530;88800222374;52131512623;98259386;124751193;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188743451084;1739083854224;121034290;271605501;0;0;0;0;0;0;0;0;0;0;0;0;25458987258;25458987258;16031868;16031868;0;0;0;0;2915455;107056876544;1428617;29036872704;541;2265088;11;1057792;2441938;52729123840;1422945;28343820288;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315394719.29;4091.84;5588.94;42574.96;11647.05;0.0;57920.58;479559.05;1.6;2.779083333333332;1500.0;2800.0;4984942347;2517301511;1179941813;0
1715597277371.645;5;72.0;0.0;0.0;0.0;0.73;9.23;1715597264.01;/home/esu530;/var/scratch/esu530/mirror_telepathy/mirror_telepathy.x86_64;5258;5258;5258;0;8479854;312;24576;8989;159;0;4;1361678336;0;0;391335936;391544832;125202432;0;8192;390574080;6759522304;1361678336;0;0;391544832;125202432;8192;6759522304;0.2899949556070363;mirror_telepathy.x86_64;0;31;1191;38;124;2961912;1;sleeping;None;5258;5258;5258;esu530;88800403370;52131524027;98259608;124751322;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188743451084;1739083854224;121034290;271605501;0;0;0;0;0;0;0;0;0;0;0;0;25458987368;25458987368;16031870;16031870;0;0;0;0;2915455;107056876544;1428617;29036872704;541;2265088;11;1057792;2441938;52729123840;1422945;28343820288;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315394769.08;4091.84;5588.96;42574.96;11647.06;0.0;57920.65;479559.7;1.5;2.779083333333332;1500.0;2800.0;4984955863;2517309376;1179943241;0
1715597278427.6482;5;72.9;0.0;0.0;0.0;0.78;9.95;1715597264.01;/home/esu530;/var/scratch/esu530/mirror_telepathy/mirror_telepathy.x86_64;5258;5258;5258;0;8479854;312;24576;8989;159;0;4;1361678336;0;0;391446528;391815168;125202432;0;8192;390684672;6759522304;1361678336;0;0;391815168;125202432;8192;6759522304;0.2901951780845456;mirror_telepathy.x86_64;0;32;1254;38;124;2961912;1;sleeping;None;5258;5258;5258;esu530;88800415037;52131540225;98259735;124751457;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188743451316;1739083854406;121034292;271605502;0;0;0;0;0;0;0;0;0;0;0;0;25458987478;25458987478;16031872;16031872;0;0;0;0;2915455;107056876544;1428617;29036872704;541;2265088;11;1057792;2441938;52729123840;1422945;28343820288;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315394818.93;4091.84;5588.99;42574.96;11647.07;0.0;57920.72;479560.44;1.7;2.779083333333332;1500.0;2800.0;4984969398;2517317478;1179944770;0
1715597279483.6375;5;72.9;0.0;0.0;0.0;0.83;10.67;1715597264.01;/home/esu530;/var/scratch/esu530/mirror_telepathy/mirror_telepathy.x86_64;5258;5258;5258;0;8479854;312;24576;8989;159;0;4;1361678336;0;0;391446528;391815168;125202432;0;8192;390684672;6759522304;1361678336;0;0;391815168;125202432;8192;6759522304;0.2901951780845456;mirror_telepathy.x86_64;0;32;1317;38;124;2961912;1;sleeping;None;5258;5258;5258;esu530;88800426327;52131555894;98259857;124751589;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188743451316;1739083854406;121034292;271605502;0;0;0;0;0;0;0;0;0;0;0;0;25458987588;25458987588;16031874;16031874;0;0;0;0;2915455;107056876544;1428617;29036872704;541;2265088;11;1057792;2441938;52729123840;1422945;28343820288;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315394868.76;4091.84;5589.01;42574.96;11647.08;0.0;57920.78;479561.2;1.7;2.779083333333332;1500.0;2800.0;4984982763;2517325037;1179946265;0
1715597280538.6355;5;72.0;0.0;0.0;0.0;0.88;11.38;1715597264.01;/home/esu530;/var/scratch/esu530/mirror_telepathy/mirror_telepathy.x86_64;5258;5258;5258;0;8479854;312;24576;8989;159;0;4;1361678336;0;0;391450624;391815168;125202432;0;8192;390688768;6759522304;1361678336;0;0;391815168;125202432;8192;6759522304;0.2901951780845456;mirror_telepathy.x86_64;0;32;1380;38;124;2961912;1;sleeping;None;5258;5258;5258;esu530;88800437973;52131580189;98259983;124751738;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188743451316;1739083854406;121034292;271605502;0;0;0;0;0;0;0;0;0;0;0;0;25458987698;25458987698;16031876;16031876;0;0;0;0;2915455;107056876544;1428617;29036872704;541;2265088;11;1057792;2441938;52729123840;1422945;28343820288;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315394918.56;4091.84;5589.03;42574.96;11647.09;0.0;57920.85;479561.9;1.6;2.7581666666666655;1500.0;2800.0;4984996281;2517332641;1179947814;0
