timestamp;proc.cpu_num;proc.cpu_percent;proc.cpu_times.children_system;proc.cpu_times.children_user;proc.cpu_times.iowait;proc.cpu_times.system;proc.cpu_times.user;proc.create_time;proc.cwd;proc.exe;proc.gids.effective;proc.gids.real;proc.gids.saved;proc.io_counters.read_bytes;proc.io_counters.read_chars;proc.io_counters.read_count;proc.io_counters.write_bytes;proc.io_counters.write_chars;proc.io_counters.write_count;proc.ionice.ioclass;proc.ionice.value;proc.memory_full_info.data;proc.memory_full_info.dirty;proc.memory_full_info.lib;proc.memory_full_info.pss;proc.memory_full_info.rss;proc.memory_full_info.shared;proc.memory_full_info.swap;proc.memory_full_info.text;proc.memory_full_info.uss;proc.memory_full_info.vms;proc.memory_info.data;proc.memory_info.dirty;proc.memory_info.lib;proc.memory_info.rss;proc.memory_info.shared;proc.memory_info.text;proc.memory_info.vms;proc.memory_percent;proc.name;proc.nice;proc.num_ctx_switches.involuntary;proc.num_ctx_switches.voluntary;proc.num_fds;proc.num_threads;proc.pid;proc.ppid;proc.status;proc.terminal;proc.uids.effective;proc.uids.real;proc.uids.saved;proc.username;net.bytes_sent.eth0;net.bytes_recv.eth0;net.packets_sent.eth0;net.packets_recv.eth0;net.errin.eth0;net.errout.eth0;net.dropin.eth0;net.dropout.eth0;net.bytes_sent.eth1;net.bytes_recv.eth1;net.packets_sent.eth1;net.packets_recv.eth1;net.errin.eth1;net.errout.eth1;net.dropin.eth1;net.dropout.eth1;net.bytes_sent.eth2;net.bytes_recv.eth2;net.packets_sent.eth2;net.packets_recv.eth2;net.errin.eth2;net.errout.eth2;net.dropin.eth2;net.dropout.eth2;net.bytes_sent.eth3;net.bytes_recv.eth3;net.packets_sent.eth3;net.packets_recv.eth3;net.errin.eth3;net.errout.eth3;net.dropin.eth3;net.dropout.eth3;net.bytes_sent.eth4;net.bytes_recv.eth4;net.packets_sent.eth4;net.packets_recv.eth4;net.errin.eth4;net.errout.eth4;net.dropin.eth4;net.dropout.eth4;net.bytes_sent.ib0;net.bytes_recv.ib0;net.packets_sent.ib0;net.packets_recv.ib0;net.errin.ib0;net.errout.ib0;net.dropin.ib0;net.dropout.ib0;net.bytes_sent.lo;net.bytes_recv.lo;net.packets_sent.lo;net.packets_recv.lo;net.errin.lo;net.errout.lo;net.dropin.lo;net.dropout.lo;disk.read_count.nvme0n1;disk.read_bytes.nvme0n1;disk.write_count.nvme0n1;disk.write_bytes.nvme0n1;disk.read_count.nvme0n1p1;disk.read_bytes.nvme0n1p1;disk.write_count.nvme0n1p1;disk.write_bytes.nvme0n1p1;disk.read_count.nvme0n1p2;disk.read_bytes.nvme0n1p2;disk.write_count.nvme0n1p2;disk.write_bytes.nvme0n1p2;disk.read_count.nvme0n1p3;disk.read_bytes.nvme0n1p3;disk.write_count.nvme0n1p3;disk.write_bytes.nvme0n1p3;disk.read_count.nvme0n1p4;disk.read_bytes.nvme0n1p4;disk.write_count.nvme0n1p4;disk.write_bytes.nvme0n1p4;cpu.guest;cpu.guest_nice;cpu.idle;cpu.iowait;cpu.irq;cpu.nice;cpu.softirq;cpu.steal;cpu.system;cpu.user;cpu.percent;cpu.freq.current;cpu.freq.min;cpu.freq.max;cpu.ctx_switches;cpu.interrupts;cpu.soft_interrupts;cpu.syscalls
1713942753414.051;43;70.1;0.0;0.0;0.0;0.46;4.79;1713942746.42;/home/esu530;/var/scratch/esu530/mirror_kcp/mirror_kcp.x86_64;5258;5258;5258;4096;8464927;303;16384;8742;153;0;4;1311338496;0;0;380875776;382062592;123666432;0;8192;380321792;6307250176;1311338496;0;0;382062592;123666432;8192;6307250176;0.2829720005247042;mirror_kcp.x86_64;0;25;805;37;119;3394727;1;sleeping;None;5258;5258;5258;esu530;80051313280;39171142313;77249081;88355360;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127463410420;1712867960628;112496381;267279549;0;0;0;0;0;0;0;0;0;0;0;0;9361719370;9361719370;14820483;14820483;0;0;0;0;2763694;103476483072;1133194;25269257216;489;2238464;11;1057792;2290229;49148756992;1127522;24576204800;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;236148760.16;3485.38;4294.0;41895.21;9124.23;0.0;49256.17;324172.37;1.6;2.779083333333332;1500.0;2800.0;4442900484;1974377029;990847631;0
1713942754467.6511;43;79.8;0.0;0.0;0.0;0.51;5.58;1713942746.42;/home/esu530;/var/scratch/esu530/mirror_kcp/mirror_kcp.x86_64;5258;5258;5258;4096;8479331;310;24576;8847;155;0;4;1318928384;0;0;387429376;388599808;124661760;0;8192;386875392;6314840064;1318928384;0;0;388599808;124661760;8192;6314840064;0.28781374407174615;mirror_kcp.x86_64;0;27;873;37;119;3394727;1;sleeping;None;5258;5258;5258;esu530;80051870488;39171172224;77249953;88355430;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127463414860;1712867960834;112496383;267279550;0;0;0;0;0;0;0;0;0;0;0;0;9361719480;9361719480;14820485;14820485;0;0;0;0;2763694;103476483072;1133194;25269257216;489;2238464;11;1057792;2290229;49148756992;1127522;24576204800;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;236148809.81;3485.38;4294.03;41895.21;9124.23;0.0;49256.25;324173.21;1.9;2.779083333333332;1500.0;2800.0;4442914740;1974385692;990849148;0
1713942755520.5122;43;71.2;0.0;0.0;0.0;0.56;6.28;1713942746.42;/home/esu530;/var/scratch/esu530/mirror_kcp/mirror_kcp.x86_64;5258;5258;5258;4096;8479331;310;24576;8847;155;0;4;1318928384;0;0;387642368;388870144;124661760;0;8192;387088384;6314840064;1318928384;0;0;388870144;124661760;8192;6314840064;0.28801396654925543;mirror_kcp.x86_64;0;27;936;37;119;3394727;1;sleeping;None;5258;5258;5258;esu530;80051875113;39171176956;77250018;88355495;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127463414860;1712867960834;112496383;267279550;0;0;0;0;0;0;0;0;0;0;0;0;9361719590;9361719590;14820487;14820487;0;0;0;0;2763694;103476483072;1133194;25269257216;489;2238464;11;1057792;2290229;49148756992;1127522;24576204800;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;236148859.49;3485.38;4294.05;41895.21;9124.24;0.0;49256.32;324173.93;1.6;2.716208333333332;1500.0;2800.0;4442927745;1974393584;990850384;0
1713942756573.5486;43;72.2;0.0;0.0;0.0;0.61;6.99;1713942746.42;/home/esu530;/var/scratch/esu530/mirror_kcp/mirror_kcp.x86_64;5258;5258;5258;4096;8479399;315;24576;8847;155;0;4;1318928384;0;0;390411264;391503872;124661760;0;8192;389857280;6314840064;1318928384;0;0;391503872;124661760;8192;6314840064;0.2899646188680198;mirror_kcp.x86_64;0;28;1008;37;119;3394727;1;running;None;5258;5258;5258;esu530;80052436692;39171204095;77250946;88355612;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127463414860;1712867960834;112496383;267279550;0;0;0;0;0;0;0;0;0;0;0;0;9361719700;9361719700;14820489;14820489;0;0;0;0;2763694;103476483072;1133194;25269257216;489;2238464;11;1057792;2290229;49148756992;1127522;24576204800;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;236148909.19;3485.38;4294.08;41895.21;9124.25;0.0;49256.38;324174.64;1.6;2.6152916666666655;1500.0;2800.0;4442940911;1974401230;990851930;0
1713942757626.7146;43;70.8;0.0;0.0;0.0;0.67;7.68;1713942746.42;/home/esu530;/var/scratch/esu530/mirror_kcp/mirror_kcp.x86_64;5258;5258;5258;4096;8479467;320;24576;8847;155;0;4;1318928384;0;0;390525952;391774208;124661760;0;8192;389971968;6314840064;1318928384;0;0;391774208;124661760;8192;6314840064;0.290164841345529;mirror_kcp.x86_64;0;29;1071;37;119;3394727;1;running;None;5258;5258;5258;esu530;80052445659;39171228236;77251072;88355767;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127463421908;1712867961238;112496387;267279552;0;0;0;0;0;0;0;0;0;0;0;0;9361719810;9361719810;14820491;14820491;0;0;0;0;2763694;103476483072;1133194;25269257216;489;2238464;11;1057792;2290229;49148756992;1127522;24576204800;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;236148959.17;3485.38;4294.1;41895.21;9124.26;0.0;49256.45;324175.26;1.4;2.779083333333332;1500.0;2800.0;4442953726;1974409141;990853428;0
1713942758685.5269;43;139.6;0.0;0.0;0.0;0.77;9.05;1713942746.42;/home/esu530;/var/scratch/esu530/mirror_kcp/mirror_kcp.x86_64;5258;5258;5258;4096;8479467;320;24576;8847;155;0;4;1321025536;0;0;394908672;395968512;124661760;0;8192;394354688;6314840064;1321025536;0;0;395968512;124661760;8192;6314840064;0.29327132342082407;mirror_kcp.x86_64;0;30;1135;37;119;3394727;1;sleeping;None;5258;5258;5258;esu530;80053023641;39171264925;77252146;88356020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127463422140;1712867961420;112496389;267279553;0;0;0;0;0;0;0;0;0;0;0;0;9361719920;9361719920;14820493;14820493;0;0;0;0;2763694;103476483072;1133194;25269257216;489;2238464;11;1057792;2290229;49148756992;1127522;24576204800;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;236149008.13;3485.38;4294.14;41895.21;9124.27;0.0;49256.56;324176.56;2.9;2.779083333333332;1500.0;2800.0;4442974360;1974421178;990855639;0
1713942759739.543;43;146.3;0.0;0.0;0.0;0.86;10.51;1713942746.42;/home/esu530;/var/scratch/esu530/mirror_kcp/mirror_kcp.x86_64;5258;5258;5258;4096;8479535;325;24576;8847;155;0;4;1321025536;0;0;395006976;395968512;124661760;0;8192;394452992;6314840064;1321025536;0;0;395968512;124661760;8192;6314840064;0.29327132342082407;mirror_kcp.x86_64;0;31;1202;37;119;3394727;1;sleeping;None;5258;5258;5258;esu530;80053063562;39171301682;77252520;88356392;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127463422372;1712867961602;112496391;267279554;0;0;0;0;0;0;0;0;0;0;0;0;9361720030;9361720030;14820495;14820495;0;0;0;0;2763694;103476483072;1133194;25269257216;489;2238464;11;1057792;2290229;49148756992;1127522;24576204800;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;236149057.35;3485.38;4294.18;41895.21;9124.28;0.0;49256.66;324177.9;2.9;2.7789999999999986;1500.0;2800.0;4442995723;1974433628;990857996;0
1713942760798.7014;43;146.5;0.0;0.0;0.0;0.97;11.95;1713942746.42;/home/esu530;/var/scratch/esu530/mirror_kcp/mirror_kcp.x86_64;5258;5258;5258;4096;8479535;325;24576;8847;155;0;4;1321025536;0;0;395023360;395968512;124661760;0;8192;394469376;6314840064;1321025536;0;0;395968512;124661760;8192;6314840064;0.29327132342082407;mirror_kcp.x86_64;0;33;1266;37;119;3394727;1;running;None;5258;5258;5258;esu530;80053665472;39171361476;77253777;88356837;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127463422604;1712867961784;112496393;267279555;0;0;0;0;0;0;0;0;0;0;0;0;9361720140;9361720140;14820497;14820497;0;0;0;0;2763694;103476483072;1133194;25269257216;489;2238464;11;1057792;2290229;49148756992;1127522;24576204800;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;236149106.47;3485.38;4294.22;41895.21;9124.29;0.0;49256.8;324179.31;3.2;2.779083333333332;1500.0;2800.0;4443017304;1974446336;990860497;0
1713942761856.517;43;150.3;0.0;0.0;0.0;1.04;13.47;1713942746.42;/home/esu530;/var/scratch/esu530/mirror_kcp/mirror_kcp.x86_64;5258;5258;5258;4096;8479603;330;24576;8847;155;0;4;1321025536;0;0;395691008;396771328;124661760;0;8192;395137024;6314840064;1321025536;0;0;396771328;124661760;8192;6314840064;0.2938659235055485;mirror_kcp.x86_64;0;34;1340;37;119;3394727;1;sleeping;None;5258;5258;5258;esu530;80053717382;39171407363;77254266;88357334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127463422604;1712867961784;112496393;267279555;0;0;0;0;0;0;0;0;0;0;0;0;9361720250;9361720250;14820499;14820499;0;0;0;0;2763694;103476483072;1133194;25269257216;489;2238464;11;1057792;2290229;49148756992;1127522;24576204800;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;236149155.57;3485.38;4294.27;41895.21;9124.3;0.0;49256.88;324180.85;3.3;2.779083333333332;1500.0;2800.0;4443038677;1974459223;990863277;0
1713942762914.517;43;161.9;0.0;0.0;0.0;1.09;15.13;1713942746.42;/home/esu530;/var/scratch/esu530/mirror_kcp/mirror_kcp.x86_64;5258;5258;5258;4096;8479603;330;24576;8847;155;0;4;1321025536;0;0;395695104;396771328;124661760;0;8192;395141120;6314840064;1321025536;0;0;396771328;124661760;8192;6314840064;0.2938659235055485;mirror_kcp.x86_64;0;37;1406;37;119;3394727;1;sleeping;None;5258;5258;5258;esu530;80054342294;39171484550;77255656;88357914;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127463430376;1712867962370;112496399;267279558;0;0;0;0;0;0;0;0;0;0;0;0;9361720360;9361720360;14820501;14820501;0;0;0;0;2763694;103476483072;1133194;25269257216;489;2238464;11;1057792;2290229;49148756992;1127522;24576204800;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;236149204.42;3485.38;4294.31;41895.21;9124.32;0.0;49256.96;324182.76;4.0;2.653541666666665;1500.0;2800.0;4443061128;1974473039;990866180;0
