timestamp;proc.cpu_num;proc.cpu_percent;proc.cpu_times.children_system;proc.cpu_times.children_user;proc.cpu_times.iowait;proc.cpu_times.system;proc.cpu_times.user;proc.create_time;proc.cwd;proc.exe;proc.gids.effective;proc.gids.real;proc.gids.saved;proc.io_counters.read_bytes;proc.io_counters.read_chars;proc.io_counters.read_count;proc.io_counters.write_bytes;proc.io_counters.write_chars;proc.io_counters.write_count;proc.ionice.ioclass;proc.ionice.value;proc.memory_full_info.data;proc.memory_full_info.dirty;proc.memory_full_info.lib;proc.memory_full_info.pss;proc.memory_full_info.rss;proc.memory_full_info.shared;proc.memory_full_info.swap;proc.memory_full_info.text;proc.memory_full_info.uss;proc.memory_full_info.vms;proc.memory_info.data;proc.memory_info.dirty;proc.memory_info.lib;proc.memory_info.rss;proc.memory_info.shared;proc.memory_info.text;proc.memory_info.vms;proc.memory_percent;proc.name;proc.nice;proc.num_ctx_switches.involuntary;proc.num_ctx_switches.voluntary;proc.num_fds;proc.num_threads;proc.pid;proc.ppid;proc.status;proc.terminal;proc.uids.effective;proc.uids.real;proc.uids.saved;proc.username;net.bytes_sent.eth0;net.bytes_recv.eth0;net.packets_sent.eth0;net.packets_recv.eth0;net.errin.eth0;net.errout.eth0;net.dropin.eth0;net.dropout.eth0;net.bytes_sent.eth1;net.bytes_recv.eth1;net.packets_sent.eth1;net.packets_recv.eth1;net.errin.eth1;net.errout.eth1;net.dropin.eth1;net.dropout.eth1;net.bytes_sent.eth2;net.bytes_recv.eth2;net.packets_sent.eth2;net.packets_recv.eth2;net.errin.eth2;net.errout.eth2;net.dropin.eth2;net.dropout.eth2;net.bytes_sent.eth3;net.bytes_recv.eth3;net.packets_sent.eth3;net.packets_recv.eth3;net.errin.eth3;net.errout.eth3;net.dropin.eth3;net.dropout.eth3;net.bytes_sent.eth4;net.bytes_recv.eth4;net.packets_sent.eth4;net.packets_recv.eth4;net.errin.eth4;net.errout.eth4;net.dropin.eth4;net.dropout.eth4;net.bytes_sent.ib0;net.bytes_recv.ib0;net.packets_sent.ib0;net.packets_recv.ib0;net.errin.ib0;net.errout.ib0;net.dropin.ib0;net.dropout.ib0;net.bytes_sent.lo;net.bytes_recv.lo;net.packets_sent.lo;net.packets_recv.lo;net.errin.lo;net.errout.lo;net.dropin.lo;net.dropout.lo;disk.read_count.nvme0n1;disk.read_bytes.nvme0n1;disk.write_count.nvme0n1;disk.write_bytes.nvme0n1;disk.read_count.nvme0n1p1;disk.read_bytes.nvme0n1p1;disk.write_count.nvme0n1p1;disk.write_bytes.nvme0n1p1;disk.read_count.nvme0n1p2;disk.read_bytes.nvme0n1p2;disk.write_count.nvme0n1p2;disk.write_bytes.nvme0n1p2;disk.read_count.nvme0n1p3;disk.read_bytes.nvme0n1p3;disk.write_count.nvme0n1p3;disk.write_bytes.nvme0n1p3;disk.read_count.nvme0n1p4;disk.read_bytes.nvme0n1p4;disk.write_count.nvme0n1p4;disk.write_bytes.nvme0n1p4;cpu.guest;cpu.guest_nice;cpu.idle;cpu.iowait;cpu.irq;cpu.nice;cpu.softirq;cpu.steal;cpu.system;cpu.user;cpu.percent;cpu.freq.current;cpu.freq.min;cpu.freq.max;cpu.ctx_switches;cpu.interrupts;cpu.soft_interrupts;cpu.syscalls
1715597064381.0989;28;71.6;0.0;0.0;0.15;0.43;4.79;1715597057.39;/home/esu530;/var/scratch/esu530/mirror_telepathy/mirror_telepathy.x86_64;5258;5258;5258;158384128;8465396;304;20480;8885;158;0;0;1319235584;0;0;378935296;379150336;122920960;0;8192;378118144;6449168384;1319235584;0;0;379150336;122920960;8192;6449168384;0.2808150583806273;mirror_telepathy.x86_64;0;21;1951;36;120;2961595;1;sleeping;None;5258;5258;5258;esu530;88789620339;52121494786;98164976;124655112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188742726306;1739076063848;121030919;271601589;0;0;0;0;0;0;0;0;0;0;0;0;25458980108;25458980108;16031738;16031738;0;0;0;0;2915293;107049552896;1428537;29036135424;541;2265088;11;1057792;2441776;52721800192;1422865;28343083008;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315384712.26;4091.81;5584.2;42574.89;11644.08;0.0;57905.39;479420.53;1.7;2.779083333333332;1500.0;2800.0;4982385778;2515648851;1179451668;0
1715597065435.681;28;82.4;0.0;0.0;0.15;0.48;5.61;1715597057.39;/home/esu530;/var/scratch/esu530/mirror_telepathy/mirror_telepathy.x86_64;5258;5258;5258;159481856;8479796;310;24576;8990;160;0;0;1343692800;0;0;383264768;383111168;123731968;0;8192;382447616;6607581184;1343692800;0;0;383111168;123731968;8192;6607581184;0.283748621043528;mirror_telepathy.x86_64;0;22;2037;37;122;2961595;1;sleeping;None;5258;5258;5258;esu530;88789792471;52121510635;98165105;124655174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188742729652;1739077171814;121030944;271601718;0;0;0;0;0;0;0;0;0;0;0;0;25458980218;25458980218;16031740;16031740;0;0;0;0;2915293;107049552896;1428537;29036135424;541;2265088;11;1057792;2441776;52721800192;1422865;28343083008;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315384761.93;4091.81;5584.23;42574.89;11644.08;0.0;57905.46;479421.3;1.7;2.779083333333332;1500.0;2800.0;4982401228;2515658004;1179453418;0
1715597066491.8125;28;71.0;0.0;0.0;0.15;0.52;6.32;1715597057.39;/home/esu530;/var/scratch/esu530/mirror_telepathy/mirror_telepathy.x86_64;5258;5258;5258;159481856;8479796;310;24576;8990;160;0;0;1343692800;0;0;383412224;383438848;123793408;0;8192;382595072;6607581184;1343692800;0;0;383438848;123793408;8192;6607581184;0.28399131495566043;mirror_telepathy.x86_64;0;23;2100;37;122;2961595;1;sleeping;None;5258;5258;5258;esu530;88789798466;52121516992;98165171;124655237;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188742729718;1739077171814;121030945;271601718;0;0;0;0;0;0;0;0;0;0;0;0;25458980328;25458980328;16031742;16031742;0;0;0;0;2915293;107049552896;1428539;29036176384;541;2265088;11;1057792;2441776;52721800192;1422867;28343123968;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315384811.92;4091.81;5584.25;42574.89;11644.09;0.0;57905.51;479422.0;1.6;2.779083333333332;1500.0;2800.0;4982414866;2515666120;1179454609;0
1715597067550.6438;28;69.9;0.0;0.0;0.15;0.58;7.0;1715597057.39;/home/esu530;/var/scratch/esu530/mirror_telepathy/mirror_telepathy.x86_64;5258;5258;5258;159481856;8479796;310;24576;8990;160;0;0;1343692800;0;0;383432704;383438848;123793408;0;8192;382615552;6607581184;1343692800;0;0;383438848;123793408;8192;6607581184;0.28399131495566043;mirror_telepathy.x86_64;0;25;2163;37;122;2961595;1;sleeping;None;5258;5258;5258;esu530;88789804111;52121535375;98165232;124655322;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188742729718;1739077171814;121030945;271601718;0;0;0;0;0;0;0;0;0;0;0;0;25458980438;25458980438;16031744;16031744;0;0;0;0;2915293;107049552896;1428539;29036176384;541;2265088;11;1057792;2441776;52721800192;1422867;28343123968;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315384862.01;4091.81;5584.27;42574.89;11644.1;0.0;57905.58;479422.58;1.3;2.779083333333332;1500.0;2800.0;4982427967;2515673290;1179455720;0
1715597068610.6516;28;69.8;0.0;0.0;0.15;0.64;7.68;1715597057.39;/home/esu530;/var/scratch/esu530/mirror_telepathy/mirror_telepathy.x86_64;5258;5258;5258;159481856;8479796;310;24576;8990;160;0;0;1343692800;0;0;383461376;383438848;123793408;0;8192;382644224;6607581184;1343692800;0;0;383438848;123793408;8192;6607581184;0.28399131495566043;mirror_telepathy.x86_64;0;27;2227;37;122;2961595;1;sleeping;None;5258;5258;5258;esu530;88789809756;52121549589;98165293;124655400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188742729718;1739077171814;121030945;271601718;0;0;0;0;0;0;0;0;0;0;0;0;25458980548;25458980548;16031746;16031746;0;0;0;0;2915293;107049552896;1428539;29036176384;541;2265088;11;1057792;2441776;52721800192;1422867;28343123968;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315384911.82;4091.81;5584.3;42574.89;11644.11;0.0;57905.65;479423.25;1.5;2.779083333333332;1500.0;2800.0;4982441028;2515680562;1179456930;0
1715597069665.5525;28;71.0;0.0;0.0;0.15;0.67;8.4;1715597057.39;/home/esu530;/var/scratch/esu530/mirror_telepathy/mirror_telepathy.x86_64;5258;5258;5258;159481856;8479860;314;24576;8990;160;0;0;1361002496;0;0;386082816;386072576;123793408;0;8192;385265664;6758846464;1361002496;0;0;386072576;123793408;8192;6758846464;0.28594196727442484;mirror_telepathy.x86_64;0;29;2301;38;124;2961595;1;sleeping;None;5258;5258;5258;esu530;88789815498;52121559565;98165355;124655470;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188742731444;1739077173634;121030956;271601728;0;0;0;0;0;0;0;0;0;0;0;0;25458980658;25458980658;16031748;16031748;0;0;0;0;2915293;107049552896;1428541;29036229632;541;2265088;11;1057792;2441776;52721800192;1422869;28343177216;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315384961.73;4091.81;5584.32;42574.89;11644.12;0.0;57905.71;479424.03;1.7;2.779083333333332;1500.0;2800.0;4982454534;2515688265;1179458545;0
1715597070723.7002;28;73.8;0.0;0.0;0.15;0.72;9.13;1715597057.39;/home/esu530;/var/scratch/esu530/mirror_telepathy/mirror_telepathy.x86_64;5258;5258;5258;159481856;8479860;314;24576;8990;160;0;0;1361002496;0;0;386086912;386072576;123793408;0;8192;385269760;6758846464;1361002496;0;0;386072576;123793408;8192;6758846464;0.28594196727442484;mirror_telepathy.x86_64;0;30;2364;38;124;2961595;1;sleeping;None;5258;5258;5258;esu530;88789995297;52121575394;98165564;124655599;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188742731510;1739077173634;121030957;271601728;0;0;0;0;0;0;0;0;0;0;0;0;25458980768;25458980768;16031750;16031750;0;0;0;0;2915293;107049552896;1428541;29036229632;541;2265088;11;1057792;2441776;52721800192;1422869;28343177216;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315385011.52;4091.81;5584.35;42574.89;11644.12;0.0;57905.78;479424.84;1.8;2.779083333333332;1500.0;2800.0;4982468649;2515696341;1179460077;0
1715597071779.7263;28;75.7;0.0;0.0;0.15;0.79;9.86;1715597057.39;/home/esu530;/var/scratch/esu530/mirror_telepathy/mirror_telepathy.x86_64;5258;5258;5258;159481856;8479860;314;24576;8990;160;0;0;1361002496;0;0;386197504;386072576;123793408;0;8192;385380352;6758846464;1361002496;0;0;386072576;123793408;8192;6758846464;0.28594196727442484;mirror_telepathy.x86_64;0;31;2427;38;124;2961595;1;sleeping;None;5258;5258;5258;esu530;88790006657;52121596133;98165687;124655740;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188742731742;1739077173816;121030959;271601729;0;0;0;0;0;0;0;0;0;0;0;0;25458980878;25458980878;16031752;16031752;0;0;0;0;2915293;107049552896;1428541;29036229632;541;2265088;11;1057792;2441776;52721800192;1422869;28343177216;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315385061.36;4091.81;5584.37;42574.89;11644.14;0.0;57905.86;479425.53;1.6;2.674458333333332;1500.0;2800.0;4982482944;2515704930;1179461507;0
1715597072836.8582;28;75.7;0.0;0.0;0.15;0.84;10.61;1715597057.39;/home/esu530;/var/scratch/esu530/mirror_telepathy/mirror_telepathy.x86_64;5258;5258;5258;159481856;8479860;314;24576;8990;160;0;0;1361002496;0;0;386197504;386072576;123793408;0;8192;385380352;6758846464;1361002496;0;0;386072576;123793408;8192;6758846464;0.28594196727442484;mirror_telepathy.x86_64;0;32;2490;38;124;2961595;1;sleeping;None;5258;5258;5258;esu530;88790017947;52121613795;98165809;124655874;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188742731742;1739077173816;121030959;271601729;0;0;0;0;0;0;0;0;0;0;0;0;25458980988;25458980988;16031754;16031754;0;0;0;0;2915293;107049552896;1428541;29036229632;541;2265088;11;1057792;2441776;52721800192;1422869;28343177216;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315385111.22;4091.81;5584.4;42574.89;11644.14;0.0;57905.92;479426.26;1.6;2.653520833333332;1500.0;2800.0;4982496461;2515712594;1179462942;0
1715597073892.8513;28;73.9;0.0;0.0;0.15;0.89;11.34;1715597057.39;/home/esu530;/var/scratch/esu530/mirror_telepathy/mirror_telepathy.x86_64;5258;5258;5258;159481856;8479860;314;24576;8990;160;0;0;1361002496;0;0;386201600;386072576;123793408;0;8192;385384448;6758846464;1361002496;0;0;386072576;123793408;8192;6758846464;0.28594196727442484;mirror_telepathy.x86_64;0;32;2553;38;124;2961595;1;running;None;5258;5258;5258;esu530;88790029291;52121632170;98165931;124656013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188742731742;1739077173816;121030959;271601729;0;0;0;0;0;0;0;0;0;0;0;0;25458981098;25458981098;16031756;16031756;0;0;0;0;2915293;107049552896;1428541;29036229632;541;2265088;11;1057792;2441776;52721800192;1422869;28343177216;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315385161.08;4091.81;5584.42;42574.89;11644.15;0.0;57905.98;479426.95;1.5;2.779083333333332;1500.0;2800.0;4982509728;2515720178;1179464395;0
