timestamp;proc.cpu_num;proc.cpu_percent;proc.cpu_times.children_system;proc.cpu_times.children_user;proc.cpu_times.iowait;proc.cpu_times.system;proc.cpu_times.user;proc.create_time;proc.cwd;proc.exe;proc.gids.effective;proc.gids.real;proc.gids.saved;proc.io_counters.read_bytes;proc.io_counters.read_chars;proc.io_counters.read_count;proc.io_counters.write_bytes;proc.io_counters.write_chars;proc.io_counters.write_count;proc.ionice.ioclass;proc.ionice.value;proc.memory_full_info.data;proc.memory_full_info.dirty;proc.memory_full_info.lib;proc.memory_full_info.pss;proc.memory_full_info.rss;proc.memory_full_info.shared;proc.memory_full_info.swap;proc.memory_full_info.text;proc.memory_full_info.uss;proc.memory_full_info.vms;proc.memory_info.data;proc.memory_info.dirty;proc.memory_info.lib;proc.memory_info.rss;proc.memory_info.shared;proc.memory_info.text;proc.memory_info.vms;proc.memory_percent;proc.name;proc.nice;proc.num_ctx_switches.involuntary;proc.num_ctx_switches.voluntary;proc.num_fds;proc.num_threads;proc.pid;proc.ppid;proc.status;proc.terminal;proc.uids.effective;proc.uids.real;proc.uids.saved;proc.username;net.bytes_sent.eth0;net.bytes_recv.eth0;net.packets_sent.eth0;net.packets_recv.eth0;net.errin.eth0;net.errout.eth0;net.dropin.eth0;net.dropout.eth0;net.bytes_sent.eth1;net.bytes_recv.eth1;net.packets_sent.eth1;net.packets_recv.eth1;net.errin.eth1;net.errout.eth1;net.dropin.eth1;net.dropout.eth1;net.bytes_sent.eth2;net.bytes_recv.eth2;net.packets_sent.eth2;net.packets_recv.eth2;net.errin.eth2;net.errout.eth2;net.dropin.eth2;net.dropout.eth2;net.bytes_sent.eth3;net.bytes_recv.eth3;net.packets_sent.eth3;net.packets_recv.eth3;net.errin.eth3;net.errout.eth3;net.dropin.eth3;net.dropout.eth3;net.bytes_sent.eth4;net.bytes_recv.eth4;net.packets_sent.eth4;net.packets_recv.eth4;net.errin.eth4;net.errout.eth4;net.dropin.eth4;net.dropout.eth4;net.bytes_sent.ib0;net.bytes_recv.ib0;net.packets_sent.ib0;net.packets_recv.ib0;net.errin.ib0;net.errout.ib0;net.dropin.ib0;net.dropout.ib0;net.bytes_sent.lo;net.bytes_recv.lo;net.packets_sent.lo;net.packets_recv.lo;net.errin.lo;net.errout.lo;net.dropin.lo;net.dropout.lo;disk.read_count.nvme0n1;disk.read_bytes.nvme0n1;disk.write_count.nvme0n1;disk.write_bytes.nvme0n1;disk.read_count.nvme0n1p1;disk.read_bytes.nvme0n1p1;disk.write_count.nvme0n1p1;disk.write_bytes.nvme0n1p1;disk.read_count.nvme0n1p2;disk.read_bytes.nvme0n1p2;disk.write_count.nvme0n1p2;disk.write_bytes.nvme0n1p2;disk.read_count.nvme0n1p3;disk.read_bytes.nvme0n1p3;disk.write_count.nvme0n1p3;disk.write_bytes.nvme0n1p3;disk.read_count.nvme0n1p4;disk.read_bytes.nvme0n1p4;disk.write_count.nvme0n1p4;disk.write_bytes.nvme0n1p4;cpu.guest;cpu.guest_nice;cpu.idle;cpu.iowait;cpu.irq;cpu.nice;cpu.softirq;cpu.steal;cpu.system;cpu.user;cpu.percent;cpu.freq.current;cpu.freq.min;cpu.freq.max;cpu.ctx_switches;cpu.interrupts;cpu.soft_interrupts;cpu.syscalls
1715608937142.1028;23;327.0;0.0;0.0;0.16;3.8;16.43;1715608929.71;/home/esu530;/var/scratch/esu530/entities/entities.x86_64;5258;5258;5258;180441088;9382363;19069;16384;11772;214;0;0;1514545152;0;0;466083840;466378752;141238272;0;8192;465244160;7578279936;1507672064;0;0;460054528;141238272;8192;7578279936;0.34073618528612337;entities.x86_64;0;523;14006;44;120;2974876;1;sleeping;None;5258;5258;5258;esu530;97280332800;53636603679;117803785;139230077;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188843396686;1743594331190;121280114;272257679;0;0;0;0;0;0;0;0;0;0;0;0;25459098248;25459098248;16033886;16033886;0;0;0;0;2947067;107891137536;1432607;29069841408;541;2265088;11;1057792;2473550;53563384832;1426935;28376788992;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315935870.27;4107.45;5980.36;42582.3;11830.29;0.0;59550.33;495102.76;6.8;2.790229166666666;1500.0;2800.0;5238152343;2680727353;1235421720;0
1715608938206.614;47;348.0;0.0;0.0;0.16;4.7;19.24;1715608929.71;/home/esu530;/var/scratch/esu530/entities/entities.x86_64;5258;5258;5258;180703232;9421123;21349;20480;12001;218;0;0;1532002304;0;0;477900800;471654400;141430784;0;8192;477061120;7913824256;1548779520;0;0;476061696;141430784;8192;7913824256;0.35259178289379245;entities.x86_64;0;616;16761;44;120;2974876;1;running;None;5258;5258;5258;esu530;97280431685;53636613891;117803873;139230117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188843400952;1743594595784;121280123;272257710;0;0;0;0;0;0;0;0;0;0;0;0;25459098248;25459098248;16033886;16033886;0;0;0;0;2947067;107891137536;1432607;29069841408;541;2265088;11;1057792;2473550;53563384832;1426935;28376788992;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315935917.29;4107.45;5980.44;42582.31;11830.32;0.0;59551.15;495105.26;6.8;2.790270833333332;1500.0;2800.0;5238250548;2680786326;1235430652;0
1715608939270.6418;23;449.4;0.0;0.0;0.16;5.39;23.34;1715608929.71;/home/esu530;/var/scratch/esu530/entities/entities.x86_64;5258;5258;5258;180703232;9459815;23625;20480;12001;218;0;0;1651593216;0;0;510050304;506179584;141500416;0;8192;509210624;8987566080;1651601408;0;0;506179584;141500416;8192;8987566080;0.3748983870926641;entities.x86_64;0;709;19115;44;120;2974876;1;running;None;5258;5258;5258;esu530;97280712726;53636629133;117804107;139230191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188843401018;1743594595784;121280124;272257710;0;0;0;0;0;0;0;0;0;0;0;0;25459098248;25459098248;16033886;16033886;0;0;0;0;2947067;107891137536;1432607;29069841408;541;2265088;11;1057792;2473550;53563384832;1426935;28376788992;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315935963.26;4107.45;5980.56;42582.31;11830.35;0.0;59551.97;495109.74;10.6;2.7374791666666654;1500.0;2800.0;5238356677;2680856914;1235444127;0
1715608940336.7783;23;397.9;0.0;0.0;0.16;6.13;26.84;1715608929.71;/home/esu530;/var/scratch/esu530/entities/entities.x86_64;5258;5258;5258;180703232;9497385;25835;20480;12001;218;0;0;1685426176;0;0;523915264;519897088;141500416;0;8192;523075584;9121783808;1685426176;0;0;519897088;141500416;8192;9121783808;0.38505816098930773;entities.x86_64;0;803;21583;44;120;2974876;1;running;None;5258;5258;5258;esu530;97280834302;53636647163;117804242;139230271;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188843401018;1743594595784;121280124;272257710;0;0;0;0;0;0;0;0;0;0;0;0;25459098248;25459098248;16033886;16033886;0;0;0;0;2947067;107891137536;1432607;29069841408;541;2265088;11;1057792;2473550;53563384832;1426935;28376788992;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315936010.06;4107.45;5980.66;42582.31;11830.38;0.0;59552.69;495113.14;8.3;2.7447291666666653;1500.0;2800.0;5238450699;2680913006;1235454396;0
1715608941406.575;23;359.9;0.0;0.0;0.16;6.77;30.05;1715608929.71;/home/esu530;/var/scratch/esu530/entities/entities.x86_64;5258;5258;5258;180703232;9524619;27437;20480;12001;218;0;0;1685430272;0;0;522772480;518569984;141500416;0;8192;521932800;9121783808;1677905920;0;0;511172608;141500416;8192;9121783808;0.3785964355787819;entities.x86_64;0;899;24643;44;120;2974876;1;running;None;5258;5258;5258;esu530;97280839905;53636660448;117804304;139230342;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188843401018;1743594595784;121280124;272257710;0;0;0;0;0;0;0;0;0;0;0;0;25459098248;25459098248;16033886;16033886;0;0;0;0;2947067;107891137536;1432615;29069911040;541;2265088;11;1057792;2473550;53563384832;1426943;28376858624;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315936057.09;4107.46;5980.74;42582.31;11830.4;0.0;59553.35;495116.38;7.8;2.5835833333333316;1500.0;2800.0;5238540985;2680960095;1235463524;0
1715608942471.7754;23;344.3;0.0;0.0;0.16;7.44;33.06;1715608929.71;/home/esu530;/var/scratch/esu530/entities/entities.x86_64;5258;5258;5258;180703232;9540803;28389;24576;12145;221;0;0;1695334400;0;0;519720960;515575808;141500416;0;8192;518881280;9121783808;1695334400;0;0;515575808;141500416;8192;9121783808;0.38185763502306136;entities.x86_64;0;994;28057;44;120;2974876;1;running;None;5258;5258;5258;esu530;97280845596;53636674718;117804367;139230416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188843407154;1743594598538;121280140;272257725;0;0;0;0;0;0;0;0;0;0;0;0;25459098248;25459098248;16033886;16033886;0;0;0;0;2947067;107891137536;1432615;29069911040;541;2265088;11;1057792;2473550;53563384832;1426943;28376858624;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315936104.39;4107.46;5980.82;42582.31;11830.43;0.0;59554.07;495119.6;7.9;2.7902499999999986;1500.0;2800.0;5238631498;2681008103;1235473698;0
1715608943540.7808;47;392.8;0.0;0.0;0.16;8.18;36.51;1715608929.71;/home/esu530;/var/scratch/esu530/entities/entities.x86_64;5258;5258;5258;180703232;9557701;29383;24576;12230;222;0;0;1796939776;0;0;549101568;545067008;141778944;0;8192;548261888;9859981312;1803804672;0;0;547688448;141778944;8192;9859981312;0.4056416384120392;entities.x86_64;0;1092;31545;44;120;2974876;1;running;None;5258;5258;5258;esu530;97281087557;53636694029;117804635;139230546;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188843407220;1743594598538;121280141;272257725;0;0;0;0;0;0;0;0;0;0;0;0;25459098248;25459098248;16033886;16033886;0;0;0;0;2947067;107891137536;1432615;29069911040;541;2265088;11;1057792;2473550;53563384832;1426943;28376858624;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315936151.28;4107.46;5980.92;42582.32;11830.46;0.0;59554.93;495123.39;9.3;2.7401458333333317;1500.0;2800.0;5238729675;2681068356;1235485138;0
1715608944612.5305;47;384.0;0.0;0.0;0.16;9.02;39.79;1715608929.71;/home/esu530;/var/scratch/esu530/entities/entities.x86_64;5258;5258;5258;180703232;9574327;30361;24576;12230;222;0;0;1863540736;0;0;571928576;567369728;141778944;0;8192;571088896;9927090176;1871065088;0;0;572645376;141778944;8192;9927090176;0.4241258134948251;entities.x86_64;0;1187;35123;44;120;2974876;1;running;None;5258;5258;5258;esu530;97281355658;53636718530;117804918;139230683;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188843407220;1743594598538;121280141;272257725;0;0;0;0;0;0;0;0;0;0;0;0;25459098248;25459098248;16033886;16033886;0;0;0;0;2947067;107891137536;1432615;29069911040;541;2265088;11;1057792;2473550;53563384832;1426943;28376858624;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315936198.18;4107.46;5981.01;42582.32;11830.48;0.0;59555.71;495126.36;7.6;2.7484791666666655;1500.0;2800.0;5238823110;2681124471;1235494818;0
1715608945681.621;47;355.2;0.0;0.0;0.16;9.76;42.84;1715608929.71;/home/esu530;/var/scratch/esu530/entities/entities.x86_64;5258;5258;5258;180703232;9590205;31295;24576;12230;222;0;0;1864192000;0;0;572137472;567582720;141778944;0;8192;571297792;9927090176;1871069184;0;0;573927424;141778944;8192;9927090176;0.42507535342604325;entities.x86_64;0;1280;38714;44;120;2974876;1;running;None;5258;5258;5258;esu530;97281367177;53636745319;117805043;139230826;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188843407220;1743594598538;121280141;272257725;0;0;0;0;0;0;0;0;0;0;0;0;25459098248;25459098248;16033886;16033886;0;0;0;0;2947067;107891137536;1432615;29069911040;541;2265088;11;1057792;2473550;53563384832;1426943;28376858624;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315936245.31;4107.46;5981.1;42582.32;11830.51;0.0;59556.45;495129.43;7.7;2.699333333333332;1500.0;2800.0;5238913110;2681171960;1235504493;0
1715608946747.5347;21;345.2;0.0;0.0;0.16;10.47;45.81;1715608929.71;/home/esu530;/var/scratch/esu530/entities/entities.x86_64;5258;5258;5258;180703232;9604893;32159;24576;12230;222;0;0;1864187904;0;0;572325888;567775232;141778944;0;8192;571486208;9927090176;1864183808;0;0;567775232;141778944;8192;9927090176;0.42051877522575687;entities.x86_64;0;1370;41828;44;120;2974876;1;running;None;5258;5258;5258;esu530;97281378514;53636770044;117805166;139230964;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188843407220;1743594598538;121280141;272257725;0;0;0;0;0;0;0;0;0;0;0;0;25459098248;25459098248;16033886;16033886;0;0;0;0;2947067;107891137536;1432623;29069947904;541;2265088;11;1057792;2473550;53563384832;1426951;28376895488;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315936292.54;4107.46;5981.17;42582.33;11830.53;0.0;59557.18;495132.35;7.4;2.753624999999998;1500.0;2800.0;5238994167;2681215401;1235514102;0
