timestamp;proc.cpu_num;proc.cpu_percent;proc.cpu_times.children_system;proc.cpu_times.children_user;proc.cpu_times.iowait;proc.cpu_times.system;proc.cpu_times.user;proc.create_time;proc.cwd;proc.exe;proc.gids.effective;proc.gids.real;proc.gids.saved;proc.io_counters.read_bytes;proc.io_counters.read_chars;proc.io_counters.read_count;proc.io_counters.write_bytes;proc.io_counters.write_chars;proc.io_counters.write_count;proc.ionice.ioclass;proc.ionice.value;proc.memory_full_info.data;proc.memory_full_info.dirty;proc.memory_full_info.lib;proc.memory_full_info.pss;proc.memory_full_info.rss;proc.memory_full_info.shared;proc.memory_full_info.swap;proc.memory_full_info.text;proc.memory_full_info.uss;proc.memory_full_info.vms;proc.memory_info.data;proc.memory_info.dirty;proc.memory_info.lib;proc.memory_info.rss;proc.memory_info.shared;proc.memory_info.text;proc.memory_info.vms;proc.memory_percent;proc.name;proc.nice;proc.num_ctx_switches.involuntary;proc.num_ctx_switches.voluntary;proc.num_fds;proc.num_threads;proc.pid;proc.ppid;proc.status;proc.terminal;proc.uids.effective;proc.uids.real;proc.uids.saved;proc.username;net.bytes_sent.eth0;net.bytes_recv.eth0;net.packets_sent.eth0;net.packets_recv.eth0;net.errin.eth0;net.errout.eth0;net.dropin.eth0;net.dropout.eth0;net.bytes_sent.eth1;net.bytes_recv.eth1;net.packets_sent.eth1;net.packets_recv.eth1;net.errin.eth1;net.errout.eth1;net.dropin.eth1;net.dropout.eth1;net.bytes_sent.eth2;net.bytes_recv.eth2;net.packets_sent.eth2;net.packets_recv.eth2;net.errin.eth2;net.errout.eth2;net.dropin.eth2;net.dropout.eth2;net.bytes_sent.eth3;net.bytes_recv.eth3;net.packets_sent.eth3;net.packets_recv.eth3;net.errin.eth3;net.errout.eth3;net.dropin.eth3;net.dropout.eth3;net.bytes_sent.eth4;net.bytes_recv.eth4;net.packets_sent.eth4;net.packets_recv.eth4;net.errin.eth4;net.errout.eth4;net.dropin.eth4;net.dropout.eth4;net.bytes_sent.ib0;net.bytes_recv.ib0;net.packets_sent.ib0;net.packets_recv.ib0;net.errin.ib0;net.errout.ib0;net.dropin.ib0;net.dropout.ib0;net.bytes_sent.lo;net.bytes_recv.lo;net.packets_sent.lo;net.packets_recv.lo;net.errin.lo;net.errout.lo;net.dropin.lo;net.dropout.lo;disk.read_count.nvme0n1;disk.read_bytes.nvme0n1;disk.write_count.nvme0n1;disk.write_bytes.nvme0n1;disk.read_count.nvme0n1p1;disk.read_bytes.nvme0n1p1;disk.write_count.nvme0n1p1;disk.write_bytes.nvme0n1p1;disk.read_count.nvme0n1p2;disk.read_bytes.nvme0n1p2;disk.write_count.nvme0n1p2;disk.write_bytes.nvme0n1p2;disk.read_count.nvme0n1p3;disk.read_bytes.nvme0n1p3;disk.write_count.nvme0n1p3;disk.write_bytes.nvme0n1p3;disk.read_count.nvme0n1p4;disk.read_bytes.nvme0n1p4;disk.write_count.nvme0n1p4;disk.write_bytes.nvme0n1p4;cpu.guest;cpu.guest_nice;cpu.idle;cpu.iowait;cpu.irq;cpu.nice;cpu.softirq;cpu.steal;cpu.system;cpu.user;cpu.percent;cpu.freq.current;cpu.freq.min;cpu.freq.max;cpu.ctx_switches;cpu.interrupts;cpu.soft_interrupts;cpu.syscalls
1715597728260.2363;6;72.5;0.0;0.0;0.14;0.4;4.81;1715597721.28;/home/esu530;/var/scratch/esu530/mirror_telepathy/mirror_telepathy.x86_64;5258;5258;5258;158199808;8465396;304;20480;8885;158;0;0;1320157184;0;0;380244992;380354560;123187200;0;8192;379510784;6450089984;1320157184;0;0;380354560;123187200;8192;6450089984;0.281706958507714;mirror_telepathy.x86_64;0;23;1932;36;120;2962313;1;sleeping;None;5258;5258;5258;esu530;88838649163;52155653216;98482919;124978649;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188744774516;1739254552720;121042282;271628805;0;0;0;0;0;0;0;0;0;0;0;0;25458993308;25458993308;16031978;16031978;0;0;0;0;2916703;107087600640;1428713;29037745152;541;2265088;11;1057792;2443186;52759847936;1423041;28344692736;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315416083.56;4092.04;5597.91;42575.03;11653.18;0.0;57948.41;479825.89;1.5;2.779083333333332;1500.0;2800.0;4989824552;2520435928;1180960957;0
1715597729314.6836;6;80.6;0.0;0.0;0.14;0.47;5.59;1715597721.28;/home/esu530;/var/scratch/esu530/mirror_telepathy/mirror_telepathy.x86_64;5258;5258;5258;159297536;8479796;310;24576;8990;160;0;0;1344978944;0;0;385106944;385048576;124006400;0;8192;384372736;6608867328;1344978944;0;0;385048576;124006400;8192;6608867328;0.285183548799011;mirror_telepathy.x86_64;0;24;2013;37;122;2962313;1;sleeping;None;5258;5258;5258;esu530;88838649163;52155661708;98482919;124978665;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188744778126;1739255660686;121042311;271628934;0;0;0;0;0;0;0;0;0;0;0;0;25458993418;25458993418;16031980;16031980;0;0;0;0;2916705;107087608832;1428716;29037761536;541;2265088;11;1057792;2443188;52759856128;1423044;28344709120;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315416133.22;4092.05;5597.94;42575.03;11653.19;0.0;57948.5;479826.66;1.8;2.779083333333332;1500.0;2800.0;4989839395;2520444947;1180962732;0
1715597730369.8462;6;73.0;0.0;0.0;0.14;0.52;6.31;1715597721.28;/home/esu530;/var/scratch/esu530/mirror_telepathy/mirror_telepathy.x86_64;5258;5258;5258;159297536;8479796;310;24576;8990;160;0;0;1344978944;0;0;385250304;385048576;124006400;0;8192;384516096;6608867328;1344978944;0;0;385048576;124006400;8192;6608867328;0.285183548799011;mirror_telepathy.x86_64;0;26;2076;37;122;2962313;1;sleeping;None;5258;5258;5258;esu530;88838825357;52155670073;98483092;124978747;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188744778192;1739255660686;121042312;271628934;0;0;0;0;0;0;0;0;0;0;0;0;25458993528;25458993528;16031982;16031982;0;0;0;0;2916705;107087608832;1428716;29037761536;541;2265088;11;1057792;2443188;52759856128;1423044;28344709120;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315416183.21;4092.05;5597.96;42575.03;11653.19;0.0;57948.57;479827.36;1.6;2.779083333333332;1500.0;2800.0;4989853021;2520453276;1180964036;0
1715597731429.7004;6;68.9;0.0;0.0;0.14;0.58;6.98;1715597721.28;/home/esu530;/var/scratch/esu530/mirror_telepathy/mirror_telepathy.x86_64;5258;5258;5258;159297536;8479796;310;24576;8990;160;0;0;1344978944;0;0;385270784;385048576;124006400;0;8192;384536576;6608867328;1344978944;0;0;385048576;124006400;8192;6608867328;0.285183548799011;mirror_telepathy.x86_64;0;27;2140;37;122;2962313;1;sleeping;None;5258;5258;5258;esu530;88838831029;52155690219;98483153;124978836;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188744778192;1739255660686;121042312;271628934;0;0;0;0;0;0;0;0;0;0;0;0;25458993638;25458993638;16031984;16031984;0;0;0;0;2916705;107087608832;1428716;29037761536;541;2265088;11;1057792;2443188;52759856128;1423044;28344709120;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315416233.26;4092.05;5597.99;42575.03;11653.2;0.0;57948.65;479828.05;1.6;2.779083333333332;1500.0;2800.0;4989866190;2520460685;1180965320;0
1715597732488.7085;6;68.0;0.0;0.0;0.14;0.63;7.65;1715597721.28;/home/esu530;/var/scratch/esu530/mirror_telepathy/mirror_telepathy.x86_64;5258;5258;5258;159297536;8479796;310;24576;8990;160;0;0;1344978944;0;0;385307648;385048576;124006400;0;8192;384573440;6608867328;1344978944;0;0;385048576;124006400;8192;6608867328;0.285183548799011;mirror_telepathy.x86_64;0;28;2203;37;122;2962313;1;sleeping;None;5258;5258;5258;esu530;88838836674;52155700094;98483214;124978905;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188744778192;1739255660686;121042312;271628934;0;0;0;0;0;0;0;0;0;0;0;0;25458993748;25458993748;16031986;16031986;0;0;0;0;2916705;107087608832;1428716;29037761536;541;2265088;11;1057792;2443188;52759856128;1423044;28344709120;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315416283.08;4092.05;5598.01;42575.03;11653.21;0.0;57948.72;479828.68;1.4;2.779083333333332;1500.0;2800.0;4989879296;2520467967;1180966498;0
1715597733543.5547;6;69.1;0.0;0.0;0.14;0.68;8.33;1715597721.28;/home/esu530;/var/scratch/esu530/mirror_telepathy/mirror_telepathy.x86_64;5258;5258;5258;159297536;8479860;314;24576;8990;160;0;0;1362026496;0;0;387834880;387702784;124030976;0;8192;387100672;6759870464;1362026496;0;0;387702784;124030976;8192;6759870464;0.28714936948728365;mirror_telepathy.x86_64;0;30;2278;38;124;2962313;1;sleeping;None;5258;5258;5258;esu530;88838842338;52155710424;98483275;124978976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188744779918;1739255662506;121042323;271628944;0;0;0;0;0;0;0;0;0;0;0;0;25458993858;25458993858;16031988;16031988;0;0;0;0;2916705;107087608832;1428716;29037761536;541;2265088;11;1057792;2443188;52759856128;1423044;28344709120;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315416332.99;4092.05;5598.03;42575.03;11653.22;0.0;57948.79;479829.36;1.5;2.779083333333332;1500.0;2800.0;4989892684;2520475601;1180968034;0
1715597734600.7112;6;71.1;0.0;0.0;0.14;0.73;9.03;1715597721.28;/home/esu530;/var/scratch/esu530/mirror_telepathy/mirror_telepathy.x86_64;5258;5258;5258;159297536;8479860;314;24576;8990;160;0;0;1362026496;0;0;387834880;387702784;124030976;0;8192;387100672;6759870464;1362026496;0;0;387702784;124030976;8192;6759870464;0.28714936948728365;mirror_telepathy.x86_64;0;31;2341;38;124;2962313;1;sleeping;None;5258;5258;5258;esu530;88839020246;52155723257;98483464;124979083;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188744779984;1739255662506;121042324;271628944;0;0;0;0;0;0;0;0;0;0;0;0;25458993968;25458993968;16031990;16031990;0;0;0;0;2916705;107087608832;1428740;29037900800;541;2265088;11;1057792;2443188;52759856128;1423068;28344848384;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315416383.01;4092.05;5598.06;42575.03;11653.23;0.0;57948.86;479830.2;1.9;2.6954583333333315;1500.0;2800.0;4989906355;2520483493;1180969616;0
1715597735660.6545;6;69.8;0.0;0.0;0.14;0.78;9.72;1715597721.28;/home/esu530;/var/scratch/esu530/mirror_telepathy/mirror_telepathy.x86_64;5258;5258;5258;159297536;8479860;314;24576;8990;160;0;0;1362026496;0;0;387941376;387702784;124030976;0;8192;387207168;6759870464;1362026496;0;0;387702784;124030976;8192;6759870464;0.28714936948728365;mirror_telepathy.x86_64;0;32;2404;38;124;2962313;1;running;None;5258;5258;5258;esu530;88839043462;52155769982;98483716;124979378;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188744780216;1739255662688;121042326;271628945;0;0;0;0;0;0;0;0;0;0;0;0;25458994078;25458994078;16031992;16031992;0;0;0;0;2916705;107087608832;1428740;29037900800;541;2265088;11;1057792;2443188;52759856128;1423068;28344848384;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315416433.1;4092.05;5598.08;42575.03;11653.23;0.0;57948.93;479830.83;1.4;2.779083333333332;1500.0;2800.0;4989920219;2520491803;1180971087;0
1715597736721.712;6;69.8;0.0;0.0;0.14;0.83;10.41;1715597721.28;/home/esu530;/var/scratch/esu530/mirror_telepathy/mirror_telepathy.x86_64;5258;5258;5258;159297536;8479860;314;24576;8990;160;0;0;1362026496;0;0;387945472;387702784;124030976;0;8192;387211264;6759870464;1362026496;0;0;387702784;124030976;8192;6759870464;0.28714936948728365;mirror_telepathy.x86_64;0;33;2468;38;124;2962313;1;sleeping;None;5258;5258;5258;esu530;88839054892;52155784301;98483840;124979513;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188744780216;1739255662688;121042326;271628945;0;0;0;0;0;0;0;0;0;0;0;0;25458994188;25458994188;16031994;16031994;0;0;0;0;2916705;107087608832;1428740;29037900800;541;2265088;11;1057792;2443188;52759856128;1423068;28344848384;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315416483.17;4092.05;5598.11;42575.03;11653.24;0.0;57949.0;479831.56;1.6;2.779083333333332;1500.0;2800.0;4989933560;2520499478;1180972663;0
1715597737781.7004;6;71.7;0.0;0.0;0.14;0.9;11.1;1715597721.28;/home/esu530;/var/scratch/esu530/mirror_telepathy/mirror_telepathy.x86_64;5258;5258;5258;159297536;8479860;314;24576;8990;160;0;0;1362026496;0;0;387945472;387702784;124030976;0;8192;387211264;6759870464;1362026496;0;0;387702784;124030976;8192;6759870464;0.28714936948728365;mirror_telepathy.x86_64;0;34;2531;38;124;2962313;1;sleeping;None;5258;5258;5258;esu530;88839066481;52155800081;98483966;124979646;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188744780216;1739255662688;121042326;271628945;0;0;0;0;0;0;0;0;0;0;0;0;25458994298;25458994298;16031996;16031996;0;0;0;0;2916705;107087608832;1428740;29037900800;541;2265088;11;1057792;2443188;52759856128;1423068;28344848384;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315416532.97;4092.05;5598.13;42575.03;11653.25;0.0;57949.09;479832.3;1.7;2.779083333333332;1500.0;2800.0;4989947215;2520507300;1180974187;0
