timestamp;proc.cpu_num;proc.cpu_percent;proc.cpu_times.children_system;proc.cpu_times.children_user;proc.cpu_times.iowait;proc.cpu_times.system;proc.cpu_times.user;proc.create_time;proc.cwd;proc.exe;proc.gids.effective;proc.gids.real;proc.gids.saved;proc.io_counters.read_bytes;proc.io_counters.read_chars;proc.io_counters.read_count;proc.io_counters.write_bytes;proc.io_counters.write_chars;proc.io_counters.write_count;proc.ionice.ioclass;proc.ionice.value;proc.memory_full_info.data;proc.memory_full_info.dirty;proc.memory_full_info.lib;proc.memory_full_info.pss;proc.memory_full_info.rss;proc.memory_full_info.shared;proc.memory_full_info.swap;proc.memory_full_info.text;proc.memory_full_info.uss;proc.memory_full_info.vms;proc.memory_info.data;proc.memory_info.dirty;proc.memory_info.lib;proc.memory_info.rss;proc.memory_info.shared;proc.memory_info.text;proc.memory_info.vms;proc.memory_percent;proc.name;proc.nice;proc.num_ctx_switches.involuntary;proc.num_ctx_switches.voluntary;proc.num_fds;proc.num_threads;proc.pid;proc.ppid;proc.status;proc.terminal;proc.uids.effective;proc.uids.real;proc.uids.saved;proc.username;net.bytes_sent.eth0;net.bytes_recv.eth0;net.packets_sent.eth0;net.packets_recv.eth0;net.errin.eth0;net.errout.eth0;net.dropin.eth0;net.dropout.eth0;net.bytes_sent.eth1;net.bytes_recv.eth1;net.packets_sent.eth1;net.packets_recv.eth1;net.errin.eth1;net.errout.eth1;net.dropin.eth1;net.dropout.eth1;net.bytes_sent.eth2;net.bytes_recv.eth2;net.packets_sent.eth2;net.packets_recv.eth2;net.errin.eth2;net.errout.eth2;net.dropin.eth2;net.dropout.eth2;net.bytes_sent.eth3;net.bytes_recv.eth3;net.packets_sent.eth3;net.packets_recv.eth3;net.errin.eth3;net.errout.eth3;net.dropin.eth3;net.dropout.eth3;net.bytes_sent.eth4;net.bytes_recv.eth4;net.packets_sent.eth4;net.packets_recv.eth4;net.errin.eth4;net.errout.eth4;net.dropin.eth4;net.dropout.eth4;net.bytes_sent.ib0;net.bytes_recv.ib0;net.packets_sent.ib0;net.packets_recv.ib0;net.errin.ib0;net.errout.ib0;net.dropin.ib0;net.dropout.ib0;net.bytes_sent.lo;net.bytes_recv.lo;net.packets_sent.lo;net.packets_recv.lo;net.errin.lo;net.errout.lo;net.dropin.lo;net.dropout.lo;disk.read_count.nvme0n1;disk.read_bytes.nvme0n1;disk.write_count.nvme0n1;disk.write_bytes.nvme0n1;disk.read_count.nvme0n1p1;disk.read_bytes.nvme0n1p1;disk.write_count.nvme0n1p1;disk.write_bytes.nvme0n1p1;disk.read_count.nvme0n1p2;disk.read_bytes.nvme0n1p2;disk.write_count.nvme0n1p2;disk.write_bytes.nvme0n1p2;disk.read_count.nvme0n1p3;disk.read_bytes.nvme0n1p3;disk.write_count.nvme0n1p3;disk.write_bytes.nvme0n1p3;disk.read_count.nvme0n1p4;disk.read_bytes.nvme0n1p4;disk.write_count.nvme0n1p4;disk.write_bytes.nvme0n1p4;cpu.guest;cpu.guest_nice;cpu.idle;cpu.iowait;cpu.irq;cpu.nice;cpu.softirq;cpu.steal;cpu.system;cpu.user;cpu.percent;cpu.freq.current;cpu.freq.min;cpu.freq.max;cpu.ctx_switches;cpu.interrupts;cpu.soft_interrupts;cpu.syscalls
1715602128546.2214;18;75.5;0.0;0.0;0.16;0.49;4.73;1715602121.56;/home/esu530;/var/scratch/esu530/mirror_kcp/mirror_kcp.x86_64;5258;5258;5258;158150656;8465228;304;16384;8744;154;0;0;1310769152;0;0;381555712;381837312;122613760;0;8192;380776448;6239776768;1310769152;0;0;381837312;122613760;8192;6239776768;0.28280514846011323;mirror_kcp.x86_64;0;23;1965;37;119;2966714;1;sleeping;None;5258;5258;5258;esu530;94163242897;52977906547;109501500;133351958;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188764604420;1740969825320;121127412;271870213;0;0;0;0;0;0;0;0;0;0;0;0;25459065908;25459065908;16033298;16033298;0;0;0;0;2932218;107513310208;1430110;29050086400;541;2265088;11;1057792;2458701;53185557504;1424438;28357033984;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315618994.39;4102.93;5779.72;42578.08;11746.75;0.0;58475.5;486930.06;1.6;2.779083333333332;1500.0;2800.0;5089921541;2589521661;1208580558;0
1715602129600.6458;18;83.5;0.0;0.0;0.16;0.55;5.55;1715602121.56;/home/esu530;/var/scratch/esu530/mirror_kcp/mirror_kcp.x86_64;5258;5258;5258;159404032;8479632;311;24576;8849;156;0;0;1318215680;0;0;389366784;389713920;123740160;0;8192;388587520;6247223296;1318215680;0;0;389713920;123740160;8192;6247223296;0.28863890337299636;mirror_kcp.x86_64;0;24;2049;37;119;2966714;1;sleeping;None;5258;5258;5258;esu530;94163242897;52977915167;109501500;133351976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188764612276;1740971090386;121127442;271870360;0;0;0;0;0;0;0;0;0;0;0;0;25459066018;25459066018;16033300;16033300;0;0;0;0;2932218;107513310208;1430110;29050086400;541;2265088;11;1057792;2458701;53185557504;1424438;28357033984;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315619044.06;4102.94;5779.75;42578.08;11746.76;0.0;58475.58;486930.97;2.1;2.779083333333332;1500.0;2800.0;5089936100;2589530517;1208582451;0
1715602130655.6548;18;73.9;0.0;0.0;0.16;0.6;6.28;1715602121.56;/home/esu530;/var/scratch/esu530/mirror_kcp/mirror_kcp.x86_64;5258;5258;5258;159404032;8479632;311;24576;8849;156;0;0;1318215680;0;0;389493760;389713920;123740160;0;8192;388714496;6247223296;1318215680;0;0;389713920;123740160;8192;6247223296;0.28863890337299636;mirror_kcp.x86_64;0;25;2112;37;119;2966714;1;sleeping;None;5258;5258;5258;esu530;94163806023;52977951248;109502455;133352131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188764612342;1740971090386;121127443;271870360;0;0;0;0;0;0;0;0;0;0;0;0;25459066128;25459066128;16033302;16033302;0;0;0;0;2932218;107513310208;1430128;29050168320;541;2265088;11;1057792;2458701;53185557504;1424456;28357115904;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315619093.83;4102.94;5779.77;42578.08;11746.77;0.0;58475.64;486931.67;1.5;2.779083333333332;1500.0;2800.0;5089949320;2589538674;1208583754;0
1715602131709.6406;18;70.2;0.0;0.0;0.16;0.65;6.97;1715602121.56;/home/esu530;/var/scratch/esu530/mirror_kcp/mirror_kcp.x86_64;5258;5258;5258;159404032;8479632;311;24576;8849;156;0;0;1318215680;0;0;389526528;389713920;123740160;0;8192;388747264;6247223296;1318215680;0;0;389713920;123740160;8192;6247223296;0.28863890337299636;mirror_kcp.x86_64;0;26;2180;37;119;2966714;1;sleeping;None;5258;5258;5258;esu530;94163810498;52977960299;109502518;133352203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188764612342;1740971090386;121127443;271870360;0;0;0;0;0;0;0;0;0;0;0;0;25459066238;25459066238;16033304;16033304;0;0;0;0;2932218;107513310208;1430128;29050168320;541;2265088;11;1057792;2458701;53185557504;1424456;28357115904;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315619143.59;4102.94;5779.79;42578.08;11746.78;0.0;58475.71;486932.36;1.6;2.779083333333332;1500.0;2800.0;5089962442;2589546061;1208585050;0
1715602132763.5935;18;70.2;0.0;0.0;0.16;0.71;7.65;1715602121.56;/home/esu530;/var/scratch/esu530/mirror_kcp/mirror_kcp.x86_64;5258;5258;5258;159404032;8479632;311;24576;8849;156;0;0;1318215680;0;0;389526528;389713920;123740160;0;8192;388747264;6247223296;1318215680;0;0;389713920;123740160;8192;6247223296;0.28863890337299636;mirror_kcp.x86_64;0;27;2243;37;119;2966714;1;sleeping;None;5258;5258;5258;esu530;94163814973;52977971288;109502581;133352280;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188764612342;1740971090386;121127443;271870360;0;0;0;0;0;0;0;0;0;0;0;0;25459066348;25459066348;16033306;16033306;0;0;0;0;2932218;107513310208;1430128;29050168320;541;2265088;11;1057792;2458701;53185557504;1424456;28357115904;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315619193.33;4102.94;5779.81;42578.08;11746.78;0.0;58475.78;486933.03;1.5;2.779083333333332;1500.0;2800.0;5089975742;2589553542;1208586392;0
1715602133817.5007;18;71.2;0.0;0.0;0.16;0.76;8.35;1715602121.56;/home/esu530;/var/scratch/esu530/mirror_kcp/mirror_kcp.x86_64;5258;5258;5258;159404032;8479700;316;24576;8849;156;0;0;1318215680;0;0;389608448;389713920;123740160;0;8192;388829184;6247223296;1318215680;0;0;389713920;123740160;8192;6247223296;0.28863890337299636;mirror_kcp.x86_64;0;27;2306;37;119;2966714;1;sleeping;None;5258;5258;5258;esu530;94163819651;52977978221;109502646;133352351;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188764614068;1740971092206;121127454;271870370;0;0;0;0;0;0;0;0;0;0;0;0;25459066458;25459066458;16033308;16033308;0;0;0;0;2932218;107513310208;1430128;29050168320;541;2265088;11;1057792;2458701;53185557504;1424456;28357115904;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315619243.17;4102.94;5779.83;42578.08;11746.79;0.0;58475.84;486933.65;1.4;2.779083333333332;1500.0;2800.0;5089988894;2589560904;1208587650;0
1715602134872.6304;18;73.9;0.0;0.0;0.16;0.83;9.06;1715602121.56;/home/esu530;/var/scratch/esu530/mirror_kcp/mirror_kcp.x86_64;5258;5258;5258;159404032;8479700;316;24576;8849;156;0;0;1318215680;0;0;389616640;389713920;123740160;0;8192;388837376;6247223296;1318215680;0;0;389713920;123740160;8192;6247223296;0.28863890337299636;mirror_kcp.x86_64;0;28;2369;37;119;2966714;1;sleeping;None;5258;5258;5258;esu530;94164383700;52978016464;109503609;133352518;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188764614134;1740971092206;121127455;271870370;0;0;0;0;0;0;0;0;0;0;0;0;25459066568;25459066568;16033310;16033310;0;0;0;0;2932218;107513310208;1430128;29050168320;541;2265088;11;1057792;2458701;53185557504;1424456;28357115904;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315619292.91;4102.94;5779.86;42578.08;11746.8;0.0;58475.92;486934.28;1.5;2.779083333333332;1500.0;2800.0;5090002398;2589568544;1208589182;0
1715602135926.6355;18;71.2;0.0;0.0;0.16;0.89;9.75;1715602121.56;/home/esu530;/var/scratch/esu530/mirror_kcp/mirror_kcp.x86_64;5258;5258;5258;159404032;8479700;316;24576;8849;156;0;0;1318215680;0;0;389731328;390041600;123805696;0;8192;388952064;6247223296;1318215680;0;0;390041600;123805696;8192;6247223296;0.2888815972851288;mirror_kcp.x86_64;0;30;2432;37;119;2966714;1;sleeping;None;5258;5258;5258;esu530;94164392675;52978036373;109503735;133352665;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188764614366;1740971092388;121127457;271870371;0;0;0;0;0;0;0;0;0;0;0;0;25459066678;25459066678;16033312;16033312;0;0;0;0;2932218;107513310208;1430128;29050168320;541;2265088;11;1057792;2458701;53185557504;1424456;28357115904;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315619342.64;4102.94;5779.88;42578.08;11746.8;0.0;58475.98;486934.81;1.2;2.779083333333332;1500.0;2800.0;5090015806;2589576567;1208590538;0
1715602136980.628;42;73.1;0.0;0.0;0.16;0.96;10.45;1715602121.56;/home/esu530;/var/scratch/esu530/mirror_kcp/mirror_kcp.x86_64;5258;5258;5258;159404032;8479700;316;24576;8849;156;0;0;1318215680;0;0;389735424;390041600;123805696;0;8192;388956160;6247223296;1318215680;0;0;390041600;123805696;8192;6247223296;0.2888815972851288;mirror_kcp.x86_64;0;31;2495;37;119;2966714;1;sleeping;None;5258;5258;5258;esu530;94164401668;52978045417;109503861;133352792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188764614366;1740971092388;121127457;271870371;0;0;0;0;0;0;0;0;0;0;0;0;25459066788;25459066788;16033314;16033314;0;0;0;0;2932218;107513310208;1430128;29050168320;541;2265088;11;1057792;2458701;53185557504;1424456;28357115904;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315619392.38;4102.94;5779.9;42578.08;11746.81;0.0;58476.06;486935.46;1.5;2.779083333333332;1500.0;2800.0;5090028755;2589584390;1208592140;0
1715602138034.6423;42;71.2;0.0;0.0;0.16;1.01;11.15;1715602121.56;/home/esu530;/var/scratch/esu530/mirror_kcp/mirror_kcp.x86_64;5258;5258;5258;159404032;8479700;316;24576;8849;156;0;0;1318215680;0;0;389743616;390041600;123805696;0;8192;388964352;6247223296;1318215680;0;0;390041600;123805696;8192;6247223296;0.2888815972851288;mirror_kcp.x86_64;0;33;2558;37;119;2966714;1;sleeping;None;5258;5258;5258;esu530;94164410643;52978058810;109503987;133352928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188764614366;1740971092388;121127457;271870371;0;0;0;0;0;0;0;0;0;0;0;0;25459066898;25459066898;16033316;16033316;0;0;0;0;2932218;107513310208;1430128;29050168320;541;2265088;11;1057792;2458701;53185557504;1424456;28357115904;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;315619442.16;4102.94;5779.92;42578.08;11746.82;0.0;58476.13;486936.09;1.4;2.779083333333332;1500.0;2800.0;5090041582;2589591678;1208593484;0
